GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
1020300131,1611661316,HOU,Houston,100072,Sheryl Swoopes,Sheryl,F,,36.000000:39,7.0,15.0,0.467,1.0,3.0,0.333,6.0,8.0,0.75,1.0,4.0,5.0,6.0,2.0,1.0,2.0,3.0,21.0,1.0
1020300131,1611661316,HOU,Houston,100076,Tina Thompson,Tina,F,,34.000000:00,5.0,13.0,0.385,2.0,4.0,0.5,1.0,3.0,0.333,0.0,5.0,5.0,0.0,1.0,1.0,4.0,1.0,13.0,-1.0
1020300131,1611661316,HOU,Houston,100729,Michelle Snow,Michelle,C,,29.000000:14,5.0,8.0,0.625,0.0,0.0,0.0,5.0,5.0,1.0,3.0,5.0,8.0,2.0,1.0,2.0,0.0,6.0,15.0,15.0
1020300131,1611661316,HOU,Houston,100392,Ukari Figgs,Ukari,G,,25.000000:29,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0
1020300131,1611661316,HOU,Houston,100075,Janeth Arcain,Janeth,G,,38.000000:10,5.0,12.0,0.417,0.0,0.0,0.0,6.0,6.0,1.0,0.0,3.0,3.0,4.0,3.0,0.0,2.0,1.0,16.0,6.0
1020300131,1611661316,HOU,Houston,100233,Tiffani Johnson,Tiffani,,,12.000000:49,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,-5.0
1020300131,1611661316,HOU,Houston,100384,Dominique Canty,Dominique,,,23.000000:39,2.0,5.0,0.4,0.0,0.0,0.0,6.0,9.0,0.667,1.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,10.0,3.0
1020300131,1611661316,HOU,Houston,100169,Octavia Blue,Octavia,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
1020300131,1611661316,HOU,Houston,100504,Kelley Gibson,Kelley,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
1020300131,1611661316,HOU,Houston,100257,Mfon Udoka,Mfon,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
1020300131,1611661320,LAS,Los Angeles,100396,DeLisha Milton-Jones,DeLisha,F,,40.000000:00,4.0,19.0,0.211,0.0,3.0,0.0,4.0,6.0,0.667,3.0,6.0,9.0,1.0,1.0,1.0,5.0,5.0,12.0,-5.0
1020300131,1611661320,LAS,Los Angeles,100012,Mwadi Mabika,Mwadi,F,,36.000000:25,8.0,17.0,0.471,2.0,5.0,0.4,10.0,10.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,6.0,28.0,-11.0
1020300131,1611661320,LAS,Los Angeles,100060,Rhonda Mapp,Rhonda,C,,24.000000:35,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,3.0,2.0,-12.0
1020300131,1611661320,LAS,Los Angeles,100008,Tamecka Dixon,Tamecka,G,,28.000000:53,3.0,10.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,6.0,0.0
1020300131,1611661320,LAS,Los Angeles,100724,Nikki Teasley,Nikki,G,,35.000000:47,5.0,7.0,0.714,4.0,5.0,0.8,2.0,2.0,1.0,1.0,4.0,5.0,9.0,1.0,1.0,1.0,2.0,16.0,-6.0
1020300131,1611661320,LAS,Los Angeles,100105,Sophia Witherspoon,Sophia,,,11.000000:23,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
1020300131,1611661320,LAS,Los Angeles,100030,Jennifer Gillom,Jennifer,,,15.000000:12,2.0,6.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,8.0,8.0
1020300131,1611661320,LAS,Los Angeles,100478,Nicky McCrimmon,Nicky,,,7.000000:45,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1020300131,1611661320,LAS,Los Angeles,100870,Chandra Johnson,Chandra,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
1020300131,1611661320,LAS,Los Angeles,100885,Shaquala Williams,Shaquala,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
