GAME_ID,GAME_DATE,MATCHUP
1022600001,2026-05-08,NYL vs. CON
1022600002,2026-05-08,TOR vs. WAS
1022600003,2026-05-08,GSV @ SEA
1022600004,2026-05-09,IND vs. DAL
1022600005,2026-05-09,PHX @ LVA
1022600006,2026-05-09,CHI @ PDX
1022600007,2026-05-10,CON vs. SEA
1022600008,2026-05-10,WAS vs. NYL
1022600009,2026-05-10,LVA @ LAS
1022600010,2026-05-09,ATL @ MIN
1022600011,2026-05-10,GSV vs. PHX
1022600012,2026-05-12,DAL vs. ATL
1022600013,2026-05-12,MIN @ PHX
1022600014,2026-05-12,PDX vs. NYL
1022600015,2026-05-13,TOR vs. SEA
1022600016,2026-05-13,LVA @ CON
1022600017,2026-05-13,GSV vs. CHI
1022600018,2026-05-13,LAS vs. IND
1022600019,2026-05-14,DAL vs. MIN
1022600020,2026-05-14,PDX vs. NYL
1022600021,2026-05-15,LVA @ CON
1022600022,2026-05-15,WAS @ IND
1022600023,2026-05-15,TOR @ LAS
1022600024,2026-05-15,PHX vs. CHI
1022600025,2026-05-17,CHI @ MIN
1022600026,2026-05-17,LVA @ ATL
1022600027,2026-05-17,IND vs. SEA
1022600028,2026-05-17,TOR @ LAS
1022600029,2026-05-18,DAL vs. WAS
1022600030,2026-05-18,PDX vs. CON
1022600031,2026-05-19,PHX vs. TOR
1022600032,2026-05-20,PDX @ IND
1022600033,2026-05-20,CHI vs. DAL
1022600034,2026-05-20,SEA vs. CON
1022600035,2026-05-21,GSV @ NYL
1022600036,2026-05-21,MIN vs. TOR
1022600037,2026-05-21,PHX vs. LAS
1022600038,2026-05-22,DAL @ ATL
1022600039,2026-05-22,GSV @ IND
1022600040,2026-05-22,CON @ SEA
1022600041,2026-05-23,CHI vs. MIN
1022600042,2026-05-23,PDX @ TOR
1022600043,2026-05-23,LAS @ LVA
1022600044,2026-05-24,PHX @ ATL
1022600045,2026-05-24,DAL @ NYL
1022600046,2026-05-24,SEA vs. WAS
1022600047,2026-05-25,PDX @ NYL
1022600048,2026-05-25,GSV vs. CON
1022600049,2026-05-27,NYL vs. PHX
1022600050,2026-05-27,TOR @ CHI
1022600051,2026-05-27,MIN vs. ATL
1022600052,2026-05-27,PDX vs. CON
1022600053,2026-05-27,SEA vs. WAS
1022600054,2026-05-28,DAL vs. LVA
1022600055,2026-05-28,IND @ GSV
1022600056,2026-05-29,PHX @ NYL
1022600057,2026-05-29,WAS vs. LAS
1022600058,2026-05-29,MIN @ CHI
1022600059,2026-05-29,ATL @ PDX
1022600060,2026-05-30,SEA @ TOR
1022600061,2026-05-30,CON vs. LAS
1022600062,2026-05-30,PDX vs. IND
1022600063,2026-05-31,LVA @ GSV
1022600064,2026-06-01,SEA @ DAL
1022600065,2026-06-01,PHX vs. MIN
1022600066,2026-06-02,CON @ ATL
1022600067,2026-06-02,CHI @ WAS
1022600068,2026-06-02,PDX @ GSV
1022600069,2026-06-02,LVA @ LAS
1022600070,2026-06-03,NYL vs. TOR
1022600071,2026-06-03,PHX @ SEA
1022600072,2026-06-04,ATL @ IND
1022600073,2026-06-04,GSV @ MIN
1022600074,2026-06-05,CHI vs. CON
1022600075,2026-06-05,LAS vs. DAL
1022600076,2026-06-05,PDX vs. PHX
1022600077,2026-06-06,MIN vs. SEA
1022600078,2026-06-06,LVA vs. GSV
1022600079,2026-06-06,WAS @ ATL
1022600080,2026-06-06,IND @ NYL
1022600081,2026-06-07,CHI @ TOR
1022600082,2026-06-07,LAS vs. PDX
1022600083,2026-06-08,CON vs. NYL
1022600084,2026-06-08,WAS vs. IND
1022600085,2026-06-08,LVA vs. SEA
1022600086,2026-06-09,ATL @ CHI
1022600087,2026-06-09,MIN vs. DAL
1022600088,2026-06-09,GSV vs. PHX
1022600089,2026-06-10,CON @ TOR
1022600090,2026-06-10,SEA vs. LAS
1022600091,2026-06-11,CHI @ IND
1022600092,2026-06-11,ATL vs. NYL
1022600093,2026-06-11,DAL vs. PHX
1022600094,2026-06-11,LVA @ PDX
1022600095,2026-06-12,WAS vs. TOR
1022600096,2026-06-12,GSV @ SEA
1022600097,2026-06-13,CON vs. IND
