GAME_ID,GAME_DATE,MATCHUP
1022400235,2024-09-19,CHI @ CON
1022400236,2024-09-19,ATL @ NYL
1022400239,2024-09-19,LVA vs. DAL
1022400237,2024-09-19,IND @ WAS
1022400240,2024-09-19,PHO vs. SEA
1022400238,2024-09-19,MIN vs. LAS
1022400230,2024-09-17,MIN @ CON
1022400234,2024-09-17,SEA vs. LVA
1022400231,2024-09-17,NYL @ WAS
1022400232,2024-09-17,CHI @ ATL
1022400233,2024-09-17,LAS vs. PHO
1022400224,2024-09-15,IND vs. DAL
1022400228,2024-09-15,LVA vs. CON
1022400227,2024-09-15,PHO @ CHI
1022400226,2024-09-15,ATL @ WAS
1022400225,2024-09-15,MIN @ NYL
1022400229,2024-09-15,SEA vs. LAS
1022400220,2024-09-13,IND vs. LVA
1022400223,2024-09-13,CON @ PHO
1022400222,2024-09-13,MIN vs. CHI
1022400219,2024-09-13,ATL vs. WAS
1022400221,2024-09-13,DAL vs. SEA
1022400218,2024-09-12,DAL vs. NYL
1022400216,2024-09-11,WAS @ CHI
1022400217,2024-09-11,LAS vs. SEA
1022400215,2024-09-11,LVA @ IND
1022400213,2024-09-10,DAL vs. NYL
1022400214,2024-09-10,LAS vs. CON
1022400212,2024-09-10,ATL vs. MIN
1022400207,2024-09-08,MIN @ WAS
1022400211,2024-09-08,CON @ LAS
1022400208,2024-09-08,ATL @ IND
1022400209,2024-09-08,NYL vs. LVA
1022400210,2024-09-08,DAL @ CHI
1022400206,2024-09-07,PHO @ SEA
1022400202,2024-09-06,ATL vs. DAL
1022400204,2024-09-06,MIN @ IND
1022400203,2024-09-06,CON vs. LVA
1022400205,2024-09-06,CHI vs. LAS
1022400201,2024-09-05,WAS @ PHO
1022400200,2024-09-05,SEA @ NYL
1022400199,2024-09-04,IND vs. LAS
1022400196,2024-09-03,DAL vs. WAS
1022400197,2024-09-03,CHI @ LVA
1022400198,2024-09-03,ATL @ PHO
1022400195,2024-09-03,SEA @ CON
1022400191,2024-09-01,MIN vs. CHI
1022400193,2024-09-01,ATL @ LAS
1022400194,2024-09-01,PHO vs. LVA
1022400190,2024-09-01,SEA @ CON
1022400192,2024-09-01,IND @ DAL
1022400189,2024-08-31,CON @ WAS
1022400188,2024-08-30,NYL @ SEA
1022400186,2024-08-30,MIN @ DAL
1022400185,2024-08-30,IND @ CHI
1022400187,2024-08-30,LVA vs. ATL
1022400180,2024-08-28,IND vs. CON
1022400181,2024-08-28,WAS @ CHI
1022400184,2024-08-28,ATL @ SEA
1022400183,2024-08-28,PHO vs. MIN
1022400182,2024-08-28,NYL @ LAS
1022400179,2024-08-27,DAL vs. LVA
1022400176,2024-08-26,ATL vs. IND
1022400178,2024-08-26,SEA vs. WAS
1022400177,2024-08-26,NYL @ PHO
1022400174,2024-08-25,CHI vs. LVA
1022400175,2024-08-25,LAS @ DAL
1022400172,2024-08-24,CON @ NYL
1022400173,2024-08-24,MIN vs. IND
1022400170,2024-08-23,WAS vs. LAS
1022400171,2024-08-23,LVA @ MIN
1022400169,2024-08-23,CON vs. CHI
1022400168,2024-08-23,ATL vs. PHO
1022400167,2024-08-22,NYL vs. DAL
1022400165,2024-08-21,PHO @ ATL
1022400166,2024-08-21,LVA vs. MIN
1022400163,2024-08-20,DAL @ NYL
1022400162,2024-08-20,LAS @ CON
