GAME_ID,GAME_DATE,MATCHUP
1022500285,2025-09-11,GSV @ MIN
1022500284,2025-09-11,PHX @ DAL
1022500286,2025-09-11,LVA @ LAS
1022500283,2025-09-11,CHI vs. NYL
1022500282,2025-09-10,ATL @ CON
1022500277,2025-09-09,WAS @ NYL
1022500280,2025-09-09,LAS @ PHX
1022500281,2025-09-09,GSV @ SEA
1022500279,2025-09-09,LVA vs. CHI
1022500278,2025-09-09,IND vs. MIN
1022500276,2025-09-08,ATL vs. CON
1022500274,2025-09-07,DAL @ LAS
1022500275,2025-09-07,LVA vs. CHI
1022500273,2025-09-07,IND @ WAS
1022500271,2025-09-06,PHX @ CON
1022500272,2025-09-06,GSV vs. MIN
1022500269,2025-09-05,IND vs. CHI
1022500270,2025-09-05,NYL @ SEA
1022500268,2025-09-05,LAS @ ATL
1022500267,2025-09-04,MIN @ LVA
1022500266,2025-09-04,DAL @ GSV
1022500265,2025-09-04,PHX @ WAS
1022500264,2025-09-03,CON @ CHI
1022500263,2025-09-03,LAS @ ATL
1022500261,2025-09-02,GSV vs. NYL
1022500262,2025-09-02,IND @ PHX
1022500260,2025-09-01,SEA vs. LAS
1022500258,2025-09-01,CON vs. ATL
1022500259,2025-09-01,MIN vs. DAL
1022500257,2025-08-31,IND @ GSV
1022500256,2025-08-31,LAS vs. WAS
1022500255,2025-08-30,PHX vs. NYL
1022500254,2025-08-30,CHI @ SEA
1022500252,2025-08-30,MIN @ CON
1022500253,2025-08-30,WAS @ GSV
1022500250,2025-08-29,DAL @ ATL
1022500251,2025-08-29,LAS vs. IND
1022500247,2025-08-28,WAS @ NYL
1022500249,2025-08-28,CHI @ PHX
1022500248,2025-08-28,MIN vs. SEA
1022500246,2025-08-27,CON @ DAL
1022500245,2025-08-27,LVA @ ATL
1022500244,2025-08-26,PHX @ LAS
1022500243,2025-08-26,IND vs. SEA
1022500242,2025-08-25,CHI vs. LVA
1022500241,2025-08-25,NYL vs. CON
1022500239,2025-08-24,GSV @ DAL
1022500240,2025-08-24,MIN vs. IND
1022500238,2025-08-24,SEA @ WAS
1022500236,2025-08-23,LVA @ WAS
1022500235,2025-08-23,NYL @ ATL
1022500237,2025-08-23,CHI vs. CON
1022500234,2025-08-22,GSV @ PHX
1022500232,2025-08-22,MIN @ IND
1022500233,2025-08-22,DAL vs. SEA
1022500230,2025-08-21,MIN @ ATL
1022500229,2025-08-21,NYL vs. CHI
1022500231,2025-08-21,PHX @ LVA
1022500228,2025-08-21,WAS @ CON
1022500227,2025-08-20,LAS vs. DAL
1022500226,2025-08-19,PHX @ GSV
1022500225,2025-08-19,ATL @ LVA
1022500223,2025-08-19,CON @ WAS
1022500224,2025-08-19,CHI vs. SEA
1022500222,2025-08-19,MIN @ NYL
1022500219,2025-08-17,DAL @ LVA
1022500218,2025-08-17,CON vs. IND
1022500217,2025-08-17,LAS @ WAS
1022500221,2025-08-17,GSV vs. ATL
1022500220,2025-08-17,SEA vs. PHX
1022500216,2025-08-16,NYL @ MIN
1022500214,2025-08-15,ATL vs. SEA
1022500212,2025-08-15,CHI vs. GSV
1022500211,2025-08-15,IND vs. WAS
