GAME_ID,GAME_DATE,MATCHUP
1041400303,2014-09-12,PHO @ CHI
1041400302,2014-09-09,CHI @ PHO
1041400301,2014-09-07,CHI @ PHO
1041400203,2014-09-03,IND vs. CHI
1041400213,2014-09-02,MIN @ PHO
1041400202,2014-09-01,CHI vs. IND
1041400212,2014-08-31,PHO @ MIN
1041400201,2014-08-30,CHI @ IND
1041400211,2014-08-29,PHO vs. MIN
1041400103,2014-08-26,CHI @ ATL
1041400122,2014-08-24,LAS vs. PHO
1041400102,2014-08-24,CHI vs. ATL
1041400112,2014-08-23,IND @ WAS
1041400132,2014-08-23,SAN vs. MIN
1041400101,2014-08-22,CHI @ ATL
1041400121,2014-08-22,LAS @ PHO
1041400131,2014-08-21,SAN @ MIN
1041400111,2014-08-21,IND vs. WAS
