GAME_ID,GAME_DATE,MATCHUP
1021900200,2019-09-08,CON @ IND
1021900201,2019-09-08,WAS vs. CHI
1021900204,2019-09-08,MIN @ LAS
1021900202,2019-09-08,DAL vs. SEA
1021900199,2019-09-08,ATL vs. NYL
1021900203,2019-09-08,LVA @ PHO
1021900196,2019-09-06,CHI @ CON
1021900195,2019-09-06,DAL @ WAS
1021900198,2019-09-06,MIN @ PHO
1021900197,2019-09-06,IND @ NYL
1021900194,2019-09-05,SEA @ LAS
1021900193,2019-09-05,LVA @ ATL
1021900192,2019-09-04,DAL @ CON
1021900190,2019-09-03,SEA @ PHO
1021900189,2019-09-03,NYL vs. WAS
1021900191,2019-09-03,ATL @ LAS
1021900188,2019-09-01,ATL @ SEA
1021900187,2019-09-01,MIN vs. IND
1021900186,2019-09-01,PHO @ CHI
1021900184,2019-08-31,DAL vs. WAS
1021900185,2019-08-31,LVA vs. LAS
1021900183,2019-08-30,NYL vs. CON
1021900182,2019-08-29,ATL vs. PHO
1021900181,2019-08-29,DAL @ CHI
1021900180,2019-08-29,IND vs. LAS
1021900178,2019-08-27,MIN vs. CHI
1021900176,2019-08-27,NYL vs. PHO
1021900179,2019-08-27,SEA vs. CON
1021900175,2019-08-27,IND vs. LVA
1021900177,2019-08-27,WAS vs. LAS
1021900171,2019-08-25,LAS vs. CON
1021900169,2019-08-25,WAS vs. NYL
1021900170,2019-08-25,ATL @ DAL
1021900174,2019-08-25,SEA vs. IND
1021900173,2019-08-25,LVA @ MIN
1021900172,2019-08-25,PHO vs. CHI
1021900166,2019-08-23,LVA @ CON
1021900167,2019-08-23,NYL vs. ATL
1021900168,2019-08-23,CHI vs. WAS
1021900164,2019-08-22,MIN vs. DAL
1021900165,2019-08-22,LAS vs. IND
1021900160,2019-08-20,ATL vs. CHI
1021900163,2019-08-20,MIN @ LAS
1021900162,2019-08-20,LVA vs. PHO
1021900161,2019-08-20,NYL @ IND
1021900156,2019-08-18,IND @ WAS
1021900155,2019-08-18,CON vs. DAL
1021900158,2019-08-18,PHO vs. NYL
1021900159,2019-08-18,SEA vs. MIN
1021900157,2019-08-18,LVA @ CHI
1021900151,2019-08-16,LAS @ CHI
1021900153,2019-08-16,WAS @ MIN
1021900152,2019-08-16,DAL vs. NYL
1021900150,2019-08-16,CON vs. SEA
1021900154,2019-08-16,ATL @ PHO
1021900149,2019-08-14,PHO vs. CON
1021900148,2019-08-14,LAS @ DAL
1021900147,2019-08-14,WAS vs. SEA
1021900146,2019-08-13,LVA vs. ATL
1021900145,2019-08-13,NYL vs. MIN
1021900144,2019-08-11,CON @ LVA
1021900142,2019-08-11,MIN @ WAS
1021900143,2019-08-11,CHI @ LAS
1021900141,2019-08-11,SEA @ NYL
1021900139,2019-08-10,ATL @ IND
1021900140,2019-08-10,PHO vs. DAL
1021900137,2019-08-09,MIN vs. CON
1021900138,2019-08-09,CHI @ LVA
1021900136,2019-08-08,DAL @ SEA
1021900134,2019-08-08,WAS vs. IND
1021900135,2019-08-08,PHO @ LAS
1021900133,2019-08-07,CHI vs. NYL
1021900132,2019-08-06,MIN @ ATL
1021900079,2019-08-05,LVA vs. WAS
1021900131,2019-08-04,WAS @ PHO
1021900130,2019-08-04,LAS vs. SEA
1021900129,2019-08-04,NYL vs. CON
1021900126,2019-08-03,CHI @ ATL
1021900127,2019-08-03,MIN @ IND
1021900128,2019-08-03,LVA @ DAL
1021900125,2019-08-02,WAS @ SEA
1021900123,2019-08-01,NYL @ DAL
1021900122,2019-08-01,CON vs. PHO
1021900124,2019-08-01,LVA @ LAS
1021900121,2019-07-31,IND vs. ATL
1021900119,2019-07-30,WAS vs. PHO
1021900118,2019-07-30,CHI @ CON
1021900120,2019-07-30,DAL @ LVA
1021900116,2019-07-24,NYL @ CON
1021900117,2019-07-24,MIN vs. WAS
1021900113,2019-07-23,ATL vs. LAS
1021900114,2019-07-23,SEA @ LVA
1021900115,2019-07-23,PHO vs. IND
1021900112,2019-07-21,LVA vs. MIN
1021900111,2019-07-21,CHI vs. IND
1021900110,2019-07-21,WAS vs. ATL
1021900109,2019-07-20,PHO @ DAL
1021900108,2019-07-20,NYL vs. LAS
1021900106,2019-07-19,ATL @ CON
1021900107,2019-07-19,SEA vs. LVA
1021900105,2019-07-19,IND vs. WAS
1021900104,2019-07-18,DAL @ LAS
1021900103,2019-07-17,SEA @ MIN
1021900102,2019-07-17,PHO vs. DAL
1021900101,2019-07-17,ATL @ CHI
1021900099,2019-07-14,PHO @ MIN
1021900096,2019-07-14,ATL vs. LAS
1021900100,2019-07-14,NYL @ SEA
1021900097,2019-07-14,CON @ IND
1021900098,2019-07-14,CHI @ DAL
1021900095,2019-07-13,WAS vs. LVA
1021900094,2019-07-12,SEA vs. DAL
1021900090,2019-07-12,LAS @ IND
1021900093,2019-07-12,NYL @ CHI
1021900092,2019-07-12,CON vs. PHO
1021900091,2019-07-12,MIN @ ATL
1021900088,2019-07-10,IND vs. LVA
1021900086,2019-07-10,CON @ ATL
1021900087,2019-07-10,PHO @ WAS
1021900089,2019-07-10,CHI vs. MIN
1021900085,2019-07-09,LAS @ DAL
1021900084,2019-07-07,PHO vs. ATL
1021900081,2019-07-07,NYL vs. LVA
1021900082,2019-07-07,LAS vs. WAS
1021900083,2019-07-07,CHI vs. DAL
1021900080,2019-07-06,MIN @ CON
1021900078,2019-07-05,SEA vs. ATL
1021900076,2019-07-05,IND @ DAL
1021900077,2019-07-05,PHO vs. NYL
1021900075,2019-07-03,NYL @ SEA
1021900074,2019-07-02,MIN vs. ATL
1021900073,2019-07-02,LVA vs. CHI
1021900072,2019-06-30,SEA vs. PHO
1021900070,2019-06-30,MIN @ DAL
1021900069,2019-06-30,NYL @ ATL
1021900071,2019-06-30,CHI @ LAS
1021900067,2019-06-29,CON @ WAS
1021900068,2019-06-29,LVA vs. IND
1021900064,2019-06-28,DAL @ NYL
1021900066,2019-06-28,CHI @ SEA
1021900065,2019-06-28,IND @ PHO
1021900063,2019-06-27,LAS vs. LVA
1021900061,2019-06-26,WAS @ CHI
1021900062,2019-06-26,DAL vs. CON
1021900060,2019-06-25,SEA @ LVA
1021900059,2019-06-25,IND vs. MIN
1021900055,2019-06-23,WAS @ ATL
1021900056,2019-06-23,CHI vs. CON
1021900057,2019-06-23,LAS @ PHO
1021900058,2019-06-23,IND @ SEA
1021900054,2019-06-22,DAL @ LVA
1021900053,2019-06-22,MIN vs. NYL
1021900052,2019-06-21,LAS @ SEA
1021900050,2019-06-21,CON vs. ATL
1021900051,2019-06-21,CHI vs. IND
1021900049,2019-06-20,LVA vs. WAS
1021900048,2019-06-20,PHO @ DAL
1021900046,2019-06-19,ATL vs. IND
1021900047,2019-06-19,NYL vs. CHI
1021900045,2019-06-18,WAS @ LAS
1021900043,2019-06-16,CON vs. SEA
1021900044,2019-06-16,LVA @ MIN
1021900040,2019-06-15,IND vs. CHI
1021900041,2019-06-15,ATL @ DAL
1021900042,2019-06-15,NYL @ LAS
1021900036,2019-06-14,WAS vs. SEA
1021900039,2019-06-14,LVA vs. NYL
1021900037,2019-06-14,MIN vs. CON
1021900038,2019-06-14,PHO vs. LAS
1021900035,2019-06-13,DAL vs. IND
1021900034,2019-06-12,MIN @ NYL
1021900033,2019-06-11,CHI vs. PHO
1021900032,2019-06-11,IND vs. SEA
1021900031,2019-06-11,WAS @ CON
1021900028,2019-06-09,WAS vs. DAL
1021900029,2019-06-09,IND vs. PHO
1021900027,2019-06-09,LVA @ NYL
1021900026,2019-06-09,ATL vs. CON
1021900030,2019-06-09,CHI vs. SEA
1021900025,2019-06-08,MIN vs. LAS
1021900024,2019-06-07,NYL vs. WAS
1021900023,2019-06-07,DAL @ IND
1021900020,2019-06-06,LVA @ ATL
1021900022,2019-06-06,PHO @ MIN
1021900021,2019-06-06,CON vs. LAS
1021900019,2019-06-05,WAS vs. CHI
1021900018,2019-06-04,MIN @ SEA
1021900017,2019-06-04,NYL vs. LAS
1021900016,2019-06-02,LVA vs. CON
1021900013,2019-06-01,WAS vs. ATL
1021900014,2019-06-01,SEA @ CHI
1021900012,2019-06-01,NYL @ IND
1021900015,2019-06-01,MIN @ DAL
1021900010,2019-05-31,LVA @ PHO
1021900009,2019-05-31,SEA @ ATL
1021900011,2019-05-31,CON @ LAS
1021900008,2019-05-29,MIN vs. SEA
1021900007,2019-05-28,IND @ CON
1021900006,2019-05-26,LAS @ LVA
1021900004,2019-05-25,WAS @ CON
1021900003,2019-05-25,SEA vs. PHO
1021900005,2019-05-25,MIN vs. CHI
1021900001,2019-05-24,DAL @ ATL
1021900002,2019-05-24,IND @ NYL
