GAME_ID,GAME_DATE,MATCHUP
1041200304,2012-10-21,MIN @ IND
1041200303,2012-10-19,MIN @ IND
1041200302,2012-10-17,IND @ MIN
1041200301,2012-10-14,MIN vs. IND
1041200203,2012-10-11,IND @ CON
1041200202,2012-10-08,CON @ IND
1041200212,2012-10-07,MIN @ LAS
1041200201,2012-10-05,IND @ CON
1041200211,2012-10-04,LAS @ MIN
1041200113,2012-10-02,IND vs. ATL
1041200123,2012-10-02,MIN vs. SEA
1041200122,2012-09-30,SEA vs. MIN
1041200112,2012-09-30,ATL vs. IND
1041200102,2012-09-29,CON @ NYL
1041200132,2012-09-29,LAS @ SAN
1041200121,2012-09-28,MIN vs. SEA
1041200111,2012-09-28,ATL @ IND
1041200101,2012-09-27,NYL @ CON
1041200131,2012-09-27,SAN @ LAS
