GAME_ID,GAME_DATE,MATCHUP
1021400200,2014-08-17,ATL @ CON
1021400204,2014-08-17,PHO @ SEA
1021400201,2014-08-17,CHI vs. SAN
1021400202,2014-08-17,IND @ NYL
1021400197,2014-08-16,CHI @ IND
1021400203,2014-08-16,TUL @ MIN
1021400198,2014-08-16,NYL @ WAS
1021400199,2014-08-16,PHO vs. LAS
1021400196,2014-08-15,LAS vs. SEA
1021400195,2014-08-15,SAN vs. MIN
1021400193,2014-08-15,CON vs. WAS
1021400194,2014-08-15,TUL @ ATL
1021400192,2014-08-14,IND vs. NYL
1021400190,2014-08-13,WAS vs. CHI
1021400191,2014-08-13,ATL vs. PHO
1021400189,2014-08-12,LAS @ MIN
1021400188,2014-08-12,PHO @ NYL
1021400187,2014-08-10,TUL @ SEA
1021400185,2014-08-10,LAS @ SAN
1021400186,2014-08-10,CHI vs. ATL
1021400183,2014-08-10,WAS @ CON
1021400184,2014-08-10,NYL vs. IND
1021400182,2014-08-09,MIN @ PHO
1021400181,2014-08-08,LAS vs. ATL
1021400179,2014-08-08,CON @ NYL
1021400178,2014-08-08,IND vs. WAS
1021400180,2014-08-08,SAN @ TUL
1021400175,2014-08-07,MIN vs. CHI
1021400177,2014-08-07,SEA vs. ATL
1021400176,2014-08-07,SAN vs. PHO
1021400174,2014-08-05,TUL @ LAS
1021400173,2014-08-05,ATL @ PHO
1021400172,2014-08-05,NYL @ WAS
1021400171,2014-08-05,MIN @ IND
1021400170,2014-08-05,CHI @ CON
1021400168,2014-08-03,CHI vs. WAS
1021400169,2014-08-03,SEA vs. SAN
1021400167,2014-08-03,CON @ LAS
1021400166,2014-08-03,ATL vs. NYL
1021400165,2014-08-02,IND @ PHO
1021400164,2014-08-02,TUL vs. MIN
1021400163,2014-08-01,CON @ SAN
1021400159,2014-07-31,CHI vs. NYL
1021400160,2014-07-31,PHO @ MIN
1021400162,2014-07-31,SEA vs. IND
1021400161,2014-07-31,TUL vs. ATL
1021400157,2014-07-29,TUL vs. SEA
1021400158,2014-07-29,LAS @ PHO
1021400155,2014-07-29,NYL vs. WAS
1021400156,2014-07-29,CHI @ SAN
1021400154,2014-07-29,CON @ ATL
1021400153,2014-07-28,LAS vs. IND
1021400151,2014-07-27,WAS vs. ATL
1021400150,2014-07-27,CON vs. MIN
1021400152,2014-07-27,TUL vs. CHI
1021400148,2014-07-26,PHO vs. NYL
1021400149,2014-07-26,LAS @ SEA
1021400147,2014-07-26,SAN vs. IND
1021400145,2014-07-25,ATL vs. CHI
1021400144,2014-07-25,WAS vs. TUL
1021400146,2014-07-25,MIN vs. SAN
1021400142,2014-07-24,NYL @ SEA
1021400143,2014-07-24,PHO @ LAS
1021400141,2014-07-23,LAS vs. NYL
1021400140,2014-07-23,WAS vs. CON
1021400138,2014-07-22,SEA vs. PHO
1021400136,2014-07-22,IND @ CHI
1021400137,2014-07-22,TUL @ SAN
1021400139,2014-07-22,ATL @ MIN
1021400134,2014-07-17,PHO vs. CON
1021400133,2014-07-17,IND vs. CHI
1021400132,2014-07-17,TUL vs. SAN
1021400135,2014-07-17,WAS @ LAS
1021400130,2014-07-16,NYL vs. ATL
1021400131,2014-07-16,TUL @ MIN
1021400128,2014-07-15,IND vs. LAS
1021400127,2014-07-15,CON @ SEA
1021400129,2014-07-15,WAS @ PHO
1021400126,2014-07-13,CHI @ ATL
1021400123,2014-07-13,LAS @ CON
1021400125,2014-07-13,SAN @ PHO
1021400124,2014-07-13,MIN vs. SEA
1021400121,2014-07-12,IND vs. ATL
1021400122,2014-07-12,TUL vs. WAS
1021400120,2014-07-11,CHI vs. PHO
1021400118,2014-07-11,NYL vs. LAS
1021400119,2014-07-11,SAN vs. SEA
1021400116,2014-07-10,CON @ IND
1021400117,2014-07-10,MIN @ TUL
1021400114,2014-07-09,PHO vs. SEA
1021400115,2014-07-09,SAN vs. NYL
1021400113,2014-07-09,WAS @ CHI
1021400111,2014-07-08,IND @ TUL
1021400112,2014-07-08,LAS @ MIN
1021400110,2014-07-08,ATL vs. CON
1021400108,2014-07-06,NYL vs. MIN
1021400109,2014-07-06,PHO @ LAS
1021400106,2014-07-05,TUL vs. CON
1021400107,2014-07-05,CHI @ SEA
1021400105,2014-07-05,WAS @ ATL
1021400104,2014-07-05,SAN @ IND
1021400103,2014-07-03,SEA vs. LAS
1021400102,2014-07-03,MIN vs. SAN
1021400101,2014-07-03,CON vs. TUL
1021400100,2014-07-02,CHI @ PHO
1021400099,2014-07-02,IND @ WAS
1021400097,2014-07-01,IND @ ATL
1021400096,2014-07-01,NYL vs. TUL
1021400095,2014-07-01,CON vs. SAN
1021400098,2014-07-01,LAS vs. CHI
1021400092,2014-06-29,PHO @ TUL
1021400094,2014-06-29,SEA @ MIN
1021400091,2014-06-29,WAS vs. SAN
1021400090,2014-06-29,CON @ NYL
1021400093,2014-06-29,IND vs. ATL
1021400089,2014-06-28,TUL vs. LAS
1021400085,2014-06-27,IND vs. PHO
1021400088,2014-06-27,MIN @ SEA
1021400087,2014-06-27,NYL vs. CHI
1021400086,2014-06-27,WAS vs. CON
1021400084,2014-06-26,ATL @ SAN
1021400083,2014-06-25,IND vs. TUL
1021400082,2014-06-25,CON vs. CHI
1021400080,2014-06-24,WAS @ SAN
1021400081,2014-06-24,SEA @ LAS
1021400077,2014-06-22,SAN @ LAS
1021400079,2014-06-22,WAS @ SEA
1021400078,2014-06-22,MIN vs. IND
1021400076,2014-06-22,ATL @ NYL
1021400075,2014-06-22,TUL @ CHI
1021400072,2014-06-20,WAS @ MIN
1021400073,2014-06-20,IND @ CHI
1021400074,2014-06-20,PHO vs. TUL
1021400071,2014-06-20,NYL @ ATL
1021400070,2014-06-19,LAS vs. TUL
1021400069,2014-06-19,SEA vs. SAN
1021400066,2014-06-18,WAS @ ATL
1021400067,2014-06-18,CHI vs. NYL
1021400068,2014-06-18,MIN @ PHO
1021400065,2014-06-17,LAS vs. MIN
1021400064,2014-06-17,CON vs. IND
1021400061,2014-06-15,CON vs. NYL
1021400062,2014-06-15,WAS vs. ATL
1021400060,2014-06-15,PHO @ MIN
1021400063,2014-06-15,TUL vs. SEA
1021400059,2014-06-14,LAS @ SAN
1021400058,2014-06-13,TUL vs. LAS
1021400054,2014-06-13,WAS vs. CHI
1021400056,2014-06-13,NYL vs. CON
1021400057,2014-06-13,SEA @ SAN
1021400055,2014-06-13,ATL vs. MIN
1021400053,2014-06-12,CON vs. PHO
1021400052,2014-06-11,SEA @ IND
1021400051,2014-06-10,SEA @ CHI
1021400049,2014-06-10,TUL vs. NYL
1021400050,2014-06-10,PHO @ WAS
1021400047,2014-06-08,WAS @ NYL
1021400048,2014-06-08,LAS vs. MIN
1021400044,2014-06-07,ATL vs. CHI
1021400046,2014-06-07,PHO @ SAN
1021400045,2014-06-07,IND @ CON
1021400041,2014-06-06,TUL vs. PHO
1021400043,2014-06-06,MIN @ SEA
1021400040,2014-06-06,IND @ WAS
1021400042,2014-06-06,LAS @ CHI
1021400039,2014-06-05,SAN @ NYL
1021400038,2014-06-05,CON vs. WAS
1021400036,2014-06-03,ATL vs. LAS
1021400037,2014-06-03,SEA @ PHO
1021400035,2014-06-01,SEA vs. TUL
1021400032,2014-06-01,ATL @ CON
1021400034,2014-06-01,SAN vs. MIN
1021400033,2014-06-01,LAS @ WAS
1021400031,2014-05-31,IND vs. NYL
1021400030,2014-05-30,TUL @ PHO
1021400026,2014-05-30,NYL @ WAS
1021400027,2014-05-30,ATL vs. SEA
1021400029,2014-05-30,CON @ CHI
1021400028,2014-05-30,SAN @ MIN
1021400025,2014-05-29,CON @ IND
1021400024,2014-05-28,SAN vs. TUL
1021400023,2014-05-27,NYL vs. SEA
1021400022,2014-05-26,CHI vs. MIN
1021400021,2014-05-25,ATL vs. IND
1021400020,2014-05-25,LAS vs. SAN
1021400018,2014-05-24,CHI vs. ATL
1021400019,2014-05-24,NYL @ MIN
1021400017,2014-05-24,WAS vs. SEA
1021400014,2014-05-23,WAS @ IND
1021400016,2014-05-23,PHO vs. SAN
1021400013,2014-05-23,CON vs. SEA
1021400015,2014-05-23,TUL vs. MIN
1021400012,2014-05-21,CHI vs. CON
1021400010,2014-05-18,CON @ MIN
1021400011,2014-05-18,LAS vs. PHO
1021400008,2014-05-17,TUL @ SAN
1021400009,2014-05-17,PHO vs. SEA
1021400007,2014-05-17,NYL vs. CHI
1021400006,2014-05-17,IND vs. ATL
1021400001,2014-05-16,NYL @ CON
1021400004,2014-05-16,CHI vs. IND
1021400002,2014-05-16,MIN @ WAS
1021400003,2014-05-16,ATL vs. SAN
1021400005,2014-05-16,SEA vs. LAS
