GAME_ID,GAME_DATE,MATCHUP
1041100303,2011-10-07,MIN @ ATL
1041100302,2011-10-05,MIN vs. ATL
1041100301,2011-10-02,ATL @ MIN
1041100203,2011-09-27,ATL @ IND
1041100202,2011-09-25,ATL vs. IND
1041100212,2011-09-25,PHO vs. MIN
1041100201,2011-09-22,ATL @ IND
1041100211,2011-09-22,PHO @ MIN
1041100123,2011-09-20,MIN vs. SAN
1041100103,2011-09-19,NYL @ IND
1041100133,2011-09-19,PHO @ SEA
1041100122,2011-09-18,MIN @ SAN
1041100112,2011-09-18,ATL vs. CON
1041100102,2011-09-17,IND @ NYL
1041100132,2011-09-17,PHO vs. SEA
1041100121,2011-09-16,MIN vs. SAN
1041100111,2011-09-16,CON vs. ATL
1041100131,2011-09-15,PHO @ SEA
1041100101,2011-09-15,NYL @ IND
