GAME_ID,GAME_DATE,MATCHUP
1040400303,2004-10-12,CON @ SEA
1040400302,2004-10-10,SEA vs. CON
1040400301,2004-10-08,SEA @ CON
1040400213,2004-10-05,SAC @ SEA
1040400212,2004-10-03,SEA vs. SAC
1040400202,2004-10-03,CON vs. NYL
1040400211,2004-10-01,SAC vs. SEA
1040400201,2004-10-01,CON @ NYL
1040400103,2004-09-29,CON vs. WAS
1040400113,2004-09-28,DET @ NYL
1040400123,2004-09-28,SAC @ LAS
1040400102,2004-09-27,WAS @ CON
1040400132,2004-09-27,SEA vs. MIN
1040400122,2004-09-26,SAC @ LAS
1040400112,2004-09-26,NYL vs. DET
1040400131,2004-09-25,MIN vs. SEA
1040400101,2004-09-25,WAS vs. CON
1040400121,2004-09-24,SAC vs. LAS
1040400111,2004-09-24,NYL @ DET
