GAME_ID,GAME_DATE,MATCHUP
1022001089,2020-09-13,DAL @ NYL
1022001085,2020-09-13,ATL vs. WAS
1022001090,2020-09-13,SEA vs. LVA
1022001131,2020-09-12,MIN @ IND
1022001130,2020-09-12,NYL vs. WAS
1022001132,2020-09-12,LAS vs. LVA
1022001129,2020-09-11,PHO vs. SEA
1022001127,2020-09-11,ATL @ CON
1022001128,2020-09-11,DAL vs. CHI
1022001124,2020-09-10,IND vs. NYL
1022001126,2020-09-10,WAS @ LAS
1022001125,2020-09-10,LVA @ MIN
1022001123,2020-09-09,DAL @ SEA
1022001122,2020-09-09,CHI vs. ATL
1022001121,2020-09-09,PHO @ CON
1022001119,2020-09-08,MIN @ WAS
1022001120,2020-09-08,IND @ LVA
1022001118,2020-09-08,LAS @ NYL
1022001087,2020-09-07,CON @ PHO
1022001116,2020-09-06,SEA @ MIN
1022001115,2020-09-06,DAL @ WAS
1022001117,2020-09-06,LAS vs. CHI
1022001113,2020-09-05,ATL vs. LVA
1022001114,2020-09-05,NYL @ PHO
1022001112,2020-09-05,CON @ IND
1022001110,2020-09-04,DAL vs. MIN
1022001111,2020-09-04,SEA @ LAS
1022001109,2020-09-04,WAS vs. CHI
1022001108,2020-09-03,PHO vs. IND
1022001106,2020-09-03,ATL @ NYL
1022001107,2020-09-03,LVA @ CON
1022001103,2020-09-02,MIN @ CHI
1022001104,2020-09-02,LAS @ DAL
1022001105,2020-09-02,SEA vs. WAS
1022001102,2020-09-01,PHO @ LVA
1022001100,2020-09-01,CON @ NYL
1022001101,2020-09-01,ATL vs. IND
1022001086,2020-08-31,LAS @ MIN
1022001088,2020-08-31,IND vs. CHI
1022001099,2020-08-30,ATL @ LAS
1022001097,2020-08-30,WAS vs. CON
1022001098,2020-08-30,PHO @ MIN
1022001095,2020-08-29,CHI vs. SEA
1022001094,2020-08-29,IND vs. DAL
1022001096,2020-08-29,NYL @ LVA
1022001092,2020-08-28,CON vs. LAS
1022001091,2020-08-28,MIN @ ATL
1022001093,2020-08-28,WAS @ PHO
1022001082,2020-08-25,NYL @ CHI
1022001083,2020-08-25,DAL vs. LVA
1022001084,2020-08-25,SEA vs. IND
1022001079,2020-08-23,MIN vs. ATL
1022001080,2020-08-23,DAL @ LAS
1022001081,2020-08-23,WAS vs. PHO
1022001078,2020-08-22,LVA vs. SEA
1022001076,2020-08-22,IND @ CHI
1022001077,2020-08-22,CON vs. NYL
1022001073,2020-08-21,LAS @ ATL
1022001074,2020-08-21,WAS @ DAL
1022001075,2020-08-21,MIN @ PHO
1022001072,2020-08-20,CON @ LVA
1022001071,2020-08-20,SEA @ IND
1022001070,2020-08-20,NYL vs. CHI
1022001068,2020-08-19,MIN vs. DAL
1022001069,2020-08-19,LAS vs. PHO
1022001067,2020-08-19,WAS vs. ATL
1022001064,2020-08-18,IND @ CON
1022001065,2020-08-18,CHI vs. LVA
1022001066,2020-08-18,SEA vs. NYL
1022001061,2020-08-16,CHI @ ATL
1022001063,2020-08-16,PHO vs. DAL
1022001062,2020-08-16,SEA @ CON
1022001059,2020-08-15,NYL @ MIN
1022001058,2020-08-15,IND vs. LAS
1022001060,2020-08-15,LVA vs. WAS
1022001056,2020-08-14,SEA @ DAL
1022001057,2020-08-14,PHO vs. ATL
1022001055,2020-08-14,CON @ CHI
1022001054,2020-08-13,MIN @ LVA
1022001052,2020-08-13,NYL vs. IND
1022001053,2020-08-13,LAS @ WAS
1022001049,2020-08-12,DAL @ CON
1022001051,2020-08-12,ATL @ SEA
1022001050,2020-08-12,PHO @ CHI
1022001048,2020-08-11,LAS vs. NYL
1022001047,2020-08-11,LVA @ IND
1022001046,2020-08-11,MIN vs. WAS
1022001045,2020-08-10,SEA vs. CHI
1022001044,2020-08-10,DAL vs. PHO
1022001043,2020-08-10,CON @ ATL
1022001041,2020-08-09,IND vs. WAS
1022001042,2020-08-09,LAS vs. MIN
1022001040,2020-08-09,LVA @ NYL
1022001038,2020-08-08,SEA vs. PHO
1022001039,2020-08-08,CHI @ CON
1022001037,2020-08-08,ATL @ DAL
1022001035,2020-08-07,NYL @ WAS
1022001036,2020-08-07,LAS @ LVA
1022001034,2020-08-07,MIN vs. IND
1022001031,2020-08-06,SEA @ ATL
