GAME_ID,GAME_DATE,MATCHUP
1021500204,2015-09-13,SEA vs. SAN
1021500201,2015-09-13,WAS vs. ATL
1021500203,2015-09-13,IND vs. NYL
1021500202,2015-09-13,PHO @ TUL
1021500200,2015-09-13,CON vs. CHI
1021500198,2015-09-11,PHO vs. LAS
1021500195,2015-09-11,WAS @ NYL
1021500197,2015-09-11,CHI vs. TUL
1021500196,2015-09-11,ATL vs. IND
1021500199,2015-09-11,MIN @ SEA
1021500194,2015-09-09,LAS @ ATL
1021500193,2015-09-09,CON @ NYL
1021500192,2015-09-08,SAN @ TUL
1021500190,2015-09-08,IND @ WAS
1021500191,2015-09-08,MIN vs. SEA
1021500186,2015-09-06,ATL vs. WAS
1021500187,2015-09-06,TUL @ LAS
1021500189,2015-09-06,NYL @ MIN
1021500188,2015-09-06,CHI vs. SEA
1021500185,2015-09-05,PHO @ SAN
1021500184,2015-09-04,CON @ SAN
1021500183,2015-09-04,MIN vs. IND
1021500180,2015-09-03,NYL vs. CHI
1021500182,2015-09-03,WAS @ LAS
1021500181,2015-09-03,SEA vs. TUL
1021500179,2015-09-02,WAS @ PHO
1021500177,2015-09-01,ATL @ NYL
1021500178,2015-09-01,IND vs. CON
1021500174,2015-08-30,CHI vs. CON
1021500176,2015-08-30,SEA vs. WAS
1021500175,2015-08-30,MIN vs. PHO
1021500173,2015-08-30,LAS vs. SAN
1021500172,2015-08-30,IND @ TUL
1021500170,2015-08-29,CON vs. NYL
1021500171,2015-08-29,CHI @ ATL
1021500167,2015-08-28,NYL vs. MIN
1021500169,2015-08-28,SAN @ SEA
1021500166,2015-08-28,ATL @ IND
1021500168,2015-08-28,LAS @ TUL
1021500165,2015-08-28,WAS vs. PHO
1021500164,2015-08-27,CON vs. PHO
1021500163,2015-08-26,LAS @ IND
1021500162,2015-08-25,CON @ ATL
1021500161,2015-08-23,PHO vs. MIN
1021500160,2015-08-23,IND vs. NYL
1021500159,2015-08-23,CON vs. ATL
1021500158,2015-08-23,LAS @ SAN
1021500157,2015-08-23,WAS vs. CHI
1021500151,2015-08-21,ATL @ NYL
1021500154,2015-08-21,WAS @ CHI
1021500155,2015-08-21,PHO vs. LAS
1021500153,2015-08-21,SAN vs. MIN
1021500152,2015-08-21,CON @ TUL
1021500156,2015-08-21,SEA vs. IND
1021500149,2015-08-19,WAS @ MIN
1021500150,2015-08-19,SAN vs. NYL
1021500147,2015-08-18,PHO @ TUL
1021500148,2015-08-18,LAS vs. IND
1021500146,2015-08-16,SAN @ SEA
1021500142,2015-08-16,ATL vs. CON
1021500143,2015-08-16,MIN @ WAS
1021500145,2015-08-16,PHO vs. IND
1021500144,2015-08-16,LAS vs. CHI
1021500141,2015-08-15,NYL vs. TUL
1021500139,2015-08-14,ATL vs. MIN
1021500140,2015-08-14,CHI @ SEA
1021500138,2015-08-14,CON vs. NYL
1021500136,2015-08-12,CON vs. TUL
1021500137,2015-08-12,PHO vs. SEA
1021500132,2015-08-11,NYL vs. CHI
1021500135,2015-08-11,LAS vs. SEA
1021500133,2015-08-11,IND @ WAS
1021500134,2015-08-11,SAN @ MIN
1021500131,2015-08-09,MIN vs. LAS
1021500130,2015-08-09,TUL vs. ATL
1021500128,2015-08-09,CHI vs. PHO
1021500129,2015-08-09,CON @ WAS
1021500127,2015-08-08,SAN vs. SEA
1021500124,2015-08-07,ATL @ IND
1021500125,2015-08-07,CHI vs. NYL
1021500123,2015-08-07,CON vs. WAS
1021500126,2015-08-07,PHO vs. MIN
1021500122,2015-08-06,TUL @ LAS
1021500121,2015-08-05,WAS vs. SAN
1021500120,2015-08-04,MIN @ LAS
1021500118,2015-08-04,IND @ CHI
1021500119,2015-08-04,TUL @ PHO
1021500117,2015-08-04,CON vs. SAN
1021500114,2015-08-02,LAS @ SAN
1021500112,2015-08-02,NYL vs. SEA
1021500116,2015-08-02,CHI vs. WAS
1021500113,2015-08-02,PHO @ ATL
1021500115,2015-08-02,IND vs. CON
1021500111,2015-08-01,MIN @ TUL
1021500110,2015-07-31,LAS @ CHI
1021500109,2015-07-31,SAN vs. WAS
1021500108,2015-07-31,ATL @ MIN
1021500107,2015-07-31,SEA @ CON
1021500106,2015-07-30,TUL vs. PHO
1021500104,2015-07-29,MIN vs. LAS
1021500102,2015-07-29,SEA @ WAS
1021500103,2015-07-29,NYL @ IND
1021500105,2015-07-29,SAN vs. ATL
1021500101,2015-07-28,PHO vs. CHI
1021500088,2015-07-28,IND @ CON
1021500100,2015-07-22,LAS vs. NYL
1021500099,2015-07-22,CON @ MIN
1021500094,2015-07-21,WAS @ TUL
1021500095,2015-07-21,IND @ SAN
1021500098,2015-07-21,NYL @ SEA
1021500097,2015-07-21,PHO @ LAS
1021500096,2015-07-21,ATL @ CHI
1021500092,2015-07-19,SAN @ CHI
1021500093,2015-07-19,WAS vs. CON
1021500091,2015-07-19,MIN @ TUL
1021500090,2015-07-18,NYL @ PHO
1021500089,2015-07-18,SEA vs. ATL
1021500085,2015-07-17,IND @ WAS
1021500086,2015-07-17,CHI @ MIN
1021500087,2015-07-17,SAN vs. TUL
1021500083,2015-07-16,ATL @ LAS
1021500084,2015-07-16,CON @ NYL
1021500082,2015-07-15,TUL @ IND
1021500080,2015-07-15,WAS @ CHI
1021500079,2015-07-15,NYL vs. SAN
1021500081,2015-07-15,LAS @ SEA
1021500077,2015-07-14,MIN @ CON
1021500078,2015-07-14,PHO vs. ATL
1021500076,2015-07-12,MIN vs. SAN
1021500075,2015-07-12,SEA @ PHO
1021500074,2015-07-12,CHI vs. CON
1021500073,2015-07-12,NYL @ ATL
1021500072,2015-07-11,TUL vs. LAS
1021500071,2015-07-10,SEA vs. PHO
1021500070,2015-07-10,CHI vs. MIN
1021500069,2015-07-10,IND vs. SAN
1021500068,2015-07-09,WAS vs. NYL
1021500066,2015-07-08,SEA @ IND
1021500067,2015-07-08,LAS @ SAN
1021500065,2015-07-07,TUL @ ATL
1021500064,2015-07-05,PHO @ LAS
1021500063,2015-07-05,SEA @ ATL
1021500062,2015-07-03,TUL @ LAS
1021500061,2015-07-03,MIN vs. SEA
1021500058,2015-07-02,IND vs. WAS
1021500057,2015-07-02,CON vs. CHI
1021500059,2015-07-02,PHO vs. TUL
1021500060,2015-07-02,LAS vs. SAN
1021500055,2015-06-30,PHO vs. SAN
1021500056,2015-06-30,TUL @ SEA
1021500053,2015-06-30,CON vs. IND
1021500054,2015-06-30,NYL @ CHI
1021500052,2015-06-28,SEA @ TUL
1021500050,2015-06-28,LAS @ NYL
1021500051,2015-06-28,WAS vs. CHI
1021500049,2015-06-27,SAN vs. SEA
1021500048,2015-06-27,PHO @ MIN
1021500044,2015-06-26,CON vs. LAS
1021500045,2015-06-26,IND vs. CHI
1021500047,2015-06-26,TUL vs. NYL
1021500046,2015-06-26,ATL vs. WAS
1021500043,2015-06-25,SEA vs. MIN
1021500042,2015-06-25,SAN vs. PHO
1021500041,2015-06-24,CHI vs. ATL
1021500040,2015-06-23,LAS @ WAS
1021500037,2015-06-21,LAS vs. CON
1021500038,2015-06-21,MIN vs. TUL
1021500039,2015-06-21,SEA vs. PHO
1021500036,2015-06-21,ATL vs. NYL
1021500034,2015-06-20,WAS @ IND
1021500035,2015-06-20,SAN vs. CHI
1021500029,2015-06-19,TUL @ WAS
1021500033,2015-06-19,CON @ PHO
1021500032,2015-06-19,MIN @ SAN
1021500030,2015-06-19,IND @ NYL
1021500031,2015-06-19,CHI @ ATL
1021500026,2015-06-16,TUL vs. SAN
1021500027,2015-06-16,SEA vs. CON
1021500025,2015-06-16,ATL vs. IND
1021500028,2015-06-16,MIN @ LAS
1021500021,2015-06-14,PHO vs. MIN
1021500020,2015-06-14,CON vs. ATL
1021500019,2015-06-14,CHI @ IND
1021500024,2015-06-14,NYL vs. WAS
1021500023,2015-06-14,LAS vs. SEA
1021500022,2015-06-14,SAN vs. TUL
1021500017,2015-06-12,WAS vs. ATL
1021500018,2015-06-12,PHO @ IND
1021500016,2015-06-11,MIN vs. SEA
1021500015,2015-06-11,SAN @ ATL
1021500014,2015-06-11,NYL vs. PHO
1021500013,2015-06-11,CON vs. CHI
1021500012,2015-06-09,TUL vs. SEA
1021500011,2015-06-09,NYL vs. IND
1021500010,2015-06-07,ATL vs. CON
1021500007,2015-06-06,MIN @ IND
1021500009,2015-06-06,LAS @ SEA
1021500008,2015-06-06,TUL vs. CHI
1021500006,2015-06-06,NYL @ WAS
1021500003,2015-06-05,TUL @ MIN
1021500001,2015-06-05,CON vs. WAS
1021500005,2015-06-05,SAN @ PHO
1021500004,2015-06-05,IND @ CHI
1021500002,2015-06-05,ATL @ NYL
