GAME_ID,GAME_DATE,MATCHUP
1040200302,2002-08-31,NYL @ LAS
1040200301,2002-08-29,NYL vs. LAS
1040200203,2002-08-25,NYL vs. WAS
1040200202,2002-08-24,WAS @ NYL
1040200212,2002-08-24,UTA @ LAS
1040200211,2002-08-22,LAS @ UTA
1040200201,2002-08-22,NYL @ WAS
1040200133,2002-08-20,HOU vs. UTA
1040200103,2002-08-20,IND @ NYL
1040200102,2002-08-18,NYL vs. IND
1040200132,2002-08-18,HOU vs. UTA
1040200112,2002-08-17,CHA vs. WAS
1040200122,2002-08-17,LAS vs. SEA
1040200131,2002-08-16,HOU @ UTA
1040200101,2002-08-16,IND vs. NYL
1040200121,2002-08-15,LAS @ SEA
1040200111,2002-08-15,CHA @ WAS
