GAME_ID,GAME_DATE,MATCHUP
1042200304,2022-09-18,CON vs. LVA
1042200303,2022-09-15,LVA @ CON
1042200302,2022-09-13,CON @ LVA
1042200301,2022-09-11,LVA vs. CON
1042200215,2022-09-08,CHI vs. CON
1042200214,2022-09-06,CHI @ CON
1042200204,2022-09-06,LVA @ SEA
1042200213,2022-09-04,CON vs. CHI
1042200203,2022-09-04,LVA @ SEA
1042200202,2022-08-31,LVA vs. SEA
1042200212,2022-08-31,CHI vs. CON
1042200211,2022-08-28,CON @ CHI
1042200201,2022-08-28,LVA vs. SEA
1042200123,2022-08-24,CON @ DAL
1042200113,2022-08-23,NYL vs. CHI
1042200132,2022-08-21,WAS @ SEA
1042200122,2022-08-21,DAL @ CON
1042200102,2022-08-20,LVA vs. PHO
1042200112,2022-08-20,CHI vs. NYL
1042200131,2022-08-18,WAS @ SEA
1042200121,2022-08-18,DAL @ CON
1042200101,2022-08-17,LVA vs. PHO
1042200111,2022-08-17,NYL @ CHI
