GAME_ID,GAME_DATE,MATCHUP
1029900191,1999-08-21,UTA vs. LAS
1029900190,1999-08-21,ORL @ DET
1029900189,1999-08-21,NYL @ CLE
1029900192,1999-08-21,HOU @ SAC
1029900188,1999-08-21,MIN @ WAS
1029900186,1999-08-20,PHO vs. UTA
1029900184,1999-08-20,DET @ CHA
1029900185,1999-08-20,MIN vs. ORL
1029900187,1999-08-20,HOU @ LAS
1029900183,1999-08-19,CLE @ NYL
1029900181,1999-08-18,HOU vs. PHO
1029900180,1999-08-18,DET @ ORL
1029900182,1999-08-18,MIN @ LAS
1029900178,1999-08-17,NYL vs. WAS
1029900179,1999-08-17,PHO vs. SAC
1029900175,1999-08-16,MIN vs. CLE
1029900177,1999-08-16,LAS vs. CHA
1029900176,1999-08-16,UTA @ HOU
1029900174,1999-08-15,CHA @ PHO
1029900173,1999-08-15,WAS @ ORL
1029900172,1999-08-15,NYL vs. DET
1029900169,1999-08-14,ORL @ CLE
1029900171,1999-08-14,UTA @ SAC
1029900168,1999-08-14,WAS vs. LAS
1029900170,1999-08-14,MIN @ HOU
1029900165,1999-08-13,DET vs. NYL
1029900166,1999-08-13,PHO @ UTA
1029900167,1999-08-13,CHA @ SAC
1029900163,1999-08-12,ORL vs. CLE
1029900164,1999-08-12,HOU vs. LAS
1029900162,1999-08-11,PHO vs. DET
1029900160,1999-08-11,WAS vs. NYL
1029900161,1999-08-11,MIN vs. UTA
1029900159,1999-08-10,LAS @ SAC
1029900155,1999-08-09,ORL vs. NYL
1029900156,1999-08-09,UTA vs. CHA
1029900157,1999-08-09,PHO vs. MIN
1029900158,1999-08-09,LAS vs. DET
1029900154,1999-08-08,WAS vs. CLE
1029900153,1999-08-08,NYL vs. HOU
1029900149,1999-08-07,ORL @ CHA
1029900151,1999-08-07,UTA vs. MIN
1029900152,1999-08-07,SAC vs. PHO
1029900150,1999-08-07,WAS @ CLE
1029900148,1999-08-06,DET @ SAC
1029900145,1999-08-06,MIN vs. LAS
1029900147,1999-08-06,NYL @ PHO
1029900146,1999-08-06,CHA @ HOU
1029900144,1999-08-05,LAS @ UTA
1029900143,1999-08-05,WAS vs. ORL
1029900141,1999-08-04,ORL vs. CLE
1029900142,1999-08-04,MIN @ DET
1029900140,1999-08-04,SAC @ CHA
1029900139,1999-08-03,UTA vs. NYL
1029900137,1999-08-02,MIN vs. PHO
1029900136,1999-08-02,DET vs. WAS
1029900135,1999-08-02,CHA vs. CLE
1029900138,1999-08-02,HOU vs. SAC
1029900134,1999-08-01,ORL @ NYL
1029900129,1999-07-31,DET vs. CLE
1029900133,1999-07-31,LAS vs. WAS
1029900131,1999-07-31,PHO @ HOU
1029900130,1999-07-31,MIN vs. CHA
1029900132,1999-07-31,SAC @ UTA
1029900127,1999-07-30,NYL @ CHA
1029900128,1999-07-30,LAS vs. UTA
1029900125,1999-07-29,PHO vs. MIN
1029900126,1999-07-29,SAC vs. WAS
1029900124,1999-07-29,HOU @ CLE
1029900123,1999-07-29,ORL vs. NYL
1029900122,1999-07-28,CHA vs. DET
1029900118,1999-07-27,DET @ HOU
1029900121,1999-07-27,SAC vs. MIN
1029900120,1999-07-27,LAS vs. ORL
1029900119,1999-07-27,UTA @ PHO
1029900117,1999-07-26,WAS @ UTA
1029900116,1999-07-26,CHA @ NYL
1029900113,1999-07-25,DET vs. CHA
1029900114,1999-07-25,HOU @ MIN
1029900115,1999-07-25,PHO vs. WAS
1029900112,1999-07-24,SAC vs. ORL
1029900110,1999-07-24,UTA @ CLE
1029900111,1999-07-24,NYL @ LAS
1029900107,1999-07-23,DET @ CLE
1029900109,1999-07-23,ORL @ PHO
1029900106,1999-07-23,CHA vs. HOU
1029900108,1999-07-23,WAS @ MIN
1029900105,1999-07-22,NYL @ SAC
1029900104,1999-07-21,PHO @ LAS
1029900101,1999-07-21,CLE @ WAS
1029900103,1999-07-21,DET vs. UTA
1029900102,1999-07-21,MIN @ CHA
1029900037,1999-07-20,ORL @ NYL
1029900097,1999-07-19,ORL @ WAS
1029900100,1999-07-19,PHO vs. HOU
1029900099,1999-07-19,SAC @ MIN
1029900098,1999-07-19,CHA vs. UTA
1029900096,1999-07-18,LAS vs. HOU
1029900095,1999-07-18,UTA @ NYL
1029900093,1999-07-17,NYL @ MIN
1029900091,1999-07-17,ORL vs. SAC
1029900090,1999-07-17,CHA vs. WAS
1029900092,1999-07-17,DET vs. CLE
1029900094,1999-07-17,LAS @ PHO
1029900086,1999-07-16,DET @ WAS
1029900088,1999-07-16,CLE vs. SAC
1029900089,1999-07-16,UTA vs. HOU
1029900087,1999-07-16,CHA @ ORL
1029900084,1999-07-12,CLE vs. MIN
1029900083,1999-07-12,DET @ ORL
1029900085,1999-07-12,UTA vs. PHO
1029900082,1999-07-12,WAS vs. CHA
1029900081,1999-07-11,PHO @ LAS
1029900080,1999-07-11,SAC @ HOU
1029900079,1999-07-11,MIN @ NYL
1029900077,1999-07-10,CLE vs. CHA
1029900076,1999-07-10,UTA @ ORL
1029900078,1999-07-10,WAS @ DET
1029900074,1999-07-09,HOU @ PHO
1029900075,1999-07-09,LAS vs. SAC
1029900073,1999-07-09,ORL @ CHA
1029900071,1999-07-08,CLE vs. NYL
1029900072,1999-07-08,SAC vs. HOU
1029900070,1999-07-08,UTA @ WAS
1029900068,1999-07-07,ORL vs. MIN
1029900067,1999-07-07,CHA vs. CLE
1029900069,1999-07-07,PHO vs. LAS
1029900064,1999-07-06,WAS vs. NYL
1029900065,1999-07-06,MIN @ HOU
1029900066,1999-07-06,UTA vs. DET
1029900063,1999-07-05,LAS vs. CLE
1029900062,1999-07-05,SAC @ NYL
1029900061,1999-07-04,DET vs. SAC
1029900060,1999-07-03,NYL @ HOU
1029900059,1999-07-03,PHO @ MIN
1029900058,1999-07-03,ORL vs. CHA
1029900056,1999-07-02,DET vs. LAS
1029900057,1999-07-02,UTA vs. CLE
1029900055,1999-07-02,SAC @ WAS
1029900052,1999-07-01,NYL vs. PHO
1029900053,1999-07-01,LAS @ MIN
1029900054,1999-07-01,HOU vs. CLE
1029900050,1999-06-30,CHA vs. WAS
1029900051,1999-06-30,HOU @ UTA
1029900049,1999-06-29,MIN vs. SAC
1029900047,1999-06-28,HOU vs. ORL
1029900048,1999-06-28,UTA @ LAS
1029900046,1999-06-28,DET vs. NYL
1029900045,1999-06-28,CLE vs. PHO
1029900044,1999-06-27,CHA @ NYL
1029900041,1999-06-26,PHO @ DET
1029900043,1999-06-26,SAC vs. LAS
1029900042,1999-06-26,UTA vs. MIN
1029900040,1999-06-26,CLE vs. WAS
1029900039,1999-06-25,CHA @ CLE
1029900038,1999-06-25,HOU @ WAS
1029900036,1999-06-24,SAC vs. UTA
1029900035,1999-06-24,MIN @ LAS
1029900033,1999-06-24,PHO @ CHA
1029900034,1999-06-24,HOU @ DET
1029900028,1999-06-22,PHO @ WAS
1029900030,1999-06-22,DET vs. CHA
1029900032,1999-06-22,SAC vs. MIN
1029900031,1999-06-22,HOU vs. LAS
1029900029,1999-06-22,ORL @ CLE
1029900027,1999-06-21,PHO @ ORL
1029900026,1999-06-20,DET @ NYL
1029900024,1999-06-19,UTA vs. SAC
1029900023,1999-06-19,MIN vs. HOU
1029900021,1999-06-19,LAS @ CHA
1029900022,1999-06-19,WAS @ ORL
1029900025,1999-06-19,PHO vs. CLE
1029900019,1999-06-18,NYL vs. LAS
1029900020,1999-06-18,WAS vs. DET
1029900018,1999-06-17,SAC vs. CLE
1029900017,1999-06-17,UTA @ HOU
1029900016,1999-06-17,DET vs. ORL
1029900012,1999-06-15,ORL vs. LAS
1029900011,1999-06-14,NYL vs. WAS
1029900014,1999-06-14,MIN vs. UTA
1029900015,1999-06-14,PHO vs. SAC
1029900013,1999-06-14,CLE vs. DET
1029900010,1999-06-12,SAC vs. PHO
1029900005,1999-06-12,NYL @ CHA
1029900009,1999-06-12,ORL @ UTA
1029900007,1999-06-12,MIN vs. DET
