GAME_ID,GAME_DATE,MATCHUP
1020800230,2008-09-15,HOU vs. SAC
1020800235,2008-09-14,DET @ NYL
1020800237,2008-09-14,CHI vs. HOU
1020800238,2008-09-14,SEA @ LAS
1020800236,2008-09-14,WAS vs. MIN
1020800233,2008-09-14,IND vs. PHO
1020800234,2008-09-13,SAN vs. SAC
1020800232,2008-09-13,WAS @ CON
1020800229,2008-09-12,CHI vs. NYL
1020800228,2008-09-12,MIN vs. PHO
1020800231,2008-09-12,SEA vs. ATL
1020800227,2008-09-11,LAS vs. ATL
1020800226,2008-09-11,SAN vs. CON
1020800225,2008-09-11,WAS @ DET
1020800224,2008-09-11,NYL @ IND
1020800219,2008-09-09,NYL vs. SAN
1020800221,2008-09-09,IND @ MIN
1020800218,2008-09-09,DET vs. PHO
1020800223,2008-09-09,SEA @ SAC
1020800220,2008-09-09,WAS @ CHI
1020800222,2008-09-09,CON @ HOU
1020800217,2008-09-08,IND @ ATL
1020800213,2008-09-07,SAN @ CON
1020800216,2008-09-07,MIN @ SAC
1020800214,2008-09-07,NYL vs. CHI
1020800215,2008-09-07,PHO vs. HOU
1020800212,2008-09-06,MIN @ SEA
1020800211,2008-09-06,HOU vs. LAS
1020800210,2008-09-06,DET @ WAS
1020800205,2008-09-05,CON vs. CHI
1020800208,2008-09-05,LAS @ SAN
1020800206,2008-09-05,NYL vs. ATL
1020800207,2008-09-05,IND @ DET
1020800209,2008-09-05,PHO vs. SAC
1020800204,2008-09-04,SEA @ CHI
1020800203,2008-09-03,PHO vs. MIN
1020800200,2008-09-02,WAS vs. IND
1020800201,2008-09-02,SEA @ ATL
1020800202,2008-09-02,NYL @ HOU
1020800199,2008-09-01,LAS vs. MIN
1020800197,2008-08-31,SEA @ CON
1020800198,2008-08-31,CHI vs. DET
1020800195,2008-08-30,HOU @ SAC
1020800193,2008-08-30,IND vs. ATL
1020800194,2008-08-30,WAS @ MIN
1020800196,2008-08-30,SAN @ LAS
1020800191,2008-08-29,CON @ ATL
1020800192,2008-08-29,NYL @ DET
1020800190,2008-08-29,WAS vs. CHI
1020800188,2008-08-28,HOU @ SEA
