GAME_ID,GAME_DATE,MATCHUP
1041700405,2017-10-04,MIN vs. LAS
1041700404,2017-10-01,MIN @ LAS
1041700403,2017-09-29,LAS vs. MIN
1041700402,2017-09-26,LAS @ MIN
1041700401,2017-09-24,LAS @ MIN
1041700303,2017-09-17,WAS vs. MIN
1041700313,2017-09-17,PHO vs. LAS
1041700302,2017-09-14,MIN vs. WAS
1041700312,2017-09-14,PHO @ LAS
1041700301,2017-09-12,WAS @ MIN
1041700311,2017-09-12,LAS vs. PHO
1041700201,2017-09-10,PHO @ CON
1041700211,2017-09-10,NYL vs. WAS
1041700101,2017-09-06,DAL @ WAS
1041700111,2017-09-06,PHO vs. SEA
