GAME_ID,GAME_DATE,MATCHUP
1041000303,2010-09-16,ATL vs. SEA
1041000302,2010-09-14,ATL @ SEA
1041000301,2010-09-12,ATL @ SEA
1041000202,2010-09-07,ATL vs. NYL
1041000212,2010-09-05,PHO vs. SEA
1041000201,2010-09-05,NYL vs. ATL
1041000211,2010-09-02,SEA vs. PHO
1041000113,2010-09-01,NYL vs. IND
1041000112,2010-08-29,IND vs. NYL
1041000122,2010-08-28,LAS vs. SEA
1041000132,2010-08-28,PHO @ SAN
1041000102,2010-08-27,ATL vs. WAS
1041000131,2010-08-26,PHO vs. SAN
1041000111,2010-08-26,IND @ NYL
1041000101,2010-08-25,WAS vs. ATL
1041000121,2010-08-25,LAS @ SEA
