GAME_ID,GAME_DATE,MATCHUP
1040100020,2001-09-01,CHA @ LAS
1040100019,2001-08-30,CHA vs. LAS
1040100015,2001-08-27,LAS vs. SAC
1040100018,2001-08-27,CHA @ NYL
1040100014,2001-08-26,LAS vs. SAC
1040100017,2001-08-26,NYL vs. CHA
1040100016,2001-08-24,CHA vs. NYL
1040100013,2001-08-24,SAC vs. LAS
1040100006,2001-08-21,NYL vs. MIA
1040100005,2001-08-20,CHA @ CLE
1040100010,2001-08-20,HOU @ LAS
1040100004,2001-08-19,MIA @ NYL
1040100009,2001-08-19,UTA @ SAC
1040100003,2001-08-18,CLE vs. CHA
1040100008,2001-08-18,HOU vs. LAS
1040100002,2001-08-17,MIA vs. NYL
1040100007,2001-08-17,SAC @ UTA
1040100001,2001-08-16,CLE @ CHA
