GAME_ID,GAME_DATE,MATCHUP
1040300303,2003-09-16,LAS @ DET
1040300302,2003-09-14,LAS @ DET
1040300301,2003-09-12,LAS vs. DET
1040300213,2003-09-08,LAS vs. SAC
1040300202,2003-09-07,CON @ DET
1040300212,2003-09-07,LAS vs. SAC
1040300201,2003-09-05,DET @ CON
1040300211,2003-09-05,LAS @ SAC
1040300133,2003-09-02,SAC @ HOU
1040300103,2003-09-02,CLE @ DET
1040300123,2003-09-01,MIN @ LAS
1040300132,2003-08-31,HOU vs. SAC
1040300102,2003-08-31,DET vs. CLE
1040300112,2003-08-30,CON @ CHA
1040300122,2003-08-30,LAS vs. MIN
1040300101,2003-08-29,CLE vs. DET
1040300131,2003-08-29,SAC vs. HOU
1040300121,2003-08-28,LAS @ MIN
1040300111,2003-08-28,CON vs. CHA
