GAME_ID,GAME_DATE,MATCHUP
1042000403,2020-10-06,SEA vs. LVA
1042000402,2020-10-04,LVA vs. SEA
1042000401,2020-10-02,SEA @ LVA
1042000305,2020-09-29,LVA vs. CON
1042000304,2020-09-27,CON vs. LVA
1042000313,2020-09-27,MIN vs. SEA
1042000303,2020-09-24,CON vs. LVA
1042000312,2020-09-24,SEA vs. MIN
1042000311,2020-09-22,SEA vs. MIN
1042000302,2020-09-22,CON @ LVA
1042000301,2020-09-20,LVA vs. CON
1042000211,2020-09-17,PHO @ MIN
1042000201,2020-09-17,LAS vs. CON
1042000111,2020-09-15,CON @ CHI
1042000101,2020-09-15,WAS @ PHO
