GAME_ID,GAME_DATE,MATCHUP
1042500304,2025-10-10,PHX vs. LVA
1042500303,2025-10-08,LVA @ PHX
1042500302,2025-10-05,PHX @ LVA
1042500301,2025-10-03,PHX @ LVA
1042500215,2025-09-30,LVA vs. IND
1042500214,2025-09-28,IND vs. LVA
1042500204,2025-09-28,MIN @ PHX
1042500203,2025-09-26,MIN @ PHX
1042500213,2025-09-26,LVA @ IND
1042500212,2025-09-23,IND @ LVA
1042500202,2025-09-23,MIN vs. PHX
1042500211,2025-09-21,IND @ LVA
1042500201,2025-09-21,MIN vs. PHX
1042500133,2025-09-19,PHX vs. NYL
1042500123,2025-09-18,IND @ ATL
1042500113,2025-09-18,LVA vs. SEA
1042500132,2025-09-17,PHX @ NYL
1042500102,2025-09-17,GSV vs. MIN
1042500122,2025-09-16,IND vs. ATL
1042500112,2025-09-16,SEA vs. LVA
1042500131,2025-09-14,NYL @ PHX
1042500121,2025-09-14,ATL vs. IND
1042500111,2025-09-14,SEA @ LVA
1042500101,2025-09-14,MIN vs. GSV
