GAME_ID,GAME_DATE,MATCHUP
1042100404,2021-10-17,CHI vs. PHO
1042100403,2021-10-15,PHO @ CHI
1042100402,2021-10-13,PHO vs. CHI
1042100401,2021-10-10,CHI @ PHO
1042100315,2021-10-08,LVA vs. PHO
1042100314,2021-10-06,LVA @ PHO
1042100304,2021-10-06,CON @ CHI
1042100313,2021-10-03,LVA @ PHO
1042100303,2021-10-03,CON @ CHI
1042100302,2021-09-30,CHI @ CON
1042100312,2021-09-30,PHO @ LVA
1042100311,2021-09-28,PHO @ LVA
1042100301,2021-09-28,CON vs. CHI
1042100201,2021-09-26,CHI @ MIN
1042100211,2021-09-26,PHO @ SEA
1042100111,2021-09-23,CHI vs. DAL
1042100101,2021-09-23,PHO vs. NYL
