GAME_ID,GAME_DATE,MATCHUP
1021200203,2012-09-23,ATL @ CON
1021200202,2012-09-23,SAN vs. MIN
1021200204,2012-09-23,TUL @ IND
1021200201,2012-09-23,SEA @ PHO
1021200200,2012-09-22,CHI vs. WAS
1021200199,2012-09-22,TUL @ NYL
1021200197,2012-09-21,PHO vs. MIN
1021200196,2012-09-21,WAS vs. IND
1021200198,2012-09-21,SAN @ SEA
1021200193,2012-09-20,CHI vs. ATL
1021200194,2012-09-20,TUL vs. NYL
1021200195,2012-09-20,MIN @ LAS
1021200192,2012-09-19,IND @ CON
1021200191,2012-09-18,PHO @ LAS
1021200189,2012-09-18,SAN vs. NYL
1021200190,2012-09-18,SEA vs. CHI
1021200187,2012-09-17,MIN vs. IND
1021200188,2012-09-16,SEA vs. CON
1021200186,2012-09-16,CHI @ PHO
1021200185,2012-09-16,WAS vs. NYL
1021200184,2012-09-16,SAN vs. TUL
1021200182,2012-09-14,TUL @ PHO
1021200181,2012-09-14,SAN vs. SEA
1021200183,2012-09-14,LAS vs. CON
1021200180,2012-09-14,ATL @ WAS
1021200179,2012-09-14,IND vs. MIN
1021200178,2012-09-13,LAS vs. CHI
1021200175,2012-09-12,NYL vs. WAS
1021200174,2012-09-12,IND vs. SEA
1021200177,2012-09-12,PHO vs. CON
1021200176,2012-09-12,SAN @ TUL
1021200173,2012-09-11,MIN @ CHI
1021200172,2012-09-11,SEA @ ATL
1021200169,2012-09-09,LAS @ NYL
1021200167,2012-09-09,MIN @ SAN
1021200170,2012-09-09,CON vs. CHI
1021200171,2012-09-09,IND vs. PHO
1021200168,2012-09-09,WAS @ ATL
1021200166,2012-09-08,SEA @ TUL
1021200163,2012-09-07,CHI @ NYL
1021200162,2012-09-07,LAS @ WAS
1021200165,2012-09-07,SAN vs. IND
1021200161,2012-09-07,PHO @ CON
1021200164,2012-09-07,ATL @ MIN
1021200160,2012-09-06,SEA vs. TUL
1021200159,2012-09-05,NYL vs. PHO
1021200158,2012-09-05,IND @ ATL
1021200157,2012-09-04,LAS @ MIN
1021200156,2012-09-04,CON @ WAS
1021200154,2012-09-02,ATL vs. CON
1021200155,2012-09-02,CHI vs. LAS
1021200153,2012-09-01,PHO vs. SAN
1021200152,2012-09-01,IND vs. CHI
1021200151,2012-09-01,WAS @ NYL
1021200150,2012-08-31,TUL @ MIN
1021200148,2012-08-30,LAS @ TUL
1021200146,2012-08-30,NYL vs. IND
1021200149,2012-08-30,PHO @ SEA
1021200147,2012-08-30,CON @ SAN
1021200145,2012-08-30,WAS @ ATL
1021200143,2012-08-28,CHI vs. CON
1021200144,2012-08-28,MIN vs. SAN
