GAME_ID,GAME_DATE,MATCHUP
1020600237,2006-08-13,PHO vs. SAC
1020600236,2006-08-13,IND vs. CHI
1020600235,2006-08-13,DET vs. CON
1020600238,2006-08-13,LAS vs. MIN
1020600234,2006-08-13,WAS @ NYL
1020600232,2006-08-12,CHI @ CHA
1020600231,2006-08-12,SEA @ HOU
1020600233,2006-08-12,PHO @ SAN
1020600230,2006-08-11,NYL vs. CHA
1020600229,2006-08-11,DET @ WAS
1020600228,2006-08-11,CON vs. IND
1020600225,2006-08-10,PHO @ HOU
1020600224,2006-08-10,SEA @ SAN
1020600227,2006-08-10,MIN @ SAC
1020600226,2006-08-10,CHI @ DET
1020600223,2006-08-09,CON @ IND
1020600222,2006-08-09,LAS vs. SAC
1020600221,2006-08-08,PHO vs. MIN
1020600218,2006-08-08,HOU @ CHA
1020600216,2006-08-08,SEA @ DET
1020600220,2006-08-08,CHI vs. CON
1020600219,2006-08-08,NYL vs. IND
1020600217,2006-08-08,WAS vs. SAN
1020600215,2006-08-06,SAN @ MIN
1020600214,2006-08-06,DET vs. NYL
1020600213,2006-08-06,CON @ HOU
1020600211,2006-08-05,WAS @ SAC
1020600209,2006-08-05,IND vs. SAN
1020600210,2006-08-05,PHO vs. LAS
1020600212,2006-08-05,SEA vs. CHA
1020600208,2006-08-05,NYL vs. CHI
1020600206,2006-08-04,HOU @ MIN
1020600207,2006-08-04,CHI vs. DET
1020600204,2006-08-03,CHA @ PHO
1020600202,2006-08-03,IND vs. MIN
1020600201,2006-08-03,SAC @ SAN
1020600203,2006-08-03,NYL vs. DET
1020600200,2006-08-03,CON vs. LAS
1020600205,2006-08-03,WAS @ SEA
1020600193,2006-08-01,LAS @ WAS
1020600196,2006-08-01,CON vs. NYL
1020600194,2006-08-01,PHO @ CHI
1020600195,2006-08-01,SEA @ MIN
1020600198,2006-08-01,DET vs. IND
1020600197,2006-08-01,CHA @ SAN
1020600199,2006-08-01,HOU @ SAC
1020600187,2006-07-30,NYL vs. MIN
1020600188,2006-07-30,PHO vs. HOU
1020600192,2006-07-30,SAC vs. DET
1020600190,2006-07-30,IND @ CHI
1020600189,2006-07-30,LAS @ SEA
1020600191,2006-07-30,CHA @ WAS
1020600186,2006-07-30,SAN @ CON
1020600185,2006-07-29,WAS @ IND
1020600184,2006-07-29,NYL @ CHA
1020600182,2006-07-28,CHI vs. MIN
1020600180,2006-07-28,SAC @ CON
1020600181,2006-07-28,SAN vs. PHO
1020600183,2006-07-28,SEA vs. DET
1020600177,2006-07-27,HOU vs. PHO
1020600178,2006-07-27,CHI @ WAS
1020600179,2006-07-27,CHA @ MIN
1020600176,2006-07-26,SAN vs. LAS
1020600175,2006-07-26,DET vs. SAC
1020600170,2006-07-25,HOU vs. LAS
1020600169,2006-07-25,IND vs. SAC
1020600173,2006-07-25,CHI vs. NYL
1020600171,2006-07-25,MIN @ CHA
1020600174,2006-07-25,CON vs. WAS
1020600172,2006-07-25,PHO vs. SEA
1020600168,2006-07-24,CON @ NYL
1020600167,2006-07-23,SEA @ WAS
1020600161,2006-07-22,PHO @ CHA
1020600164,2006-07-22,MIN vs. SAC
1020600162,2006-07-22,SEA @ NYL
1020600165,2006-07-22,DET vs. CHI
1020600163,2006-07-22,IND vs. LAS
1020600166,2006-07-22,CON @ SAN
1020600159,2006-07-21,LAS @ DET
1020600160,2006-07-21,SAN vs. WAS
1020600158,2006-07-20,MIN @ HOU
1020600155,2006-07-20,CHA vs. SEA
1020600156,2006-07-20,NYL @ SAC
1020600157,2006-07-20,CHI @ CON
1020600152,2006-07-19,PHO @ WAS
1020600153,2006-07-19,CHA @ DET
1020600154,2006-07-19,CHI @ MIN
1020600150,2006-07-18,SAN vs. HOU
1020600151,2006-07-18,LAS vs. NYL
1020600148,2006-07-18,PHO @ IND
1020600149,2006-07-18,SEA vs. SAC
1020600147,2006-07-16,CON @ SEA
1020600146,2006-07-16,NYL @ PHO
1020600145,2006-07-16,CHI vs. WAS
1020600143,2006-07-16,SAN @ DET
1020600144,2006-07-16,IND vs. HOU
1020600142,2006-07-16,MIN vs. LAS
1020600141,2006-07-15,CHA vs. IND
1020600140,2006-07-15,SAC vs. CON
1020600138,2006-07-14,CHI vs. HOU
1020600139,2006-07-14,NYL @ SEA
1020600136,2006-07-14,SAN @ CHA
1020600137,2006-07-14,LAS @ PHO
1020600135,2006-07-09,SEA vs. IND
1020600133,2006-07-09,HOU vs. DET
1020600130,2006-07-09,PHO @ NYL
1020600131,2006-07-09,CHI @ WAS
1020600134,2006-07-09,CHA @ SAC
1020600132,2006-07-09,SAN @ MIN
1020600128,2006-07-08,CON vs. PHO
1020600129,2006-07-08,LAS vs. CHA
1020600124,2006-07-07,HOU @ SAN
1020600126,2006-07-07,NYL @ CHI
1020600127,2006-07-07,LAS vs. IND
1020600125,2006-07-07,MIN vs. DET
1020600123,2006-07-07,SAC @ WAS
1020600120,2006-07-06,NYL vs. SAC
1020600121,2006-07-06,DET vs. PHO
1020600122,2006-07-06,CHA @ CON
1020600119,2006-07-05,HOU @ LAS
1020600118,2006-07-05,WAS @ MIN
1020600117,2006-07-03,SAN @ LAS
1020600116,2006-07-02,PHO vs. WAS
1020600115,2006-07-02,HOU vs. SAC
1020600112,2006-07-01,CON @ IND
1020600113,2006-07-01,MIN @ SEA
1020600110,2006-07-01,SAC @ CHA
1020600111,2006-07-01,CHI @ SAN
1020600114,2006-07-01,LAS vs. WAS
1020600108,2006-06-30,DET @ CON
1020600104,2006-06-30,SAN @ NYL
1020600109,2006-06-30,PHO @ LAS
1020600107,2006-06-29,MIN @ SAC
1020600103,2006-06-29,WAS @ HOU
1020600106,2006-06-29,CHI vs. CHA
1020600105,2006-06-29,DET @ IND
1020600102,2006-06-28,SEA @ LAS
1020600101,2006-06-28,PHO vs. MIN
1020600096,2006-06-27,HOU @ CON
1020600098,2006-06-27,SEA vs. SAC
1020600099,2006-06-27,NYL vs. CHA
1020600100,2006-06-27,DET @ SAN
1020600097,2006-06-27,IND @ WAS
1020600091,2006-06-25,WAS vs. CON
1020600094,2006-06-25,LAS vs. SAN
1020600093,2006-06-25,PHO vs. CHI
1020600090,2006-06-25,SEA @ HOU
1020600095,2006-06-25,SAC vs. IND
1020600092,2006-06-25,CHA @ DET
1020600089,2006-06-24,MIN vs. NYL
1020600084,2006-06-24,DET vs. WAS
1020600086,2006-06-23,CHA @ HOU
1020600088,2006-06-23,IND @ PHO
1020600083,2006-06-23,SAC vs. LAS
1020600087,2006-06-23,SEA vs. SAN
1020600085,2006-06-23,CON @ CHI
1020600081,2006-06-22,CHA vs. DET
1020600082,2006-06-22,CON vs. MIN
1020600076,2006-06-21,CHI @ IND
1020600080,2006-06-21,HOU @ LAS
1020600078,2006-06-21,NYL vs. WAS
1020600079,2006-06-21,SAC vs. SAN
1020600077,2006-06-21,SEA vs. PHO
1020600075,2006-06-20,CHA vs. CON
1020600072,2006-06-18,MIN vs. PHO
1020600074,2006-06-18,IND vs. CHA
1020600073,2006-06-18,LAS vs. SAC
1020600071,2006-06-17,LAS vs. CON
1020600068,2006-06-17,WAS vs. NYL
1020600069,2006-06-17,HOU @ DET
1020600067,2006-06-17,SEA @ SAC
1020600070,2006-06-17,CHI vs. SAN
1020600066,2006-06-16,PHO vs. CON
1020600064,2006-06-16,MIN @ SAN
1020600063,2006-06-16,NYL vs. HOU
1020600065,2006-06-16,IND @ DET
1020600062,2006-06-15,CHA vs. WAS
1020600061,2006-06-15,CHI vs. SEA
1020600060,2006-06-14,SAC @ HOU
1020600059,2006-06-14,MIN vs. SEA
1020600058,2006-06-13,LAS vs. PHO
1020600057,2006-06-13,NYL vs. IND
1020600056,2006-06-13,WAS vs. CHA
1020600054,2006-06-11,SEA @ IND
1020600055,2006-06-11,HOU @ MIN
1020600053,2006-06-11,CON vs. WAS
1020600051,2006-06-10,SAN vs. NYL
1020600052,2006-06-10,SAC vs. CHI
1020600048,2006-06-09,HOU vs. NYL
1020600049,2006-06-09,LAS vs. CHI
1020600046,2006-06-09,CHA vs. IND
1020600045,2006-06-09,CON vs. SEA
1020600047,2006-06-09,SAN vs. MIN
1020600050,2006-06-09,DET @ PHO
1020600042,2006-06-07,IND vs. WAS
1020600043,2006-06-07,CHI @ SEA
1020600041,2006-06-07,CON @ NYL
1020600044,2006-06-07,LAS vs. DET
1020600040,2006-06-06,SAC @ PHO
1020600039,2006-06-06,HOU @ WAS
1020600037,2006-06-04,CHI vs. DET
1020600036,2006-06-04,MIN @ HOU
1020600038,2006-06-04,SAN @ SEA
1020600035,2006-06-03,WAS vs. DET
1020600033,2006-06-03,LAS @ NYL
1020600034,2006-06-03,CHA @ CON
1020600030,2006-06-02,CHI @ HOU
1020600031,2006-06-02,MIN vs. IND
1020600032,2006-06-02,SAN @ SAC
1020600029,2006-06-02,SEA vs. PHO
1020600028,2006-06-01,NYL @ DET
1020600027,2006-06-01,CHA vs. CON
1020600024,2006-05-31,SAC vs. SEA
1020600026,2006-05-31,SAN @ PHO
1020600023,2006-05-31,LAS @ MIN
1020600025,2006-05-31,IND @ HOU
1020600021,2006-05-30,LAS @ CHI
1020600022,2006-05-30,NYL @ IND
1020600019,2006-05-27,DET @ CON
1020600020,2006-05-27,WAS vs. MIN
1020600018,2006-05-26,IND @ CHI
1020600017,2006-05-25,HOU @ SAC
1020600015,2006-05-25,WAS @ CHA
1020600016,2006-05-25,PHO vs. SEA
1020600014,2006-05-25,SAN vs. LAS
1020600013,2006-05-24,DET vs. MIN
1020600012,2006-05-23,HOU @ SEA
1020600007,2006-05-23,LAS @ CHA
1020600009,2006-05-23,WAS vs. NYL
1020600011,2006-05-23,CON @ MIN
1020600010,2006-05-23,SAN vs. IND
1020600008,2006-05-23,SAC @ CHI
1020600006,2006-05-21,SEA vs. LAS
1020600005,2006-05-21,SAN @ HOU
1020600002,2006-05-20,CHA vs. CHI
1020600003,2006-05-20,CON vs. NYL
1020600004,2006-05-20,DET @ IND
1020600001,2006-05-20,PHO @ SAC
