GAME_ID,GAME_DATE,MATCHUP
1040900305,2009-10-09,PHO vs. IND
1040900304,2009-10-07,IND vs. PHO
1040900303,2009-10-04,PHO @ IND
1040900302,2009-10-01,IND @ PHO
1040900301,2009-09-29,IND @ PHO
1040900213,2009-09-26,LAS @ PHO
1040900203,2009-09-26,IND vs. DET
1040900212,2009-09-25,PHO vs. LAS
1040900202,2009-09-25,IND vs. DET
1040900201,2009-09-23,IND @ DET
1040900211,2009-09-23,PHO @ LAS
1040900123,2009-09-21,PHO vs. SAN
1040900133,2009-09-20,LAS @ SEA
1040900102,2009-09-19,WAS @ IND
1040900122,2009-09-19,PHO vs. SAN
1040900132,2009-09-18,SEA vs. LAS
1040900112,2009-09-18,ATL vs. DET
1040900101,2009-09-17,IND @ WAS
1040900121,2009-09-17,SAN vs. PHO
1040900111,2009-09-16,ATL @ DET
1040900131,2009-09-16,SEA @ LAS
