GAME_ID,GAME_DATE,MATCHUP
1041500305,2015-10-14,IND @ MIN
1041500304,2015-10-11,IND vs. MIN
1041500303,2015-10-09,IND vs. MIN
1041500302,2015-10-06,IND @ MIN
1041500301,2015-10-04,IND @ MIN
1041500203,2015-09-29,NYL vs. IND
1041500212,2015-09-27,PHO vs. MIN
1041500202,2015-09-27,NYL @ IND
1041500211,2015-09-24,PHO @ MIN
1041500201,2015-09-23,IND @ NYL
1041500123,2015-09-22,MIN vs. LAS
1041500103,2015-09-22,WAS @ NYL
1041500113,2015-09-21,IND @ CHI
1041500122,2015-09-20,LAS vs. MIN
1041500102,2015-09-20,WAS vs. NYL
1041500132,2015-09-19,PHO @ TUL
1041500112,2015-09-19,IND vs. CHI
1041500101,2015-09-18,WAS @ NYL
1041500121,2015-09-18,LAS @ MIN
1041500131,2015-09-17,PHO vs. TUL
1041500111,2015-09-17,CHI vs. IND
