GAME_ID,GAME_DATE,MATCHUP
1021000202,2010-08-22,SAN vs. PHO
1021000204,2010-08-22,MIN @ IND
1021000201,2010-08-22,ATL vs. WAS
1021000203,2010-08-22,NYL vs. CON
1021000199,2010-08-21,TUL vs. CHI
1021000200,2010-08-21,SEA vs. LAS
1021000197,2010-08-20,SEA @ PHO
1021000196,2010-08-20,CHI vs. CON
1021000194,2010-08-20,NYL @ WAS
1021000198,2010-08-20,LAS vs. MIN
1021000195,2010-08-20,IND @ SAN
1021000193,2010-08-19,TUL @ NYL
1021000189,2010-08-17,NYL vs. IND
1021000187,2010-08-17,ATL vs. CHI
1021000191,2010-08-17,MIN @ SEA
1021000192,2010-08-17,PHO @ LAS
1021000188,2010-08-17,TUL @ CON
1021000190,2010-08-17,SAN vs. WAS
1021000184,2010-08-15,SEA @ WAS
1021000186,2010-08-15,SAN @ MIN
1021000185,2010-08-15,CON vs. IND
1021000182,2010-08-14,ATL @ CHI
1021000181,2010-08-14,NYL vs. PHO
1021000183,2010-08-14,LAS @ TUL
1021000180,2010-08-13,TUL @ SAN
1021000176,2010-08-13,MIN @ WAS
1021000178,2010-08-13,PHO @ IND
1021000177,2010-08-13,NYL @ ATL
1021000179,2010-08-13,CON vs. SEA
1021000175,2010-08-12,LAS @ MIN
1021000170,2010-08-10,WAS vs. CON
1021000172,2010-08-10,PHO @ CHI
1021000174,2010-08-10,LAS vs. IND
1021000173,2010-08-10,MIN @ SAN
1021000171,2010-08-10,SEA @ ATL
1021000168,2010-08-08,NYL @ MIN
1021000169,2010-08-08,SAN @ LAS
1021000167,2010-08-08,PHO vs. IND
1021000166,2010-08-08,WAS @ CON
1021000164,2010-08-07,MIN @ CHI
1021000165,2010-08-07,SEA vs. TUL
1021000160,2010-08-06,IND vs. ATL
1021000161,2010-08-06,WAS @ NYL
1021000163,2010-08-06,TUL @ LAS
1021000162,2010-08-06,SAN @ PHO
1021000159,2010-08-05,SEA vs. CON
1021000158,2010-08-04,LAS vs. CHI
1021000155,2010-08-03,CON @ MIN
