GAME_ID,GAME_DATE,MATCHUP
1041600405,2016-10-20,LAS @ MIN
1041600404,2016-10-16,MIN @ LAS
1041600403,2016-10-14,MIN @ LAS
1041600402,2016-10-11,MIN vs. LAS
1041600401,2016-10-09,LAS @ MIN
1041600314,2016-10-04,CHI vs. LAS
1041600313,2016-10-02,LAS @ CHI
1041600303,2016-10-02,PHO vs. MIN
1041600302,2016-09-30,MIN vs. PHO
1041600312,2016-09-30,LAS vs. CHI
1041600301,2016-09-28,PHO @ MIN
1041600311,2016-09-28,CHI @ LAS
1041600211,2016-09-25,CHI vs. ATL
1041600201,2016-09-24,PHO @ NYL
1041600111,2016-09-21,ATL vs. SEA
1041600101,2016-09-21,PHO @ IND
