GAME_ID,GAME_DATE,MATCHUP
1022200214,2022-08-14,PHO vs. CHI
1022200215,2022-08-14,LVA vs. SEA
1022200216,2022-08-14,LAS vs. DAL
1022200211,2022-08-14,MIN @ CON
1022200213,2022-08-14,IND @ WAS
1022200212,2022-08-14,ATL @ NYL
1022200207,2022-08-12,IND vs. WAS
1022200210,2022-08-12,PHO vs. DAL
1022200209,2022-08-12,MIN vs. SEA
1022200208,2022-08-12,ATL vs. NYL
1022200206,2022-08-11,LAS vs. CON
1022200205,2022-08-11,CHI @ LVA
1022200203,2022-08-10,NYL @ DAL
1022200204,2022-08-10,MIN @ PHO
1022200200,2022-08-09,SEA @ CHI
1022200201,2022-08-09,LVA vs. ATL
1022200202,2022-08-09,LAS vs. CON
1022200199,2022-08-08,DAL vs. NYL
1022200196,2022-08-07,LAS @ WAS
1022200198,2022-08-07,ATL @ MIN
1022200197,2022-08-07,LVA @ SEA
1022200195,2022-08-07,CHI vs. CON
1022200193,2022-08-06,IND @ DAL
1022200194,2022-08-06,PHO vs. NYL
1022200191,2022-08-05,ATL vs. LAS
1022200192,2022-08-05,WAS @ CHI
1022200190,2022-08-04,DAL vs. LVA
1022200189,2022-08-04,CON vs. PHO
1022200188,2022-08-03,SEA vs. MIN
1022200186,2022-08-03,ATL vs. IND
1022200187,2022-08-03,NYL vs. LAS
1022200182,2022-08-02,PHO @ CON
1022200184,2022-08-02,WAS vs. LVA
1022200185,2022-08-02,DAL @ CHI
1022200183,2022-08-02,NYL vs. LAS
1022200177,2022-07-31,CHI @ CON
1022200178,2022-07-31,PHO @ NYL
1022200180,2022-07-31,WAS vs. SEA
1022200181,2022-07-31,LAS vs. MIN
1022200179,2022-07-31,LVA @ IND
1022200175,2022-07-30,SEA @ WAS
1022200176,2022-07-30,ATL vs. DAL
1022200174,2022-07-29,NYL @ CHI
1022200173,2022-07-29,LVA @ IND
1022200172,2022-07-28,PHO vs. LAS
1022200170,2022-07-28,CON vs. SEA
1022200169,2022-07-28,MIN @ ATL
1022200171,2022-07-28,DAL vs. WAS
1022200168,2022-07-24,CON @ MIN
1022200167,2022-07-24,ATL @ SEA
1022200166,2022-07-24,DAL @ IND
1022200165,2022-07-23,LVA vs. LAS
1022200164,2022-07-23,CHI @ NYL
1022200163,2022-07-22,SEA @ PHO
1022200161,2022-07-22,CON @ MIN
1022200162,2022-07-22,CHI vs. DAL
1022200158,2022-07-21,NYL @ WAS
1022200160,2022-07-21,IND @ LVA
1022200159,2022-07-21,ATL @ LAS
1022200157,2022-07-20,CHI vs. SEA
1022200154,2022-07-19,CON vs. NYL
1022200155,2022-07-19,ATL @ LVA
1022200156,2022-07-19,IND @ LAS
1022200152,2022-07-17,ATL @ PHO
1022200153,2022-07-17,SEA vs. IND
1022200151,2022-07-17,MIN @ WAS
1022200150,2022-07-17,CON vs. LVA
1022200149,2022-07-16,CHI @ DAL
1022200147,2022-07-15,IND vs. MIN
1022200148,2022-07-15,CON @ ATL
1022200143,2022-07-14,LVA @ NYL
1022200144,2022-07-14,DAL @ MIN
1022200146,2022-07-14,LAS vs. CHI
1022200145,2022-07-14,PHO vs. WAS
1022200142,2022-07-13,IND vs. CON
1022200141,2022-07-12,WAS @ LAS
1022200137,2022-07-12,DAL @ SEA
1022200138,2022-07-12,NYL vs. LVA
1022200139,2022-07-12,ATL @ CHI
1022200140,2022-07-12,PHO @ MIN
1022200134,2022-07-07,CHI @ IND
1022200135,2022-07-07,NYL @ PHO
1022200136,2022-07-07,LAS vs. SEA
1022200131,2022-07-06,CHI @ MIN
1022200133,2022-07-06,LVA vs. NYL
1022200132,2022-07-06,WAS @ ATL
1022200129,2022-07-05,SEA @ IND
1022200130,2022-07-05,CON @ DAL
1022200128,2022-07-04,PHO @ LAS
1022200126,2022-07-03,LVA @ MIN
1022200127,2022-07-03,LAS vs. NYL
1022200125,2022-07-03,ATL vs. SEA
1022200124,2022-07-03,WAS @ CON
1022200123,2022-07-02,CHI vs. PHO
1022200121,2022-07-01,LVA @ MIN
1022200122,2022-07-01,SEA vs. IND
1022200120,2022-07-01,LAS @ DAL
1022200119,2022-06-30,NYL vs. ATL
1022200118,2022-06-29,LVA @ SEA
1022200116,2022-06-29,CHI vs. CON
1022200117,2022-06-29,PHO vs. IND
1022200115,2022-06-28,DAL @ MIN
1022200114,2022-06-28,WAS vs. ATL
1022200113,2022-06-27,LVA @ LAS
1022200112,2022-06-27,PHO vs. IND
1022200111,2022-06-26,MIN @ CHI
1022200110,2022-06-26,CON @ ATL
1022200107,2022-06-25,PHO @ DAL
1022200109,2022-06-25,LVA vs. WAS
1022200108,2022-06-25,SEA vs. LAS
1022200106,2022-06-24,ATL vs. NYL
1022200102,2022-06-23,IND @ DAL
1022200105,2022-06-23,LAS vs. CHI
1022200103,2022-06-23,PHO @ MIN
1022200104,2022-06-23,SEA vs. WAS
1022200101,2022-06-22,NYL @ CON
1022200097,2022-06-21,DAL @ ATL
1022200100,2022-06-21,WAS @ LAS
1022200099,2022-06-21,MIN @ PHO
1022200098,2022-06-21,LVA vs. CHI
1022200094,2022-06-19,CON @ WAS
1022200092,2022-06-19,NYL vs. SEA
1022200096,2022-06-19,LVA vs. MIN
1022200095,2022-06-19,DAL vs. LAS
1022200093,2022-06-19,IND vs. CHI
1022200091,2022-06-17,CHI vs. ATL
1022200090,2022-06-17,DAL vs. PHO
1022200089,2022-06-17,SEA @ CON
1022200088,2022-06-16,WAS @ NYL
1022200087,2022-06-15,PHO @ IND
1022200086,2022-06-15,ATL @ CON
1022200085,2022-06-15,DAL vs. LVA
1022200084,2022-06-14,SEA @ MIN
1022200083,2022-06-14,WAS vs. PHO
1022200080,2022-06-12,DAL vs. SEA
1022200079,2022-06-12,NYL vs. CHI
1022200081,2022-06-12,PHO @ WAS
1022200082,2022-06-12,MIN vs. IND
1022200078,2022-06-11,LAS vs. LVA
1022200075,2022-06-10,DAL vs. SEA
1022200076,2022-06-10,MIN vs. WAS
1022200073,2022-06-10,CHI @ CON
1022200077,2022-06-10,ATL @ PHO
1022200074,2022-06-10,NYL @ IND
1022200072,2022-06-08,WAS vs. CHI
1022200071,2022-06-08,IND @ CON
1022200070,2022-06-07,ATL @ SEA
1022200069,2022-06-07,NYL vs. MIN
1022200066,2022-06-05,DAL @ LVA
1022200064,2022-06-05,ATL vs. IND
1022200068,2022-06-05,CON @ SEA
1022200065,2022-06-05,CHI vs. WAS
1022200067,2022-06-05,PHO vs. LAS
1022200063,2022-06-05,MIN @ NYL
1022200059,2022-06-03,WAS vs. NYL
1022200060,2022-06-03,ATL vs. CHI
1022200062,2022-06-03,DAL @ SEA
1022200061,2022-06-03,PHO vs. CON
1022200058,2022-06-02,CON @ LVA
1022200057,2022-06-01,NYL vs. IND
1022200056,2022-06-01,MIN @ ATL
1022200055,2022-05-31,LAS vs. DAL
1022200052,2022-05-31,WAS @ IND
1022200053,2022-05-31,PHO @ CHI
1022200054,2022-05-31,LVA vs. CON
1022200051,2022-05-29,LAS @ MIN
1022200050,2022-05-29,NYL @ SEA
1022200049,2022-05-29,PHO @ ATL
1022200048,2022-05-28,WAS @ CON
1022200047,2022-05-28,CHI vs. LVA
1022200046,2022-05-27,NYL @ SEA
1022200045,2022-05-27,LAS @ IND
1022200044,2022-05-26,CON vs. DAL
1022200043,2022-05-25,LAS vs. PHO
1022200042,2022-05-24,NYL @ MIN
1022200040,2022-05-24,ATL @ WAS
1022200039,2022-05-24,CON vs. DAL
1022200041,2022-05-24,IND @ CHI
1022200038,2022-05-23,LVA vs. LAS
1022200037,2022-05-22,CHI @ WAS
1022200036,2022-05-22,IND vs. CON
1022200034,2022-05-21,PHO @ LVA
1022200035,2022-05-21,MIN @ DAL
1022200033,2022-05-20,LAS @ SEA
1022200032,2022-05-20,ATL vs. WAS
1022200031,2022-05-20,CON vs. IND
1022200029,2022-05-19,LVA vs. MIN
1022200030,2022-05-19,PHO vs. DAL
1022200028,2022-05-18,SEA vs. CHI
1022200024,2022-05-17,IND vs. ATL
1022200026,2022-05-17,PHO @ LVA
1022200025,2022-05-17,WAS @ DAL
1022200027,2022-05-17,LAS vs. MIN
1022200023,2022-05-17,CON @ NYL
1022200021,2022-05-15,DAL @ NYL
1022200022,2022-05-15,IND vs. ATL
1022200018,2022-05-14,PHO @ SEA
1022200019,2022-05-14,CON vs. LAS
1022200020,2022-05-14,MIN vs. CHI
1022200016,2022-05-13,LVA @ ATL
1022200015,2022-05-13,WAS vs. DAL
1022200017,2022-05-13,NYL vs. IND
1022200014,2022-05-11,SEA @ PHO
1022200013,2022-05-11,CHI vs. NYL
1022200012,2022-05-11,LAS @ ATL
1022200011,2022-05-10,IND vs. MIN
1022200010,2022-05-10,LVA @ WAS
1022200009,2022-05-08,WAS @ MIN
1022200008,2022-05-08,SEA @ LVA
1022200007,2022-05-08,LAS @ IND
1022200005,2022-05-07,CON @ NYL
1022200006,2022-05-07,ATL @ DAL
1022200001,2022-05-06,IND @ WAS
1022200002,2022-05-06,LAS @ CHI
1022200004,2022-05-06,SEA vs. MIN
1022200003,2022-05-06,PHO vs. LVA
