GAME_ID,GAME_DATE,MATCHUP
1020000252,2000-08-09,CHA @ IND
1020000250,2000-08-09,ORL @ MIA
1020000254,2000-08-09,LAS @ UTA
1020000249,2000-08-09,CLE @ WAS
1020000255,2000-08-09,SAC vs. SEA
1020000253,2000-08-09,MIN @ HOU
1020000256,2000-08-09,POR vs. PHO
1020000251,2000-08-09,NYL @ DET
1020000247,2000-08-08,MIN @ CHA
1020000246,2000-08-08,NYL vs. CLE
1020000248,2000-08-08,LAS @ SEA
1020000245,2000-08-07,HOU @ PHO
1020000242,2000-08-07,ORL vs. WAS
1020000243,2000-08-07,IND vs. DET
1020000244,2000-08-07,UTA vs. POR
1020000241,2000-08-06,SEA vs. POR
1020000238,2000-08-06,CLE vs. WAS
1020000239,2000-08-06,MIN vs. IND
1020000237,2000-08-06,NYL @ MIA
1020000240,2000-08-06,HOU @ SAC
1020000236,2000-08-06,DET @ ORL
1020000234,2000-08-05,UTA @ CHA
1020000235,2000-08-05,PHO vs. LAS
1020000230,2000-08-04,MIA vs. CHA
1020000228,2000-08-04,ORL @ NYL
1020000231,2000-08-04,CLE @ IND
1020000229,2000-08-04,DET @ WAS
1020000232,2000-08-04,MIN vs. SAC
1020000233,2000-08-04,POR vs. HOU
1020000226,2000-08-03,UTA @ CLE
1020000054,2000-08-03,WAS @ IND
1020000227,2000-08-03,SEA @ PHO
1020000223,2000-08-02,LAS @ DET
1020000225,2000-08-02,SAC vs. MIA
1020000224,2000-08-02,MIN vs. UTA
1020000219,2000-08-01,HOU vs. WAS
1020000222,2000-08-01,SEA vs. IND
1020000221,2000-08-01,POR vs. MIA
1020000220,2000-08-01,PHO vs. ORL
1020000218,2000-07-31,LAS @ MIN
1020000217,2000-07-31,CLE @ DET
1020000216,2000-07-31,NYL vs. CHA
1020000215,2000-07-30,SEA vs. MIA
1020000214,2000-07-30,ORL @ POR
1020000213,2000-07-30,SAC @ PHO
1020000209,2000-07-29,MIN @ WAS
1020000208,2000-07-29,NYL vs. CLE
1020000210,2000-07-29,DET vs. CHA
1020000212,2000-07-29,UTA vs. IND
1020000211,2000-07-29,LAS @ HOU
1020000207,2000-07-28,IND @ POR
1020000204,2000-07-28,CLE vs. DET
1020000206,2000-07-28,SEA vs. PHO
1020000205,2000-07-28,MIN vs. MIA
1020000203,2000-07-28,CHA vs. NYL
1020000201,2000-07-27,SEA @ LAS
1020000202,2000-07-27,ORL @ SAC
1020000196,2000-07-26,CHA vs. WAS
1020000198,2000-07-26,UTA vs. CLE
1020000199,2000-07-26,PHO vs. IND
1020000197,2000-07-26,DET vs. MIA
1020000200,2000-07-26,POR vs. SAC
1020000195,2000-07-25,LAS vs. ORL
1020000194,2000-07-25,SEA @ HOU
1020000190,2000-07-24,NYL @ WAS
1020000191,2000-07-24,CHA vs. IND
1020000193,2000-07-24,CLE @ PHO
1020000192,2000-07-24,POR @ DET
1020000189,2000-07-23,LAS vs. SAC
1020000188,2000-07-23,POR @ MIN
1020000187,2000-07-23,UTA @ ORL
1020000186,2000-07-23,HOU @ NYL
1020000185,2000-07-22,SAC vs. PHO
1020000184,2000-07-22,IND vs. CHA
1020000183,2000-07-22,MIA @ CLE
1020000177,2000-07-21,ORL @ WAS
1020000182,2000-07-21,MIN @ SEA
1020000178,2000-07-21,POR @ CHA
1020000181,2000-07-21,LAS @ PHO
1020000179,2000-07-21,UTA @ MIA
1020000180,2000-07-21,DET vs. HOU
1020000174,2000-07-20,CLE vs. HOU
1020000176,2000-07-20,MIN @ SAC
1020000175,2000-07-20,NYL @ LAS
1020000173,2000-07-20,WAS vs. IND
1020000171,2000-07-19,PHO vs. UTA
1020000170,2000-07-19,MIA vs. POR
1020000169,2000-07-19,ORL vs. DET
1020000172,2000-07-19,SEA vs. NYL
1020000165,2000-07-15,CHA @ WAS
1020000168,2000-07-15,UTA @ SAC
1020000167,2000-07-15,LAS vs. MIN
1020000166,2000-07-15,CLE vs. IND
1020000159,2000-07-14,ORL vs. NYL
1020000162,2000-07-14,UTA vs. PHO
1020000160,2000-07-14,DET vs. MIA
1020000163,2000-07-14,HOU @ LAS
1020000161,2000-07-14,IND vs. SEA
1020000164,2000-07-14,MIN @ POR
1020000157,2000-07-13,WAS @ MIA
1020000158,2000-07-13,SAC @ PHO
1020000152,2000-07-12,IND @ WAS
1020000155,2000-07-12,SAC @ HOU
1020000153,2000-07-12,SEA @ DET
1020000151,2000-07-12,NYL vs. CHA
1020000154,2000-07-12,CLE vs. ORL
1020000156,2000-07-12,POR @ UTA
1020000149,2000-07-11,MIN @ PHO
1020000150,2000-07-11,POR @ LAS
1020000148,2000-07-10,CLE vs. CHA
1020000147,2000-07-10,MIA vs. SEA
1020000143,2000-07-09,ORL @ DET
1020000144,2000-07-09,MIN vs. HOU
1020000146,2000-07-09,POR vs. WAS
1020000145,2000-07-09,UTA @ LAS
1020000142,2000-07-08,SAC vs. WAS
1020000140,2000-07-08,ORL vs. SEA
1020000138,2000-07-08,MIA @ NYL
1020000139,2000-07-08,CHA vs. CLE
1020000141,2000-07-08,PHO @ IND
1020000134,2000-07-07,NYL @ MIN
1020000135,2000-07-07,HOU vs. CHA
1020000133,2000-07-07,MIA vs. CLE
1020000137,2000-07-07,SAC @ POR
1020000136,2000-07-07,UTA vs. DET
1020000131,2000-07-06,DET @ PHO
1020000130,2000-07-06,HOU vs. SEA
1020000132,2000-07-06,WAS @ LAS
1020000129,2000-07-06,ORL vs. IND
1020000127,2000-07-05,MIN vs. SEA
1020000126,2000-07-05,MIA @ CHA
1020000128,2000-07-05,LAS @ SAC
1020000125,2000-07-05,NYL vs. POR
1020000122,2000-07-03,NYL @ CLE
1020000124,2000-07-03,SEA vs. WAS
1020000123,2000-07-03,IND vs. POR
1020000121,2000-07-02,DET @ LAS
1020000119,2000-07-02,MIN vs. POR
1020000120,2000-07-02,HOU vs. PHO
1020000115,2000-07-01,IND vs. MIA
1020000113,2000-07-01,WAS @ CHA
1020000114,2000-07-01,NYL @ ORL
1020000117,2000-07-01,SAC vs. DET
1020000118,2000-07-01,SEA vs. UTA
1020000116,2000-07-01,LAS vs. CLE
1020000108,2000-06-30,PHO @ WAS
1020000109,2000-06-30,ORL @ MIA
1020000112,2000-06-30,SEA vs. MIN
1020000110,2000-06-30,POR @ HOU
1020000111,2000-06-30,SAC vs. UTA
1020000107,2000-06-30,IND @ NYL
1020000105,2000-06-28,POR vs. CLE
1020000101,2000-06-28,CHA vs. HOU
1020000106,2000-06-28,DET @ SEA
1020000102,2000-06-28,ORL vs. MIA
1020000100,2000-06-28,NYL vs. PHO
1020000103,2000-06-28,LAS @ IND
1020000104,2000-06-28,MIN @ SAC
1020000099,2000-06-26,UTA vs. SAC
1020000098,2000-06-26,HOU @ ORL
1020000097,2000-06-26,LAS @ WAS
1020000093,2000-06-25,NYL vs. LAS
1020000096,2000-06-25,SAC vs. POR
1020000094,2000-06-25,DET @ CHA
1020000095,2000-06-25,CLE vs. PHO
1020000090,2000-06-24,DET vs. WAS
1020000092,2000-06-24,IND @ HOU
1020000091,2000-06-24,CLE vs. MIN
1020000088,2000-06-24,ORL vs. CHA
1020000089,2000-06-24,PHO @ MIA
1020000085,2000-06-23,NYL @ IND
1020000083,2000-06-23,WAS vs. SAC
1020000084,2000-06-23,MIA vs. LAS
1020000086,2000-06-23,HOU @ UTA
1020000087,2000-06-23,SEA @ POR
1020000081,2000-06-22,ORL vs. CLE
1020000080,2000-06-22,PHO @ CHA
1020000082,2000-06-22,UTA @ MIN
1020000077,2000-06-21,DET @ NYL
1020000079,2000-06-21,SAC @ IND
1020000078,2000-06-21,MIA @ WAS
1020000075,2000-06-20,HOU @ LAS
1020000074,2000-06-20,SEA @ UTA
1020000076,2000-06-20,CHA @ POR
1020000073,2000-06-20,PHO @ MIN
1020000072,2000-06-19,CLE vs. SAC
1020000071,2000-06-19,WAS vs. DET
1020000070,2000-06-18,SEA vs. UTA
1020000068,2000-06-18,MIN @ HOU
1020000067,2000-06-18,DET vs. IND
1020000066,2000-06-18,NYL vs. MIA
1020000069,2000-06-18,LAS vs. CHA
1020000060,2000-06-17,ORL vs. IND
1020000063,2000-06-17,PHO vs. MIN
1020000065,2000-06-17,LAS @ POR
1020000061,2000-06-17,CLE @ MIA
1020000064,2000-06-17,CHA @ SAC
1020000062,2000-06-17,WAS @ UTA
1020000059,2000-06-16,DET @ CLE
1020000058,2000-06-15,SEA vs. SAC
1020000056,2000-06-15,MIA @ HOU
1020000057,2000-06-15,CHA @ UTA
1020000055,2000-06-15,ORL @ MIN
1020000053,2000-06-14,PHO vs. POR
1020000048,2000-06-13,WAS @ NYL
1020000052,2000-06-13,SEA vs. LAS
1020000049,2000-06-13,MIA vs. DET
1020000050,2000-06-13,UTA vs. ORL
1020000051,2000-06-13,PHO @ POR
1020000045,2000-06-12,DET vs. CHA
1020000046,2000-06-12,IND vs. CLE
1020000047,2000-06-12,UTA @ HOU
1020000044,2000-06-11,SAC vs. LAS
1020000040,2000-06-10,CLE vs. SEA
1020000043,2000-06-10,LAS vs. PHO
1020000042,2000-06-10,HOU @ UTA
1020000041,2000-06-10,NYL @ IND
1020000038,2000-06-10,ORL @ CHA
1020000039,2000-06-10,MIA vs. MIN
1020000036,2000-06-09,SEA @ CHA
1020000035,2000-06-09,NYL vs. SAC
1020000037,2000-06-09,DET vs. IND
1020000034,2000-06-08,UTA @ POR
1020000032,2000-06-08,MIN @ ORL
1020000033,2000-06-08,MIA vs. WAS
1020000030,2000-06-07,ORL @ CLE
1020000028,2000-06-07,HOU @ WAS
1020000029,2000-06-07,DET vs. NYL
1020000031,2000-06-07,SEA @ PHO
1020000025,2000-06-06,HOU vs. SAC
1020000026,2000-06-06,PHO @ UTA
1020000027,2000-06-06,POR @ LAS
1020000023,2000-06-05,IND vs. MIA
1020000021,2000-06-05,CLE @ CHA
1020000024,2000-06-05,DET @ MIN
1020000022,2000-06-05,SAC @ ORL
1020000020,2000-06-04,WAS vs. NYL
1020000019,2000-06-03,POR @ SEA
1020000016,2000-06-03,IND vs. ORL
1020000012,2000-06-03,UTA @ NYL
1020000013,2000-06-03,MIA @ CHA
1020000017,2000-06-03,LAS @ MIN
1020000015,2000-06-03,WAS @ CLE
1020000018,2000-06-03,HOU vs. PHO
1020000014,2000-06-03,DET vs. SAC
1020000010,2000-06-01,UTA vs. MIN
1020000009,2000-06-01,MIA vs. IND
1020000008,2000-06-01,ORL vs. CHA
1020000011,2000-06-01,SEA vs. HOU
1020000004,2000-05-31,NYL @ PHO
1020000005,2000-05-31,UTA @ LAS
1020000003,2000-05-31,MIN vs. CLE
1020000002,2000-05-31,WAS vs. ORL
1020000007,2000-05-31,POR vs. HOU
1020000006,2000-05-31,SAC vs. SEA
1020000001,2000-05-29,HOU vs. NYL
