GAME_ID,GAME_DATE,MATCHUP
1041900405,2019-10-10,CON @ WAS
1041900404,2019-10-08,WAS @ CON
1041900403,2019-10-06,WAS @ CON
1041900402,2019-10-01,CON @ WAS
1041900401,2019-09-29,CON @ WAS
1041900304,2019-09-24,WAS @ LVA
1041900313,2019-09-22,LAS vs. CON
1041900303,2019-09-22,LVA vs. WAS
1041900312,2019-09-19,CON vs. LAS
1041900302,2019-09-19,WAS vs. LVA
1041900301,2019-09-17,LVA @ WAS
1041900311,2019-09-17,LAS @ CON
1041900201,2019-09-15,SEA @ LAS
1041900211,2019-09-15,CHI @ LVA
1041900111,2019-09-11,MIN @ SEA
1041900101,2019-09-11,CHI vs. PHO
