GAME_ID,GAME_DATE,MATCHUP
1040500304,2005-09-20,SAC vs. CON
1040500303,2005-09-18,SAC vs. CON
1040500302,2005-09-15,CON vs. SAC
1040500301,2005-09-14,SAC @ CON
1040500202,2005-09-10,IND @ CON
1040500212,2005-09-10,HOU @ SAC
1040500211,2005-09-08,HOU vs. SAC
1040500201,2005-09-08,CON @ IND
1040500123,2005-09-03,HOU @ SEA
1040500132,2005-09-02,SAC vs. LAS
1040500102,2005-09-02,CON vs. DET
1040500112,2005-09-01,IND vs. NYL
1040500122,2005-09-01,HOU @ SEA
1040500131,2005-08-31,LAS vs. SAC
1040500101,2005-08-31,DET vs. CON
1040500111,2005-08-30,IND @ NYL
1040500121,2005-08-30,HOU vs. SEA
