GAME_ID,GAME_DATE,MATCHUP
1021800204,2018-08-19,WAS @ MIN
1021800202,2018-08-19,IND @ CHI
1021800200,2018-08-19,ATL @ LVA
1021800203,2018-08-19,SEA vs. DAL
1021800201,2018-08-19,NYL @ PHO
1021800199,2018-08-19,LAS @ CON
1021800198,2018-08-18,CHI @ IND
1021800197,2018-08-17,SEA vs. NYL
1021800193,2018-08-17,CON vs. MIN
1021800195,2018-08-17,DAL vs. LVA
1021800196,2018-08-17,PHO vs. ATL
1021800194,2018-08-17,LAS @ WAS
1021800192,2018-08-15,NYL @ LVA
1021800191,2018-08-15,IND vs. WAS
1021800188,2018-08-14,CON vs. DAL
1021800190,2018-08-14,NYL @ LAS
1021800189,2018-08-14,MIN vs. CHI
1021800184,2018-08-12,CON vs. CHI
1021800187,2018-08-12,SEA @ MIN
1021800186,2018-08-12,PHO vs. LAS
1021800183,2018-08-12,NYL vs. ATL
1021800185,2018-08-12,DAL @ WAS
1021800181,2018-08-11,ATL vs. DAL
1021800182,2018-08-11,IND @ LVA
1021800180,2018-08-10,IND @ PHO
1021800179,2018-08-10,CHI vs. CON
1021800176,2018-08-09,WAS vs. SEA
1021800178,2018-08-09,MIN @ LVA
1021800177,2018-08-09,LAS @ ATL
1021800174,2018-08-08,NYL vs. LAS
1021800175,2018-08-08,CON @ DAL
1021800173,2018-08-07,WAS @ PHO
1021800171,2018-08-07,SEA @ IND
1021800172,2018-08-07,MIN @ CHI
1021800170,2018-08-07,ATL vs. LVA
1021800169,2018-08-06,SEA @ NYL
1021800166,2018-08-05,DAL vs. WAS
1021800168,2018-08-05,MIN vs. ATL
1021800165,2018-08-05,CON vs. LVA
1021800167,2018-08-05,LAS vs. PHO
1021800164,2018-08-04,NYL vs. IND
1021800163,2018-08-03,SEA vs. MIN
1021800161,2018-08-03,CHI @ ATL
1021800159,2018-08-02,IND vs. DAL
1021800160,2018-08-02,LAS vs. MIN
1021800157,2018-08-01,NYL @ CON
1021800158,2018-08-01,PHO @ LVA
1021800156,2018-07-31,PHO vs. SEA
1021800155,2018-07-31,DAL vs. CHI
1021800154,2018-07-31,ATL vs. WAS
1021800153,2018-07-25,PHO vs. CHI
1021800149,2018-07-24,CON vs. WAS
