GAME_ID,GAME_DATE,MATCHUP
1022100192,2021-09-19,IND @ CHI
1022100189,2021-09-19,PHO vs. LVA
1022100188,2021-09-19,CON vs. ATL
1022100191,2021-09-19,LAS @ DAL
1022100190,2021-09-19,WAS vs. MIN
1022100185,2021-09-17,WAS @ NYL
1022100187,2021-09-17,SEA vs. PHO
1022100184,2021-09-17,IND vs. MIN
1022100186,2021-09-17,CHI vs. LVA
1022100183,2021-09-16,ATL vs. LAS
1022100182,2021-09-15,CON vs. NYL
1022100181,2021-09-14,ATL vs. IND
1022100180,2021-09-13,DAL @ LVA
1022100179,2021-09-12,LAS vs. SEA
1022100178,2021-09-12,MIN vs. IND
1022100177,2021-09-12,CHI vs. WAS
1022100175,2021-09-11,DAL vs. NYL
1022100176,2021-09-11,PHO vs. CON
1022100174,2021-09-10,IND @ MIN
1022100173,2021-09-10,ATL @ WAS
1022100172,2021-09-09,LAS vs. CON
1022100170,2021-09-08,ATL vs. PHO
1022100171,2021-09-08,LVA vs. MIN
1022100168,2021-09-07,DAL vs. CON
1022100169,2021-09-07,SEA vs. WAS
1022100167,2021-09-06,PHO @ IND
1022100165,2021-09-05,LVA @ CHI
1022100166,2021-09-05,DAL vs. ATL
1022100163,2021-09-04,PHO @ IND
1022100164,2021-09-04,MIN vs. WAS
1022100161,2021-09-02,CHI @ LVA
1022100162,2021-09-02,NYL @ SEA
1022100160,2021-09-02,LAS @ MIN
1022100159,2021-09-02,DAL vs. ATL
1022100158,2021-08-31,CHI @ PHO
1022100156,2021-08-31,CON @ WAS
1022100155,2021-08-31,LAS @ IND
1022100157,2021-08-31,MIN vs. NYL
1022100154,2021-08-29,CHI @ SEA
1022100152,2021-08-28,LAS @ CON
1022100153,2021-08-28,DAL @ WAS
1022100151,2021-08-28,IND vs. LVA
1022100149,2021-08-27,PHO @ NYL
1022100150,2021-08-27,CHI @ SEA
1022100148,2021-08-26,DAL @ WAS
1022100146,2021-08-26,LVA @ ATL
1022100147,2021-08-26,LAS @ CON
1022100145,2021-08-25,PHO @ NYL
1022100143,2021-08-24,LVA @ CON
1022100141,2021-08-24,SEA @ MIN
1022100144,2021-08-24,WAS vs. LAS
1022100142,2021-08-24,ATL vs. CHI
1022100140,2021-08-22,WAS vs. SEA
1022100139,2021-08-22,LAS @ NYL
1022100138,2021-08-21,CHI vs. MIN
1022100137,2021-08-21,ATL vs. PHO
1022100136,2021-08-20,IND @ DAL
1022100135,2021-08-20,NYL vs. SEA
1022100133,2021-08-19,PHO vs. WAS
1022100134,2021-08-19,LAS vs. ATL
1022100132,2021-08-19,CON vs. MIN
1022100131,2021-08-18,SEA @ NYL
1022100130,2021-08-17,ATL @ LAS
1022100127,2021-08-17,DAL @ CHI
1022100128,2021-08-17,LVA vs. WAS
1022100129,2021-08-17,IND @ PHO
1022100126,2021-08-17,MIN @ CON
1022100125,2021-08-15,IND @ LAS
1022100120,2021-08-15,CHI vs. SEA
1022100124,2021-08-15,MIN vs. NYL
1022100123,2021-08-15,ATL @ PHO
1022100122,2021-08-15,WAS @ LVA
1022100121,2021-08-15,CON @ DAL
1022100118,2021-07-11,SEA vs. PHO
1022100115,2021-07-11,LVA @ DAL
1022100119,2021-07-11,MIN @ LAS
1022100117,2021-07-11,ATL vs. IND
1022100116,2021-07-11,NYL vs. CON
1022100114,2021-07-10,WAS @ CHI
1022100111,2021-07-09,NYL @ IND
1022100112,2021-07-09,SEA @ PHO
1022100110,2021-07-09,CON vs. ATL
1022100113,2021-07-09,LVA vs. MIN
1022100107,2021-07-07,MIN vs. DAL
1022100109,2021-07-07,LAS @ SEA
1022100108,2021-07-07,LVA vs. PHO
1022100106,2021-07-05,NYL vs. DAL
1022100104,2021-07-04,ATL @ LVA
1022100105,2021-07-04,SEA @ LAS
1022100103,2021-07-03,NYL vs. WAS
1022100102,2021-07-03,CON @ IND
1022100100,2021-07-03,MIN @ PHO
1022100101,2021-07-02,ATL @ SEA
1022100098,2021-07-02,DAL vs. CHI
1022100099,2021-07-02,LVA @ LAS
1022100097,2021-07-01,IND vs. CON
1022100096,2021-06-30,LAS vs. LVA
1022100094,2021-06-30,DAL vs. CHI
1022100095,2021-06-30,PHO vs. MIN
1022100092,2021-06-29,NYL @ ATL
1022100093,2021-06-29,CON @ WAS
1022100090,2021-06-27,CON vs. CHI
1022100091,2021-06-27,LVA vs. SEA
1022100089,2021-06-27,PHO vs. LAS
1022100088,2021-06-26,ATL vs. NYL
1022100087,2021-06-26,DAL vs. WAS
1022100086,2021-06-25,LVA @ MIN
1022100085,2021-06-24,LAS vs. WAS
1022100083,2021-06-24,DAL @ IND
1022100084,2021-06-24,CHI @ NYL
1022100082,2021-06-23,MIN @ ATL
1022100080,2021-06-22,CHI @ NYL
1022100081,2021-06-22,WAS @ SEA
1022100079,2021-06-22,DAL @ CON
1022100078,2021-06-20,LAS vs. NYL
1022100077,2021-06-19,MIN @ DAL
1022100075,2021-06-19,CHI vs. CON
1022100076,2021-06-19,WAS vs. IND
1022100074,2021-06-18,LAS vs. PHO
1022100071,2021-06-17,CON @ CHI
1022100073,2021-06-17,NYL @ LVA
1022100070,2021-06-17,ATL @ WAS
1022100072,2021-06-17,DAL vs. MIN
1022100069,2021-06-17,SEA @ IND
1022100068,2021-06-16,PHO @ LAS
1022100066,2021-06-15,MIN vs. CHI
1022100067,2021-06-15,LVA vs. NYL
1022100065,2021-06-15,SEA @ IND
1022100062,2021-06-13,WAS @ ATL
1022100064,2021-06-13,NYL @ PHO
1022100063,2021-06-13,LVA vs. DAL
1022100061,2021-06-13,SEA @ CON
1022100059,2021-06-12,IND vs. CHI
1022100060,2021-06-12,LAS @ MIN
1022100057,2021-06-11,SEA @ ATL
1022100058,2021-06-11,DAL @ PHO
1022100056,2021-06-10,LAS @ WAS
1022100054,2021-06-09,CHI vs. IND
1022100053,2021-06-09,SEA @ ATL
1022100052,2021-06-08,WAS vs. MIN
1022100055,2021-06-08,PHO vs. DAL
1022100050,2021-06-06,MIN vs. ATL
1022100051,2021-06-06,DAL @ SEA
1022100047,2021-06-05,LVA @ WAS
1022100048,2021-06-05,CHI @ LAS
1022100049,2021-06-05,NYL @ CON
1022100046,2021-06-04,SEA vs. DAL
1022100045,2021-06-04,ATL @ MIN
1022100042,2021-06-03,LVA @ NYL
1022100043,2021-06-03,CHI @ PHO
1022100044,2021-06-03,IND @ LAS
1022100039,2021-06-01,PHO @ CHI
1022100041,2021-06-01,SEA vs. IND
1022100038,2021-06-01,CON vs. LVA
1022100040,2021-06-01,DAL vs. LAS
1022100035,2021-05-30,LAS @ CHI
1022100037,2021-05-30,MIN vs. CON
1022100036,2021-05-30,IND @ LVA
1022100033,2021-05-29,ATL @ NYL
1022100034,2021-05-29,DAL vs. PHO
1022100029,2021-05-28,WAS @ CON
1022100031,2021-05-28,SEA vs. MIN
1022100030,2021-05-28,CHI vs. LAS
1022100032,2021-05-28,LVA vs. IND
1022100028,2021-05-27,DAL @ ATL
1022100027,2021-05-26,PHO vs. LVA
1022100026,2021-05-25,CON @ SEA
1022100025,2021-05-25,CHI vs. ATL
1022100023,2021-05-25,WAS @ IND
1022100024,2021-05-24,NYL vs. DAL
1022100021,2021-05-23,IND vs. WAS
1022100022,2021-05-23,CON @ LVA
1022100020,2021-05-23,CHI vs. NYL
1022100019,2021-05-22,SEA @ DAL
1022100017,2021-05-21,PHO vs. CON
1022100016,2021-05-21,NYL @ WAS
1022100015,2021-05-21,IND vs. ATL
1022100018,2021-05-21,LAS @ LVA
1022100014,2021-05-20,SEA @ MIN
1022100013,2021-05-19,IND @ CON
1022100012,2021-05-19,CHI @ ATL
1022100010,2021-05-18,WAS vs. PHO
1022100011,2021-05-18,SEA vs. LVA
1022100009,2021-05-18,MIN @ NYL
1022100007,2021-05-16,NYL @ IND
1022100008,2021-05-16,CON vs. PHO
1022100005,2021-05-15,CHI @ WAS
1022100006,2021-05-15,SEA vs. LVA
1022100002,2021-05-14,ATL vs. CON
1022100001,2021-05-14,NYL vs. IND
1022100004,2021-05-14,DAL @ LAS
1022100003,2021-05-14,MIN vs. PHO
