GAME_ID,GAME_DATE,MATCHUP
1029700110,1997-08-24,LAS @ PHO
1029700111,1997-08-24,UTA @ CHA
1029700109,1997-08-24,CLE @ NYL
1029700112,1997-08-24,SAC @ HOU
1029700108,1997-08-23,NYL @ CLE
1029700106,1997-08-22,CHA @ PHO
1029700107,1997-08-22,SAC @ LAS
1029700104,1997-08-21,HOU vs. CLE
1029700105,1997-08-21,CHA @ UTA
1029700102,1997-08-20,SAC vs. PHO
1029700103,1997-08-20,LAS vs. NYL
1029700100,1997-08-19,UTA vs. NYL
1029700101,1997-08-19,CHA @ HOU
1029700099,1997-08-18,PHO @ LAS
1029700098,1997-08-17,CLE vs. CHA
1029700097,1997-08-17,UTA @ PHO
1029700096,1997-08-17,NYL vs. HOU
1029700094,1997-08-16,CHA vs. HOU
1029700095,1997-08-16,UTA vs. LAS
1029700093,1997-08-15,SAC @ NYL
1029700092,1997-08-14,SAC @ CHA
1029700091,1997-08-14,CLE @ PHO
1029700088,1997-08-12,HOU vs. UTA
1029700090,1997-08-12,CLE @ SAC
1029700089,1997-08-12,PHO vs. NYL
1029700087,1997-08-11,UTA vs. CLE
1029700086,1997-08-11,HOU @ CHA
1029700085,1997-08-10,SAC vs. NYL
1029700083,1997-08-09,LAS @ HOU
1029700084,1997-08-09,CHA vs. PHO
1029700082,1997-08-08,SAC vs. UTA
1029700080,1997-08-07,LAS @ CLE
1029700081,1997-08-07,PHO @ HOU
1029700078,1997-08-06,UTA @ PHO
1029700079,1997-08-06,SAC vs. CHA
1029700077,1997-08-05,NYL vs. LAS
1029700076,1997-08-05,HOU @ CLE
1029700075,1997-08-04,UTA vs. CHA
1029700074,1997-08-04,PHO vs. SAC
1029700073,1997-08-03,LAS vs. CHA
1029700072,1997-08-02,UTA vs. HOU
1029700070,1997-08-02,PHO @ NYL
1029700071,1997-08-02,CLE vs. SAC
1029700068,1997-08-01,LAS vs. HOU
1029700069,1997-08-01,SAC @ CHA
1029700067,1997-07-31,PHO @ CLE
1029700066,1997-07-30,LAS vs. UTA
1029700064,1997-07-30,SAC @ NYL
1029700065,1997-07-30,PHO @ CHA
1029700063,1997-07-29,CLE @ HOU
1029700062,1997-07-28,PHO vs. CLE
1029700061,1997-07-27,SAC vs. LAS
1029700059,1997-07-26,UTA vs. CLE
1029700060,1997-07-26,NYL vs. CHA
1029700057,1997-07-25,LAS @ PHO
1029700058,1997-07-25,HOU @ SAC
1029700056,1997-07-23,CLE @ LAS
1029700055,1997-07-23,NYL @ CHA
1029700054,1997-07-22,NYL vs. UTA
1029700053,1997-07-22,HOU @ PHO
1029700051,1997-07-21,PHO @ SAC
1029700052,1997-07-21,LAS @ CHA
1029700049,1997-07-19,NYL vs. LAS
1029700050,1997-07-19,CLE vs. UTA
1029700048,1997-07-18,HOU @ SAC
1029700047,1997-07-17,UTA @ NYL
1029700046,1997-07-17,CLE vs. CHA
1029700043,1997-07-16,PHO vs. SAC
1029700045,1997-07-16,LAS vs. HOU
1029700044,1997-07-16,UTA @ CHA
1029700042,1997-07-15,NYL vs. CLE
1029700041,1997-07-15,SAC vs. LAS
1029700039,1997-07-14,NYL @ CLE
1029700040,1997-07-14,UTA @ HOU
1029700038,1997-07-13,PHO @ LAS
1029700036,1997-07-12,CLE @ CHA
1029700037,1997-07-12,PHO @ UTA
1029700035,1997-07-12,HOU vs. SAC
1029700034,1997-07-11,UTA @ LAS
1029700032,1997-07-10,CLE vs. SAC
1029700033,1997-07-10,CHA @ NYL
1029700030,1997-07-09,HOU @ PHO
1029700031,1997-07-09,CHA vs. NYL
1029700028,1997-07-07,SAC @ UTA
1029700029,1997-07-07,LAS vs. CLE
1029700026,1997-07-07,PHO vs. NYL
1029700027,1997-07-07,CHA @ HOU
1029700025,1997-07-06,CLE @ SAC
1029700023,1997-07-05,CHA vs. LAS
1029700024,1997-07-05,UTA vs. NYL
1029700022,1997-07-04,HOU vs. NYL
1029700021,1997-07-03,PHO @ UTA
1029700020,1997-07-03,LAS @ CLE
1029700018,1997-07-02,SAC vs. UTA
1029700019,1997-07-02,HOU @ NYL
1029700017,1997-06-30,HOU vs. LAS
1029700015,1997-06-29,NYL vs. PHO
1029700016,1997-06-29,CLE @ CHA
1029700014,1997-06-28,PHO @ CLE
1029700013,1997-06-28,UTA vs. HOU
1029700012,1997-06-27,LAS vs. SAC
1029700009,1997-06-26,CLE vs. UTA
1029700011,1997-06-26,NYL @ HOU
1029700010,1997-06-26,CHA @ SAC
1029700008,1997-06-25,LAS vs. CHA
1029700007,1997-06-24,HOU vs. PHO
1029700005,1997-06-23,LAS @ UTA
1029700006,1997-06-23,SAC vs. NYL
1029700004,1997-06-22,CHA @ PHO
1029700003,1997-06-21,SAC @ UTA
1029700001,1997-06-21,LAS vs. NYL
1029700002,1997-06-21,HOU @ CLE
