GAME_ID,GAME_DATE,MATCHUP
1040700305,2007-09-16,PHO @ DET
1040700304,2007-09-13,PHO vs. DET
1040700303,2007-09-11,PHO vs. DET
1040700302,2007-09-08,PHO @ DET
1040700301,2007-09-05,DET vs. PHO
1040700203,2007-09-03,IND @ DET
1040700202,2007-09-02,IND @ DET
1040700212,2007-09-01,PHO vs. SAN
1040700201,2007-08-31,IND vs. DET
1040700211,2007-08-30,PHO @ SAN
1040700103,2007-08-28,NYL @ DET
1040700133,2007-08-27,SAC @ SAN
1040700113,2007-08-27,IND vs. CON
1040700122,2007-08-26,SEA @ PHO
1040700102,2007-08-26,NYL @ DET
1040700132,2007-08-25,SAC @ SAN
1040700112,2007-08-25,IND vs. CON
1040700121,2007-08-24,PHO @ SEA
1040700101,2007-08-24,NYL vs. DET
1040700131,2007-08-23,SAN @ SAC
1040700111,2007-08-23,CON vs. IND
