GAME_ID,GAME_DATE,MATCHUP
1020500216,2005-08-27,CON @ CHA
1020500220,2005-08-27,NYL @ IND
1020500218,2005-08-27,PHO @ SEA
1020500219,2005-08-27,SAC @ MIN
1020500217,2005-08-27,DET @ WAS
1020500221,2005-08-27,LAS @ HOU
1020500214,2005-08-26,CON vs. WAS
1020500215,2005-08-26,SAN vs. LAS
1020500211,2005-08-25,NYL vs. CHA
1020500212,2005-08-25,HOU @ PHO
1020500210,2005-08-25,DET vs. IND
1020500213,2005-08-25,SAC @ SEA
1020500204,2005-08-23,DET @ CHA
1020500207,2005-08-23,SAN vs. SEA
1020500209,2005-08-23,SAC vs. PHO
1020500205,2005-08-23,IND @ CON
1020500208,2005-08-23,LAS vs. MIN
1020500206,2005-08-23,NYL @ WAS
1020500203,2005-08-21,HOU @ LAS
1020500202,2005-08-21,MIN @ PHO
1020500201,2005-08-21,WAS @ DET
1020500198,2005-08-20,NYL @ CON
1020500200,2005-08-20,SAC vs. SEA
1020500199,2005-08-20,CHA @ IND
1020500196,2005-08-19,SAN @ PHO
1020500197,2005-08-19,LAS vs. DET
1020500193,2005-08-18,HOU vs. PHO
1020500195,2005-08-18,MIN @ SEA
1020500191,2005-08-18,CON vs. CHA
1020500192,2005-08-18,WAS @ IND
1020500194,2005-08-18,SAC vs. SAN
1020500190,2005-08-16,SAC @ LAS
1020500189,2005-08-16,PHO vs. DET
1020500188,2005-08-16,HOU @ MIN
1020500187,2005-08-16,NYL vs. WAS
1020500183,2005-08-14,WAS @ CON
1020500186,2005-08-14,IND @ PHO
1020500184,2005-08-14,SEA @ HOU
1020500185,2005-08-14,CHA @ NYL
1020500182,2005-08-13,IND @ LAS
1020500181,2005-08-13,DET @ SAN
1020500179,2005-08-12,MIN vs. SEA
1020500178,2005-08-12,NYL @ CHA
1020500180,2005-08-12,PHO vs. SAC
1020500176,2005-08-11,MIN @ DET
1020500177,2005-08-11,IND @ SAN
1020500175,2005-08-11,WAS vs. CON
1020500173,2005-08-10,LAS @ NYL
1020500172,2005-08-09,MIN vs. SAN
1020500171,2005-08-09,DET vs. CHA
1020500170,2005-08-09,LAS @ CON
1020500174,2005-08-09,SEA vs. HOU
1020500167,2005-08-07,DET vs. NYL
1020500166,2005-08-07,LAS @ MIN
1020500168,2005-08-07,WAS vs. IND
1020500169,2005-08-07,HOU @ SAC
1020500163,2005-08-06,CHA vs. DET
1020500164,2005-08-06,IND vs. CON
1020500162,2005-08-06,SEA @ NYL
1020500161,2005-08-05,SAN vs. LAS
1020500165,2005-08-05,HOU @ PHO
1020500159,2005-08-04,SAC @ CHA
1020500160,2005-08-04,SEA @ IND
1020500158,2005-08-03,PHO vs. MIN
1020500157,2005-08-02,DET @ HOU
1020500154,2005-08-02,CON @ NYL
1020500155,2005-08-02,SAC @ SAN
1020500156,2005-08-02,WAS vs. CHA
1020500153,2005-07-31,SEA vs. LAS
1020500150,2005-07-31,IND @ NYL
1020500152,2005-07-31,MIN @ SAC
1020500151,2005-07-31,PHO @ DET
1020500148,2005-07-30,HOU vs. SAN
1020500149,2005-07-30,DET @ CON
1020500146,2005-07-29,SAC vs. LAS
1020500144,2005-07-29,IND vs. WAS
1020500147,2005-07-29,CHA @ SEA
1020500145,2005-07-29,PHO @ MIN
1020500141,2005-07-28,CON vs. NYL
1020500142,2005-07-28,SAN @ WAS
1020500143,2005-07-27,HOU @ NYL
1020500137,2005-07-26,CON vs. IND
1020500138,2005-07-26,MIN @ SAN
1020500140,2005-07-26,CHA @ SAC
1020500139,2005-07-26,PHO vs. LAS
1020500136,2005-07-26,HOU @ WAS
1020500135,2005-07-24,DET @ SAC
1020500134,2005-07-24,NYL @ MIN
1020500130,2005-07-23,IND @ CHA
1020500131,2005-07-23,SAN vs. PHO
1020500132,2005-07-23,HOU vs. LAS
1020500133,2005-07-23,DET @ SEA
1020500129,2005-07-22,NYL @ SAC
1020500128,2005-07-22,CHA @ CON
1020500125,2005-07-21,NYL @ PHO
1020500123,2005-07-21,SAN @ IND
1020500126,2005-07-21,WAS @ HOU
1020500127,2005-07-20,CON @ DET
1020500124,2005-07-19,SEA vs. NYL
1020500121,2005-07-19,HOU vs. SAC
1020500122,2005-07-19,MIN vs. IND
1020500119,2005-07-19,CHA vs. CON
1020500120,2005-07-19,WAS @ LAS
1020500117,2005-07-17,CON @ MIN
1020500116,2005-07-17,CHA vs. HOU
1020500118,2005-07-17,DET vs. IND
1020500113,2005-07-16,SEA @ LAS
1020500114,2005-07-16,SAC vs. WAS
1020500115,2005-07-15,SEA vs. SAN
1020500109,2005-07-15,HOU @ CON
1020500111,2005-07-15,DET @ IND
1020500110,2005-07-15,MIN @ NYL
1020500112,2005-07-15,PHO vs. WAS
1020500106,2005-07-14,SAC vs. SAN
1020500108,2005-07-13,SEA vs. WAS
1020500105,2005-07-13,IND vs. CON
1020500104,2005-07-13,DET @ MIN
1020500107,2005-07-13,PHO vs. CHA
1020500102,2005-07-12,HOU vs. NYL
1020500103,2005-07-12,LAS vs. CHA
1020500098,2005-07-07,MIN @ CHA
1020500099,2005-07-07,WAS vs. DET
1020500100,2005-07-07,CON @ NYL
1020500101,2005-07-07,HOU @ IND
1020500097,2005-07-06,SEA @ PHO
1020500096,2005-07-05,NYL @ LAS
1020500093,2005-07-05,HOU @ DET
1020500095,2005-07-05,SAN vs. PHO
1020500094,2005-07-03,SEA vs. SAC
