GAME_ID,GAME_DATE,MATCHUP
1040600305,2006-09-09,SAC @ DET
1040600304,2006-09-06,SAC vs. DET
1040600303,2006-09-03,SAC vs. DET
1040600302,2006-09-01,DET vs. SAC
1040600301,2006-08-30,SAC @ DET
1040600203,2006-08-27,DET @ CON
1040600212,2006-08-26,LAS vs. SAC
1040600202,2006-08-26,CON vs. DET
1040600201,2006-08-24,CON @ DET
1040600211,2006-08-24,LAS @ SAC
1040600123,2006-08-22,LAS vs. SEA
1040600122,2006-08-20,LAS vs. SEA
1040600102,2006-08-20,CON vs. WAS
1040600132,2006-08-19,HOU @ SAC
1040600112,2006-08-19,DET vs. IND
1040600101,2006-08-18,CON @ WAS
1040600121,2006-08-18,SEA vs. LAS
1040600131,2006-08-17,SAC @ HOU
1040600111,2006-08-17,IND vs. DET
