GAME_ID,GAME_DATE,MATCHUP
1029800149,1998-08-19,LAS @ HOU
1029800147,1998-08-19,CHA @ WAS
1029800150,1998-08-19,PHO vs. SAC
1029800148,1998-08-19,DET vs. NYL
1029800146,1998-08-17,UTA vs. PHO
1029800144,1998-08-17,CLE @ NYL
1029800145,1998-08-17,HOU @ WAS
1029800142,1998-08-16,LAS vs. DET
1029800143,1998-08-16,PHO @ SAC
1029800139,1998-08-15,NYL vs. HOU
1029800140,1998-08-15,CLE vs. WAS
1029800141,1998-08-15,SAC vs. UTA
1029800138,1998-08-14,LAS vs. UTA
1029800137,1998-08-14,DET @ PHO
1029800136,1998-08-14,CLE @ CHA
1029800135,1998-08-13,NYL vs. WAS
1029800132,1998-08-12,WAS vs. CLE
1029800134,1998-08-12,UTA vs. SAC
1029800133,1998-08-12,CHA vs. LAS
1029800130,1998-08-11,NYL vs. PHO
1029800131,1998-08-11,SAC vs. DET
1029800128,1998-08-10,HOU vs. CHA
1029800129,1998-08-10,DET @ UTA
1029800127,1998-08-10,CLE vs. PHO
1029800126,1998-08-09,WAS vs. LAS
1029800125,1998-08-08,UTA @ PHO
1029800124,1998-08-08,CLE vs. CHA
1029800123,1998-08-08,NYL vs. LAS
1029800122,1998-08-07,WAS @ SAC
1029800121,1998-08-07,HOU @ DET
1029800120,1998-08-06,UTA vs. CLE
1029800119,1998-08-06,HOU vs. PHO
1029800117,1998-08-05,CHA vs. NYL
1029800118,1998-08-05,DET vs. LAS
1029800115,1998-08-04,PHO vs. WAS
1029800114,1998-08-04,HOU @ UTA
1029800116,1998-08-04,CLE @ SAC
1029800112,1998-08-03,CHA vs. DET
1029800113,1998-08-03,WAS @ LAS
1029800110,1998-08-02,CHA @ NYL
1029800111,1998-08-02,HOU vs. SAC
1029800107,1998-08-01,WAS vs. NYL
1029800109,1998-08-01,UTA vs. LAS
1029800108,1998-08-01,CLE @ HOU
1029800105,1998-07-31,DET vs. SAC
1029800106,1998-07-31,LAS vs. PHO
1029800103,1998-07-30,CHA vs. CLE
1029800104,1998-07-30,UTA @ HOU
1029800102,1998-07-29,CLE vs. SAC
1029800101,1998-07-29,LAS @ WAS
1029800100,1998-07-28,PHO @ HOU
1029800099,1998-07-27,PHO @ UTA
1029800097,1998-07-27,SAC @ CHA
1029800098,1998-07-27,LAS @ CLE
1029800095,1998-07-26,NYL vs. DET
1029800096,1998-07-26,WAS vs. SAC
1029800093,1998-07-25,CLE vs. UTA
1029800094,1998-07-25,LAS @ DET
1029800092,1998-07-25,HOU @ CHA
1029800091,1998-07-24,SAC vs. NYL
1029800090,1998-07-23,PHO @ LAS
1029800088,1998-07-22,UTA @ CHA
1029800089,1998-07-22,WAS @ DET
1029800087,1998-07-21,LAS vs. NYL
1029800085,1998-07-21,WAS vs. CHA
1029800086,1998-07-21,PHO vs. HOU
1029800084,1998-07-20,SAC @ PHO
1029800083,1998-07-19,CHA @ CLE
1029800082,1998-07-19,UTA @ WAS
1029800079,1998-07-18,CLE @ DET
1029800080,1998-07-18,PHO vs. NYL
