GAME_ID,GAME_DATE,MATCHUP
1021300202,2013-09-15,WAS vs. NYL
1021300204,2013-09-15,LAS vs. PHO
1021300203,2013-09-15,ATL @ SAN
1021300201,2013-09-15,IND @ CON
1021300199,2013-09-14,MIN vs. CHI
1021300200,2013-09-14,SEA vs. TUL
1021300198,2013-09-13,SAN @ PHO
1021300195,2013-09-13,NYL @ IND
1021300197,2013-09-13,ATL @ CHI
1021300196,2013-09-13,WAS vs. CON
1021300194,2013-09-12,MIN @ LAS
1021300193,2013-09-12,SEA @ TUL
1021300191,2013-09-11,ATL @ CON
1021300192,2013-09-11,CHI vs. PHO
1021300190,2013-09-10,SEA vs. MIN
1021300189,2013-09-10,PHO @ NYL
1021300188,2013-09-10,IND vs. WAS
1021300185,2013-09-08,PHO @ ATL
1021300187,2013-09-08,SAN vs. TUL
1021300186,2013-09-08,CHI @ WAS
1021300184,2013-09-07,SEA vs. MIN
1021300183,2013-09-07,IND vs. CON
1021300180,2013-09-06,TUL vs. LAS
1021300182,2013-09-06,SAN @ PHO
1021300178,2013-09-06,CON vs. WAS
1021300179,2013-09-06,ATL @ NYL
1021300181,2013-09-06,IND @ CHI
1021300176,2013-09-04,IND @ ATL
1021300177,2013-09-04,MIN vs. LAS
1021300175,2013-09-02,ATL vs. LAS
1021300174,2013-09-01,TUL vs. NYL
1021300172,2013-08-31,LAS @ SAN
1021300171,2013-08-31,SEA @ MIN
1021300173,2013-08-31,PHO vs. CON
1021300170,2013-08-31,ATL @ CHI
1021300168,2013-08-30,NYL vs. IND
1021300169,2013-08-30,TUL vs. SAN
1021300167,2013-08-29,CON @ SEA
1021300166,2013-08-28,ATL vs. WAS
1021300163,2013-08-27,NYL vs. MIN
1021300164,2013-08-27,SEA @ SAN
1021300165,2013-08-27,LAS vs. CON
1021300160,2013-08-25,SEA @ SAN
1021300162,2013-08-25,LAS vs. TUL
1021300161,2013-08-25,NYL @ CON
1021300158,2013-08-24,IND @ MIN
1021300159,2013-08-24,CHI @ ATL
1021300155,2013-08-23,TUL vs. SAN
1021300157,2013-08-23,PHO vs. SEA
1021300156,2013-08-23,NYL @ CHI
1021300154,2013-08-23,ATL @ WAS
1021300153,2013-08-22,CON vs. MIN
1021300152,2013-08-21,SAN @ IND
1021300148,2013-08-20,MIN @ ATL
1021300150,2013-08-20,PHO @ TUL
1021300149,2013-08-20,CHI @ WAS
1021300151,2013-08-20,SEA vs. LAS
1021300147,2013-08-18,MIN vs. NYL
1021300145,2013-08-18,WAS @ ATL
1021300146,2013-08-18,CON @ CHI
1021300144,2013-08-17,SEA vs. IND
1021300143,2013-08-17,SAN vs. PHO
1021300139,2013-08-16,CON @ ATL
1021300141,2013-08-16,MIN vs. TUL
1021300140,2013-08-16,NYL vs. WAS
1021300142,2013-08-16,IND @ LAS
1021300138,2013-08-15,SEA vs. CHI
1021300136,2013-08-14,ATL @ CON
1021300137,2013-08-14,IND @ PHO
1021300135,2013-08-13,LAS vs. CHI
1021300131,2013-08-11,TUL @ PHO
1021300130,2013-08-11,WAS vs. CON
1021300134,2013-08-11,SEA vs. SAN
1021300132,2013-08-11,MIN @ CHI
1021300133,2013-08-11,ATL vs. NYL
1021300128,2013-08-10,NYL vs. LAS
1021300129,2013-08-10,IND vs. ATL
1021300125,2013-08-09,CHI @ CON
1021300126,2013-08-09,PHO vs. TUL
1021300127,2013-08-09,SEA vs. SAN
1021300124,2013-08-08,WAS @ MIN
1021300123,2013-08-08,LAS @ IND
1021300121,2013-08-06,MIN @ SAN
1021300118,2013-08-06,WAS @ NYL
1021300122,2013-08-06,SEA @ PHO
1021300120,2013-08-06,CHI vs. IND
1021300119,2013-08-06,LAS @ CON
1021300115,2013-08-04,WAS vs. LAS
1021300116,2013-08-04,TUL @ SAN
1021300117,2013-08-04,SEA @ MIN
1021300113,2013-08-03,IND vs. CHI
1021300112,2013-08-03,NYL vs. CON
1021300114,2013-08-03,PHO vs. ATL
1021300111,2013-08-02,WAS @ CHI
1021300110,2013-08-02,LAS @ TUL
1021300109,2013-08-02,SAN @ MIN
1021300107,2013-08-01,IND @ CON
1021300108,2013-08-01,PHO @ SEA
1021300106,2013-07-31,NYL @ WAS
1021300104,2013-07-25,IND @ TUL
1021300105,2013-07-25,LAS vs. SEA
1021300103,2013-07-25,NYL @ SAN
1021300102,2013-07-24,ATL vs. CON
1021300100,2013-07-24,WAS vs. CHI
1021300101,2013-07-24,PHO @ MIN
1021300099,2013-07-23,NYL @ IND
1021300097,2013-07-21,ATL @ TUL
1021300096,2013-07-21,WAS vs. IND
1021300098,2013-07-21,PHO vs. MIN
1021300093,2013-07-20,NYL @ CHI
1021300095,2013-07-20,LAS @ SEA
1021300094,2013-07-20,CON @ SAN
1021300090,2013-07-19,IND vs. WAS
1021300092,2013-07-19,TUL vs. CON
1021300091,2013-07-19,MIN @ SAN
1021300089,2013-07-18,PHO @ LAS
1021300088,2013-07-18,NYL vs. CHI
1021300087,2013-07-17,ATL @ LAS
1021300086,2013-07-17,TUL @ SEA
1021300085,2013-07-16,SAN @ WAS
1021300083,2013-07-14,PHO vs. LAS
1021300084,2013-07-14,ATL @ SEA
1021300082,2013-07-14,SAN @ CON
1021300080,2013-07-13,IND @ NYL
1021300081,2013-07-13,TUL vs. MIN
1021300078,2013-07-12,CHI @ CON
1021300079,2013-07-12,SAN vs. WAS
1021300077,2013-07-11,LAS @ TUL
1021300076,2013-07-11,MIN @ IND
1021300075,2013-07-10,SAN @ PHO
1021300074,2013-07-10,CHI vs. WAS
1021300073,2013-07-09,ATL @ MIN
1021300072,2013-07-09,SEA @ NYL
1021300071,2013-07-07,MIN vs. PHO
1021300070,2013-07-07,CHI @ NYL
1021300069,2013-07-06,WAS vs. SEA
1021300068,2013-07-06,IND vs. CON
1021300067,2013-07-06,LAS vs. SAN
1021300066,2013-07-04,NYL @ LAS
1021300065,2013-07-02,MIN @ LAS
1021300063,2013-07-02,TUL @ CON
1021300064,2013-07-02,PHO vs. NYL
