GAME_ID,GAME_DATE,MATCHUP
1022300238,2023-09-10,NYL vs. WAS
1022300235,2023-09-10,DAL @ ATL
1022300239,2023-09-10,LVA vs. PHO
1022300236,2023-09-10,CON vs. CHI
1022300240,2023-09-10,SEA vs. LAS
1022300237,2023-09-10,IND vs. MIN
1022300231,2023-09-08,ATL @ WAS
1022300233,2023-09-08,DAL vs. SEA
1022300232,2023-09-08,MIN @ CHI
1022300234,2023-09-08,PHO vs. LVA
1022300230,2023-09-08,IND @ CON
1022300229,2023-09-07,NYL vs. LAS
1022300228,2023-09-06,SEA @ ATL
1022300226,2023-09-05,DAL vs. NYL
1022300225,2023-09-05,IND vs. CHI
1022300227,2023-09-05,WAS @ PHO
1022300224,2023-09-05,LAS @ CON
1022300221,2023-09-03,DAL vs. IND
1022300222,2023-09-03,MIN vs. PHO
1022300223,2023-09-03,LAS vs. WAS
1022300220,2023-09-03,CHI vs. NYL
1022300219,2023-09-02,LVA vs. SEA
1022300217,2023-09-01,CON @ NYL
1022300218,2023-09-01,MIN vs. ATL
1022300216,2023-09-01,IND vs. DAL
1022300215,2023-08-31,LAS vs. SEA
1022300213,2023-08-31,PHO @ CON
1022300214,2023-08-31,WAS @ LVA
1022300211,2023-08-29,WAS vs. MIN
1022300210,2023-08-29,PHO @ ATL
1022300212,2023-08-29,CHI @ LAS
1022300209,2023-08-28,LVA @ NYL
1022300208,2023-08-27,SEA vs. CHI
1022300206,2023-08-27,ATL @ IND
1022300207,2023-08-27,PHO vs. DAL
1022300205,2023-08-27,LAS @ CON
1022300203,2023-08-26,WAS vs. LVA
1022300204,2023-08-26,NYL @ MIN
1022300202,2023-08-25,LAS @ ATL
1022300200,2023-08-24,CHI vs. LVA
1022300199,2023-08-24,IND vs. SEA
1022300198,2023-08-24,NYL @ CON
1022300201,2023-08-24,DAL vs. MIN
1022300197,2023-08-23,PHO @ LAS
1022300195,2023-08-22,CHI vs. SEA
1022300194,2023-08-22,WAS vs. CON
1022300193,2023-08-22,ATL vs. LVA
1022300196,2023-08-22,MIN vs. DAL
1022300190,2023-08-20,CHI vs. CON
1022300192,2023-08-20,SEA @ MIN
1022300189,2023-08-20,DAL @ WAS
1022300191,2023-08-20,PHO vs. IND
1022300188,2023-08-19,LVA vs. LAS
1022300183,2023-08-18,CON vs. DAL
1022300186,2023-08-18,NYL @ PHO
1022300187,2023-08-18,SEA vs. MIN
1022300184,2023-08-18,IND vs. WAS
1022300185,2023-08-18,CHI @ ATL
1022300182,2023-08-17,LVA vs. NYL
1022300178,2023-08-13,WAS vs. CHI
1022300179,2023-08-13,SEA vs. PHO
1022300180,2023-08-13,IND vs. NYL
1022300181,2023-08-13,LVA vs. ATL
1022300177,2023-08-12,DAL vs. CON
1022300176,2023-08-12,ATL @ LAS
1022300174,2023-08-11,CHI @ NYL
1022300175,2023-08-11,LVA vs. WAS
1022300172,2023-08-10,CON @ PHO
1022300171,2023-08-10,MIN @ IND
1022300173,2023-08-10,ATL @ SEA
1022300166,2023-08-08,SEA vs. CON
1022300167,2023-08-08,LAS @ IND
1022300170,2023-08-08,WAS @ PHO
1022300168,2023-08-08,CHI vs. MIN
1022300169,2023-08-08,DAL vs. LVA
1022300164,2023-08-06,LAS @ WAS
1022300162,2023-08-06,IND @ ATL
1022300165,2023-08-06,CHI @ DAL
1022300163,2023-08-06,LVA @ NYL
1022300161,2023-08-05,SEA @ PHO
1022300157,2023-08-04,IND vs. CON
1022300158,2023-08-04,LAS @ WAS
1022300159,2023-08-04,DAL vs. CHI
1022300160,2023-08-04,MIN vs. NYL
1022300156,2023-08-03,ATL @ PHO
1022300155,2023-08-02,SEA vs. DAL
1022300153,2023-08-01,ATL @ LVA
1022300151,2023-08-01,CON vs. MIN
1022300154,2023-08-01,LAS vs. NYL
1022300152,2023-08-01,PHO @ IND
1022300148,2023-07-30,PHO @ CHI
1022300149,2023-07-30,LVA vs. DAL
1022300146,2023-07-30,ATL vs. WAS
1022300145,2023-07-30,MIN @ CON
1022300147,2023-07-30,IND vs. SEA
1022300150,2023-07-30,LAS vs. NYL
1022300038,2023-07-28,MIN @ NYL
1022300144,2023-07-28,WAS @ DAL
1022300143,2023-07-28,SEA @ CHI
1022300142,2023-07-27,ATL @ NYL
1022300141,2023-07-27,IND @ LAS
1022300140,2023-07-26,MIN vs. WAS
1022300139,2023-07-25,IND @ LAS
1022300137,2023-07-25,CHI vs. LVA
1022300136,2023-07-25,SEA @ NYL
1022300135,2023-07-25,ATL vs. PHO
1022300138,2023-07-25,CON @ DAL
1022300134,2023-07-23,PHO @ WAS
1022300133,2023-07-23,IND @ NYL
1022300130,2023-07-22,SEA vs. CHI
1022300131,2023-07-22,DAL vs. LAS
1022300129,2023-07-22,CON @ ATL
1022300132,2023-07-22,LVA @ MIN
1022300128,2023-07-21,WAS vs. NYL
1022300125,2023-07-20,MIN vs. LAS
1022300127,2023-07-20,LVA @ SEA
1022300124,2023-07-20,CON vs. ATL
1022300126,2023-07-20,CHI @ PHO
1022300122,2023-07-19,IND @ WAS
1022300123,2023-07-19,DAL @ NYL
1022300121,2023-07-18,CON @ PHO
1022300120,2023-07-18,ATL vs. MIN
1022300118,2023-07-12,SEA @ ATL
1022300117,2023-07-12,MIN vs. DAL
1022300116,2023-07-12,CHI vs. CON
1022300115,2023-07-12,IND vs. NYL
1022300119,2023-07-12,LAS vs. LVA
1022300114,2023-07-11,PHO @ LVA
1022300113,2023-07-11,SEA @ WAS
1022300110,2023-07-09,PHO vs. LAS
1022300109,2023-07-09,IND vs. DAL
1022300108,2023-07-09,CON vs. WAS
1022300112,2023-07-09,CHI vs. ATL
1022300111,2023-07-09,LVA @ MIN
1022300107,2023-07-08,SEA @ NYL
1022300103,2023-07-07,IND @ WAS
1022300104,2023-07-07,ATL @ CHI
1022300106,2023-07-07,MIN vs. PHO
1022300105,2023-07-07,LVA @ DAL
1022300102,2023-07-06,SEA @ CON
1022300101,2023-07-05,LAS vs. ATL
1022300099,2023-07-05,IND @ MIN
1022300100,2023-07-05,DAL @ LVA
1022300098,2023-07-05,PHO @ NYL
1022300095,2023-07-02,CHI @ IND
1022300097,2023-07-02,NYL @ SEA
1022300096,2023-07-02,WAS @ DAL
1022300094,2023-07-02,ATL vs. LAS
1022300093,2023-07-01,MIN @ PHO
1022300092,2023-07-01,CON @ LVA
1022300091,2023-06-30,LAS @ CHI
1022300090,2023-06-30,ATL vs. WAS
1022300088,2023-06-29,IND @ PHO
1022300087,2023-06-29,NYL @ LVA
1022300089,2023-06-29,SEA vs. MIN
1022300085,2023-06-28,CHI vs. LAS
1022300086,2023-06-28,ATL @ WAS
1022300083,2023-06-27,SEA @ MIN
1022300084,2023-06-27,DAL @ PHO
1022300082,2023-06-27,CON vs. NYL
1022300081,2023-06-26,IND @ LVA
1022300078,2023-06-25,CHI @ CON
