GAME_ID,GAME_DATE,MATCHUP
1040800303,2008-10-05,SAN @ DET
1040800302,2008-10-03,SAN vs. DET
1040800301,2008-10-01,DET @ SAN
1040800203,2008-09-29,NYL @ DET
1040800202,2008-09-28,DET vs. NYL
1040800213,2008-09-28,LAS @ SAN
1040800212,2008-09-27,LAS @ SAN
1040800201,2008-09-26,NYL vs. DET
1040800211,2008-09-25,SAN @ LAS
1040800133,2008-09-23,SEA vs. LAS
1040800103,2008-09-23,DET vs. IND
1040800123,2008-09-22,SAN vs. SAC
1040800113,2008-09-22,CON vs. NYL
1040800132,2008-09-21,LAS @ SEA
1040800102,2008-09-21,DET vs. IND
1040800112,2008-09-20,NYL @ CON
1040800122,2008-09-20,SAN vs. SAC
1040800131,2008-09-19,LAS vs. SEA
1040800101,2008-09-19,DET @ IND
1040800121,2008-09-18,SAC vs. SAN
1040800111,2008-09-18,CON @ NYL
