GAME_ID,GAME_DATE,MATCHUP
1021100200,2011-09-11,NYL @ CON
1021100204,2011-09-11,SEA vs. CHI
1021100201,2011-09-11,ATL @ IND
1021100202,2011-09-11,PHO vs. MIN
1021100203,2011-09-11,TUL vs. SAN
1021100198,2011-09-10,WAS @ SAN
1021100199,2011-09-10,LAS vs. CHI
1021100197,2011-09-09,TUL @ LAS
1021100196,2011-09-09,PHO @ SEA
1021100195,2011-09-09,NYL vs. IND
1021100194,2011-09-08,PHO vs. TUL
1021100193,2011-09-08,MIN vs. CHI
1021100192,2011-09-07,WAS @ IND
1021100191,2011-09-06,LAS vs. SAN
1021100190,2011-09-06,ATL vs. CON
1021100188,2011-09-04,WAS vs. CON
1021100186,2011-09-04,ATL vs. TUL
1021100189,2011-09-04,CHI vs. IND
1021100187,2011-09-04,NYL vs. MIN
1021100185,2011-09-03,PHO vs. LAS
1021100184,2011-09-03,SEA @ SAN
1021100181,2011-09-02,IND @ CON
1021100183,2011-09-02,SEA @ TUL
1021100180,2011-09-02,ATL vs. WAS
1021100182,2011-09-02,MIN vs. NYL
1021100178,2011-09-01,WAS vs. ATL
1021100179,2011-09-01,PHO @ SAN
1021100176,2011-08-30,TUL vs. PHO
1021100175,2011-08-30,SAN vs. CON
1021100173,2011-08-30,ATL vs. IND
1021100172,2011-08-30,NYL vs. CHI
1021100177,2011-08-30,SEA @ LAS
1021100174,2011-08-30,WAS @ MIN
1021100170,2011-08-28,CHI vs. NYL
1021100169,2011-08-28,WAS vs. PHO
1021100167,2011-08-28,MIN @ SAN
1021100171,2011-08-28,SEA vs. LAS
1021100168,2011-08-28,TUL vs. CON
1021100166,2011-08-27,IND vs. ATL
1021100165,2011-08-26,LAS vs. TUL
1021100162,2011-08-26,PHO @ CON
1021100164,2011-08-26,WAS @ CHI
1021100163,2011-08-26,MIN vs. SAN
1021100161,2011-08-25,SEA vs. TUL
1021100159,2011-08-23,SAN @ SEA
1021100158,2011-08-23,TUL vs. MIN
1021100157,2011-08-23,ATL @ CHI
1021100160,2011-08-23,NYL @ PHO
1021100156,2011-08-23,LAS @ WAS
1021100153,2011-08-21,CON vs. ATL
1021100154,2011-08-21,IND vs. WAS
1021100155,2011-08-21,LAS @ TUL
1021100150,2011-08-20,LAS @ MIN
1021100149,2011-08-20,CHI @ WAS
1021100151,2011-08-20,PHO vs. SAN
1021100152,2011-08-20,NYL @ SEA
1021100148,2011-08-19,ATL vs. CON
1021100145,2011-08-18,CON @ NYL
1021100147,2011-08-18,IND @ LAS
1021100146,2011-08-18,WAS vs. MIN
1021100143,2011-08-16,SEA @ PHO
1021100144,2011-08-16,LAS vs. ATL
1021100141,2011-08-16,MIN @ CON
1021100140,2011-08-16,WAS @ NYL
1021100142,2011-08-16,SAN vs. IND
1021100138,2011-08-14,CHI @ SAN
1021100139,2011-08-14,MIN vs. TUL
1021100136,2011-08-13,NYL @ IND
1021100135,2011-08-13,CON vs. WAS
1021100137,2011-08-13,SEA vs. ATL
1021100132,2011-08-12,NYL @ WAS
1021100133,2011-08-12,MIN @ CHI
1021100134,2011-08-12,PHO @ LAS
1021100130,2011-08-11,ATL @ PHO
1021100131,2011-08-11,TUL @ SEA
1021100129,2011-08-11,CON vs. SAN
1021100128,2011-08-09,LAS vs. TUL
1021100123,2011-08-09,IND vs. SAN
1021100127,2011-08-09,MIN @ PHO
1021100124,2011-08-09,WAS vs. ATL
1021100126,2011-08-09,NYL vs. SEA
1021100125,2011-08-09,CON vs. CHI
1021100119,2011-08-07,SEA @ ATL
1021100122,2011-08-07,LAS vs. MIN
1021100120,2011-08-07,PHO vs. CON
1021100121,2011-08-07,CHI vs. IND
1021100118,2011-08-06,TUL @ SAN
1021100117,2011-08-06,WAS vs. NYL
1021100115,2011-08-05,TUL vs. IND
1021100116,2011-08-05,CON @ SEA
1021100114,2011-08-04,MIN vs. SAN
1021100113,2011-08-04,NYL vs. CHI
1021100112,2011-08-03,LAS vs. CON
1021100109,2011-08-02,NYL @ ATL
1021100111,2011-08-02,SEA vs. SAN
1021100110,2011-08-02,PHO @ MIN
1021100106,2011-07-31,MIN @ SAN
1021100107,2011-07-31,ATL @ CON
1021100108,2011-07-31,IND vs. LAS
1021100103,2011-07-30,NYL vs. PHO
1021100104,2011-07-30,CHI vs. LAS
1021100105,2011-07-30,SEA @ TUL
1021100101,2011-07-29,IND @ WAS
1021100102,2011-07-29,SEA @ MIN
1021100096,2011-07-28,SAN vs. PHO
1021100097,2011-07-28,LAS @ ATL
1021100099,2011-07-28,IND @ CON
1021100100,2011-07-28,TUL vs. CHI
1021100098,2011-07-28,WAS @ NYL
1021100093,2011-07-26,LAS @ MIN
1021100092,2011-07-26,CON @ CHI
1021100091,2011-07-26,SAN @ WAS
1021100094,2011-07-26,TUL vs. ATL
1021100095,2011-07-26,SEA @ PHO
1021100090,2011-07-21,SEA vs. SAN
1021100089,2011-07-21,IND vs. CHI
1021100088,2011-07-20,MIN @ PHO
1021100087,2011-07-20,ATL @ WAS
1021100085,2011-07-19,SEA @ CHI
1021100086,2011-07-19,NYL @ CON
1021100084,2011-07-19,ATL vs. IND
1021100083,2011-07-18,SAN @ LAS
1021100080,2011-07-17,NYL vs. TUL
1021100082,2011-07-17,WAS @ LAS
1021100081,2011-07-17,CON vs. IND
1021100078,2011-07-16,ATL vs. CHI
1021100079,2011-07-16,SEA @ MIN
1021100075,2011-07-15,CON @ NYL
1021100076,2011-07-15,LAS @ TUL
1021100077,2011-07-15,PHO vs. WAS
1021100074,2011-07-15,MIN @ IND
1021100073,2011-07-14,SEA @ SAN
1021100069,2011-07-13,ATL @ NYL
1021100071,2011-07-13,MIN vs. PHO
1021100072,2011-07-13,IND vs. CON
1021100070,2011-07-13,TUL @ CHI
1021100067,2011-07-12,SEA vs. WAS
1021100068,2011-07-12,LAS @ SAN
1021100066,2011-07-10,TUL @ PHO
1021100065,2011-07-10,NYL vs. CHI
1021100064,2011-07-09,SEA vs. LAS
1021100061,2011-07-09,IND vs. WAS
1021100062,2011-07-09,CHI vs. ATL
1021100063,2011-07-09,MIN vs. CON
1021100060,2011-07-08,PHO @ TUL
1021100059,2011-07-08,SAN vs. NYL
1021100058,2011-07-05,PHO vs. LAS
1021100057,2011-07-05,WAS @ CHI
1021100056,2011-07-05,IND vs. SEA
1021100055,2011-07-03,WAS vs. SEA
1021100052,2011-07-01,SAN @ NYL
1021100053,2011-07-01,CON vs. SEA
1021100054,2011-07-01,CHI @ PHO
1021100051,2011-06-30,TUL vs. MIN
1021100050,2011-06-30,ATL vs. NYL
1021100048,2011-06-28,CHI vs. SAN
1021100049,2011-06-28,CON vs. LAS
1021100047,2011-06-28,PHO @ IND
1021100046,2011-06-26,IND @ MIN
1021100045,2011-06-26,TUL @ WAS
1021100043,2011-06-26,SAN @ ATL
1021100044,2011-06-26,NYL vs. LAS
1021100042,2011-06-25,PHO @ CHI
1021100041,2011-06-25,CON @ IND
1021100038,2011-06-24,ATL vs. PHO
1021100039,2011-06-24,LAS @ SAN
1021100040,2011-06-24,SEA vs. MIN
1021100037,2011-06-23,CHI vs. CON
1021100036,2011-06-23,NYL @ TUL
1021100032,2011-06-21,WAS vs. IND
1021100033,2011-06-21,PHO @ SAN
1021100035,2011-06-21,LAS vs. NYL
1021100034,2011-06-21,SEA @ TUL
1021100031,2011-06-21,CHI @ ATL
1021100028,2011-06-19,ATL vs. MIN
1021100029,2011-06-19,PHO vs. IND
1021100027,2011-06-19,CON vs. CHI
1021100030,2011-06-19,LAS vs. SEA
1021100026,2011-06-18,WAS @ TUL
1021100025,2011-06-17,SEA vs. IND
1021100023,2011-06-17,NYL @ CHI
1021100024,2011-06-17,PHO vs. SAN
1021100022,2011-06-17,MIN vs. ATL
1021100021,2011-06-16,CON @ WAS
1021100019,2011-06-14,TUL @ IND
1021100020,2011-06-14,ATL @ NYL
1021100018,2011-06-12,TUL @ CON
1021100015,2011-06-11,NYL vs. IND
1021100017,2011-06-11,ATL @ SAN
1021100016,2011-06-11,WAS vs. CHI
1021100011,2011-06-10,NYL @ IND
1021100012,2011-06-10,TUL vs. SAN
1021100014,2011-06-10,PHO @ LAS
1021100013,2011-06-10,CON @ CHI
1021100010,2011-06-09,MIN @ SEA
1021100009,2011-06-09,ATL vs. WAS
1021100008,2011-06-07,TUL @ MIN
1021100007,2011-06-05,MIN vs. LAS
1021100006,2011-06-05,NYL @ ATL
1021100002,2011-06-04,PHO @ SEA
1021100005,2011-06-04,SAN vs. TUL
1021100004,2011-06-04,IND vs. CHI
1021100003,2011-06-04,WAS @ CON
1021100001,2011-06-03,LAS vs. MIN
