GAME_ID,GAME_DATE,MATCHUP
1040000020,2000-08-26,NYL @ HOU
1040000019,2000-08-24,NYL vs. HOU
1040000018,2000-08-21,NYL vs. CLE
1040000017,2000-08-20,NYL vs. CLE
1040000014,2000-08-20,HOU @ LAS
1040000016,2000-08-17,NYL @ CLE
1040000013,2000-08-17,LAS @ HOU
1040000011,2000-08-15,CLE vs. ORL
1040000004,2000-08-14,SAC @ HOU
1040000010,2000-08-14,WAS @ NYL
1040000009,2000-08-13,CLE vs. ORL
1040000003,2000-08-13,LAS vs. PHO
1040000008,2000-08-12,WAS vs. NYL
1040000002,2000-08-12,HOU @ SAC
1040000001,2000-08-11,LAS @ PHO
1040000007,2000-08-11,CLE @ ORL
