GAME_ID,GAME_DATE,MATCHUP
1021600201,2016-09-18,CON @ WAS
1021600202,2016-09-18,IND vs. DAL
1021600204,2016-09-18,SEA vs. CHI
1021600203,2016-09-18,PHO @ SAN
1021600200,2016-09-17,MIN vs. ATL
1021600196,2016-09-16,CON vs. DAL
1021600199,2016-09-16,LAS vs. SAN
1021600197,2016-09-16,IND vs. MIN
1021600198,2016-09-16,CHI vs. NYL
1021600195,2016-09-15,SEA @ PHO
1021600194,2016-09-15,WAS @ ATL
1021600191,2016-09-13,SAN @ ATL
1021600189,2016-09-13,IND @ CON
1021600192,2016-09-13,CHI vs. MIN
1021600193,2016-09-13,LAS vs. PHO
1021600190,2016-09-13,WAS @ NYL
1021600183,2016-09-11,CON vs. CHI
1021600188,2016-09-11,LAS @ SEA
1021600186,2016-09-11,MIN @ SAN
1021600185,2016-09-11,NYL @ DAL
1021600184,2016-09-11,IND @ WAS
1021600187,2016-09-11,PHO vs. ATL
1021600182,2016-09-09,DAL @ SAN
1021600181,2016-09-09,CON @ NYL
1021600179,2016-09-09,SEA @ WAS
1021600180,2016-09-09,IND vs. CHI
1021600178,2016-09-08,ATL @ LAS
1021600177,2016-09-07,WAS vs. CHI
1021600176,2016-09-07,SEA @ NYL
1021600174,2016-09-06,SAN vs. IND
1021600175,2016-09-06,LAS vs. MIN
1021600173,2016-09-06,PHO @ ATL
1021600172,2016-09-04,CON @ MIN
1021600170,2016-09-04,ATL vs. SEA
1021600171,2016-09-04,LAS vs. IND
1021600169,2016-09-04,CHI vs. SAN
1021600168,2016-09-04,DAL vs. WAS
1021600167,2016-09-03,PHO @ NYL
1021600166,2016-09-02,DAL vs. LAS
1021600163,2016-09-02,PHO @ CON
1021600164,2016-09-02,WAS @ MIN
1021600165,2016-09-02,CHI vs. SEA
1021600161,2016-09-01,NYL @ IND
1021600162,2016-09-01,LAS @ SAN
1021600160,2016-08-31,DAL @ SEA
1021600159,2016-08-30,IND vs. PHO
1021600158,2016-08-30,SAN @ CON
1021600153,2016-08-28,CON @ ATL
1021600154,2016-08-28,DAL vs. CHI
1021600157,2016-08-28,PHO vs. LAS
1021600156,2016-08-28,SAN @ WAS
1021600155,2016-08-28,SEA @ MIN
1021600152,2016-08-27,WAS @ IND
1021600149,2016-08-26,CHI vs. ATL
1021600148,2016-08-26,SAN vs. NYL
1021600151,2016-08-26,LAS @ SEA
1021600147,2016-08-26,MIN @ CON
