GAME_ID,GAME_DATE,MATCHUP
1042400305,2024-10-20,NYL vs. MIN
1042400304,2024-10-18,MIN vs. NYL
1042400303,2024-10-16,NYL @ MIN
1042400302,2024-10-13,MIN @ NYL
1042400301,2024-10-10,MIN @ NYL
1042400215,2024-10-08,CON @ MIN
1042400214,2024-10-06,CON vs. MIN
1042400204,2024-10-06,NYL @ LVA
1042400203,2024-10-04,NYL @ LVA
1042400213,2024-10-04,MIN @ CON
1042400202,2024-10-01,LVA @ NYL
1042400212,2024-10-01,CON @ MIN
1042400211,2024-09-29,CON @ MIN
1042400201,2024-09-29,LVA @ NYL
1042400122,2024-09-25,CON vs. IND
1042400112,2024-09-25,PHO @ MIN
1042400132,2024-09-24,LVA vs. SEA
1042400102,2024-09-24,ATL @ NYL
1042400101,2024-09-22,ATL @ NYL
1042400111,2024-09-22,MIN vs. PHO
1042400131,2024-09-22,LVA vs. SEA
1042400121,2024-09-22,CON vs. IND
