PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
100100,Adrienne Johnson,Adrienne,1611661323,CON,30.0,3,2,1,0.667,61.9,8.5,12.7,0.667,0.0,1.4,0.0,0.0,0.0,0.0,0.0,5.6,5.6,5.6,0.0,1.4,0.0,0.0,2.8,0.0,16.9,7.0,36.3,0,0,31.0,40,29,74,15,12,20,51,4,41,48,41,58,58,58,65,38,59,26,71,46,44,52,75,3,41,16,47,10,1,57,1
100170,Allison Feaster,Allison,1611661314,CHA,28.0,2,0,2,0.0,63.7,7.0,20.0,0.35,4.0,10.0,0.4,3.0,4.0,0.75,2.0,3.0,5.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,21.0,-1.0,34.5,0,0,35.0,66,70,18,70,7,35,17,53,7,5,12,37,36,32,36,69,65,67,71,40,44,37,48,3,26,37,52,10,1,49,1
100059,Andrea Stinson,Andrea,1611661314,CHA,36.0,2,0,2,0.0,66.8,12.5,29.2,0.429,3.1,7.3,0.429,9.4,9.4,1.0,4.2,5.2,9.4,7.3,4.2,2.1,0.0,2.1,4.2,0.0,37.5,0.0,61.8,0,0,61.5,66,70,18,70,4,4,3,29,9,12,10,4,11,1,20,43,34,15,26,38,44,15,62,3,1,32,3,10,1,2,1
100387,Astou Ndiaye-Diatta,Astou,1611661325,IND,30.0,2,2,0,1.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,7.7,15.4,0.5,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,7.7,0.0,7.7,-7.7,19.2,0,0,15.4,66,29,79,1,78,76,81,76,41,53,41,11,3,49,65,77,79,12,71,63,44,52,20,3,73,59,75,10,1,77,1
100740,Ayana Walker,Ayana,1611661321,DET,24.0,4,4,0,1.0,51.9,2.2,10.9,0.2,0.0,0.0,0.0,6.5,6.5,1.0,6.5,6.5,13.0,0.0,2.2,8.7,2.2,0.0,0.0,0.0,10.9,28.3,57.0,0,0,45.7,28,14,79,1,68,74,63,72,41,53,41,17,23,1,8,30,12,69,61,1,16,52,81,3,62,2,8,10,1,17,1
100494,Barbara Farris,Barbara,1611661321,DET,27.0,8,6,2,0.75,55.5,4.1,10.4,0.4,0.0,0.4,0.0,4.6,7.1,0.647,3.3,5.0,8.3,1.7,4.1,0.4,0.0,0.8,5.8,0.0,12.9,-5.0,22.4,0,0,23.7,6,1,18,7,47,56,68,35,41,52,41,26,20,43,27,50,40,61,28,59,44,41,35,3,54,49,70,10,1,70,1
100484,Betty Lennox,Betty,1611661328,SEA,27.0,3,1,2,0.333,53.3,10.7,22.6,0.474,2.4,6.0,0.4,1.2,2.4,0.5,1.2,7.1,8.3,3.6,4.8,3.6,0.0,2.4,8.3,0.0,25.0,-10.7,46.3,0,0,46.4,40,42,18,45,64,8,12,18,12,20,12,54,52,49,49,26,37,45,23,13,44,11,15,3,13,65,23,10,1,15,1
100667,Brooke Wyckoff,Brooke,1611661323,CON,24.0,4,2,2,0.5,58.3,4.7,10.7,0.438,0.7,4.0,0.167,2.0,2.7,0.75,2.0,6.0,8.1,3.4,1.3,1.3,0.7,0.0,7.4,0.0,12.1,-7.4,31.5,0,0,28.2,28,29,18,23,27,52,64,25,33,33,37,46,49,32,35,35,42,48,68,47,35,52,21,3,58,58,60,10,1,61,1
100873,Chantelle Anderson,Chantelle,1611661318,SAC,23.0,5,3,2,0.6,51.2,5.4,8.9,0.6,0.0,0.0,0.0,1.8,3.6,0.5,0.0,5.4,5.4,0.0,7.1,0.0,3.6,0.0,12.5,0.0,12.5,-16.1,22.5,0,0,25.0,25,18,18,16,72,49,76,8,41,53,41,49,39,49,65,41,62,69,9,63,9,52,7,3,55,68,69,10,1,65,1
100371,Charlotte Smith,Charlotte,1611661314,CHA,30.0,2,0,2,0.0,57.0,9.1,9.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,9.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,42.7,0,0,36.4,66,70,18,70,36,15,75,1,41,53,41,58,58,58,3,77,35,6,71,63,44,52,81,3,38,32,30,10,1,45,1
100433,Chasity Melvin,Chasity,1611661322,WAS,28.0,3,1,2,0.333,53.7,6.2,15.9,0.387,0.0,0.5,0.0,13.3,17.4,0.765,1.5,5.1,6.7,2.6,4.1,1.0,2.1,2.6,5.1,0.0,25.6,-3.1,42.6,0,0,41.0,40,42,18,45,60,44,42,47,41,51,41,1,1,30,43,47,51,55,30,52,20,7,43,3,11,45,31,10,1,31,1
100843,Cheryl Ford,Cheryl,1611661321,DET,23.0,8,6,2,0.75,54.5,5.6,17.3,0.324,0.0,0.0,0.0,4.4,5.4,0.826,5.8,12.9,18.7,0.9,2.3,2.6,1.4,1.2,7.0,0.0,15.7,2.6,49.1,3,0,43.2,6,1,18,7,56,47,32,63,41,53,41,29,31,23,10,2,2,68,59,24,24,32,23,3,46,23,16,1,1,26,1
100372,Dawn Staley,Dawn,1611661314,CHA,34.0,2,0,2,0.0,61.4,6.3,17.7,0.353,4.2,8.3,0.5,2.1,5.2,0.4,1.0,4.2,5.2,7.3,4.2,4.2,0.0,0.0,6.3,0.0,18.8,-2.1,44.3,0,0,43.8,66,70,18,70,13,42,29,52,5,8,6,45,33,57,51,59,63,15,26,6,44,52,31,3,34,43,28,10,1,22,1
100396,DeLisha Milton-Jones,DeLisha,1611661320,LAS,29.0,9,5,4,0.556,56.6,7.8,17.7,0.443,1.7,3.0,0.556,4.5,5.8,0.771,3.3,6.2,9.5,4.2,3.3,2.8,2.2,1.5,6.7,0.0,21.8,6.8,51.2,1,0,47.2,1,8,1,18,39,28,30,23,21,37,5,28,27,29,26,32,33,37,40,21,17,24,25,3,21,17,15,6,1,12,1
100533,DeMya Walker,DeMya,1611661318,SAC,26.0,6,3,3,0.5,59.7,8.5,19.4,0.436,0.0,0.0,0.0,3.9,7.0,0.55,4.9,4.6,9.5,3.5,7.4,0.4,1.1,3.9,6.0,0.0,20.8,-5.6,34.3,0,0,36.6,15,18,6,23,20,20,21,27,41,53,41,32,21,48,15,55,32,46,8,62,28,2,32,3,28,51,53,10,1,44,1
100727,Deanna Jackson,Deanna,1611661325,IND,24.0,3,1,2,0.333,51.7,3.4,16.9,0.2,0.0,1.7,0.0,3.4,5.1,0.667,1.7,8.5,10.2,1.7,0.0,1.7,0.0,2.5,5.9,0.0,10.2,-3.4,30.0,0,0,25.4,40,42,18,45,69,68,35,72,41,46,41,33,34,39,40,15,29,60,71,43,44,8,33,3,63,46,61,10,1,64,1
100639,Deanna Nolan,Deanna,1611661321,DET,24.0,8,6,2,0.75,55.3,9.5,20.6,0.458,4.5,10.1,0.447,3.2,3.4,0.938,0.9,5.4,6.2,4.5,2.8,2.2,0.4,0.6,4.5,0.0,26.7,1.3,45.9,0,0,47.1,6,1,18,7,50,12,15,20,3,4,9,36,41,11,54,40,55,33,55,33,41,43,55,3,9,28,24,10,1,13,1
100359,Debbie Black,Debbie,1611661323,CON,37.0,4,2,2,0.5,67.4,9.3,23.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,4.7,4.7,0.0,4.7,0.0,0.0,4.7,0.0,18.6,-48.8,45.1,0,0,37.2,28,29,18,23,3,14,11,35,41,53,41,58,58,58,34,72,68,32,71,3,44,52,54,3,37,80,26,10,1,42,1
100384,Dominique Canty,Dominique,1611661316,HOU,27.0,3,1,2,0.333,57.8,3.5,10.6,0.333,0.0,0.0,0.0,5.9,9.4,0.625,8.2,4.7,12.9,5.9,3.5,1.2,0.0,1.2,8.2,0.0,12.9,1.2,37.3,0,0,34.1,40,42,18,45,31,64,66,55,41,53,41,21,10,45,4,53,13,23,39,49,44,31,18,3,53,29,46,10,1,51,1
100375,Edna Campbell,Edna,1611661318,SAC,35.0,6,3,3,0.5,56.8,6.6,13.9,0.472,1.5,6.2,0.25,0.8,0.8,1.0,0.4,1.2,1.5,4.2,3.1,0.4,0.0,0.0,4.2,0.0,15.4,-10.0,21.7,0,0,23.6,15,18,6,23,38,40,47,19,26,18,25,57,57,1,64,76,78,35,51,60,44,52,60,3,47,62,72,10,1,71,1
100414,Elaine Powell,Elaine,1611661321,DET,28.0,8,6,2,0.75,53.7,3.9,11.3,0.348,0.5,2.5,0.2,1.7,2.7,0.636,1.5,5.9,7.4,9.3,3.2,1.7,1.0,0.0,4.2,0.0,10.1,7.1,37.8,0,0,32.7,6,1,18,7,61,59,58,54,38,42,33,50,48,44,44,37,48,5,49,42,30,52,61,3,64,15,44,10,1,53,1
