PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
100231,Adia Barnes,Adia,1611661328,SEA,26.0,26,15,11,0.577,57.3,4.3,12.9,0.333,0.1,0.5,0.25,1.7,3.4,0.517,5.2,6.6,11.9,3.3,2.9,3.7,1.0,1.9,7.5,0.0,10.5,3.5,41.1,0,0,35.3,122,74,122,53,78,160,135,167,129,140,102,159,143,171,24,59,39,97,173,13,69,29,50,23,175,60,68,43,1,110,1
100526,Adrian Williams-Strong,Adrian,1611661317,PHO,26.0,32,11,21,0.344,56.7,5.1,10.9,0.467,0.0,0.0,0.0,2.7,3.9,0.7,4.1,10.1,14.2,2.3,4.1,3.1,1.9,1.0,5.7,0.0,12.9,-7.1,44.2,5,0,39.3,1,104,13,154,102,134,170,36,133,169,133,129,127,123,46,9,14,148,93,33,38,106,100,23,152,156,42,9,1,65,1
100718,Adriana Moises Pinto,Adriana,1611661317,PHO,24.0,32,11,21,0.344,54.8,5.6,14.6,0.384,1.7,5.9,0.288,4.3,5.3,0.8,1.3,4.0,5.3,7.0,6.4,2.7,0.3,1.2,4.7,0.0,17.2,-9.9,36.5,0,0,37.1,1,104,13,154,149,112,108,122,60,54,87,65,84,55,158,140,159,21,11,50,146,82,133,23,91,172,111,43,1,80,1
100363,Adrienne Goodson,Adrienne,1611661319,UTA,36.0,32,20,12,0.625,52.9,9.1,20.2,0.451,0.4,1.3,0.286,5.6,7.6,0.745,4.4,4.3,8.7,3.2,4.9,2.2,0.3,1.7,4.4,0.0,24.2,4.6,42.0,1,0,41.5,1,16,111,39,175,21,30,51,108,119,89,27,33,93,37,128,92,100,51,88,143,38,153,23,28,49,61,29,1,51,1
100100,Adrienne Johnson,Adrienne,1611661323,ORL,29.0,32,16,16,0.5,55.7,6.3,16.8,0.376,1.7,5.7,0.295,1.1,1.6,0.706,1.3,3.0,4.3,2.0,2.4,1.4,0.2,0.6,3.7,0.0,15.4,2.5,25.9,0,0,26.5,1,50,45,96,130,95,75,133,61,57,84,177,181,121,161,176,175,157,189,146,156,144,179,23,111,69,186,43,1,179,1
100216,Alicia Thompson,Alicia,1611661325,IND,26.0,18,8,10,0.444,55.4,6.9,19.3,0.358,1.2,5.1,0.241,2.1,3.0,0.706,2.1,5.3,7.4,2.5,3.2,1.2,0.4,0.2,3.5,0.0,17.2,2.7,31.4,0,0,31.5,153,147,129,142,138,78,37,149,72,62,110,148,154,121,132,97,113,134,153,157,131,188,182,23,92,66,154,43,1,149,1
100429,Alisa Burras,Alisa,1611661327,POR,28.0,32,16,16,0.5,56.9,10.5,16.8,0.629,0.0,0.0,0.0,4.0,4.7,0.846,4.7,8.6,13.2,0.6,4.4,0.9,0.6,1.5,5.2,0.0,25.0,-0.5,42.1,2,0,42.0,1,50,45,96,96,7,76,2,133,169,133,79,104,28,35,22,22,189,72,181,98,52,118,23,22,96,60,21,1,45,1
100170,Allison Feaster,Allison,1611661314,CHA,27.0,32,18,14,0.563,58.9,7.1,18.0,0.394,4.9,11.6,0.418,4.3,5.2,0.824,2.3,5.0,7.3,3.8,2.5,2.4,0.7,0.6,4.9,0.0,23.4,3.9,44.7,0,0,45.5,1,24,86,58,42,70,58,115,2,4,20,61,87,37,125,109,119,81,187,69,88,149,129,23,31,58,41,43,1,27,1
100642,Amanda Lassiter,Amanda,1611661328,SEA,24.0,30,18,12,0.6,55.9,4.4,13.0,0.336,1.9,6.6,0.282,1.2,1.8,0.684,2.2,4.2,6.4,5.3,4.7,2.7,1.9,0.5,5.7,0.0,11.8,2.8,36.5,0,0,34.6,89,24,111,48,123,158,134,166,56,38,91,175,172,134,126,133,138,48,59,47,37,168,97,23,163,65,110,43,1,120,2
100516,Amber Hall,Amber,1611661327,POR,25.0,20,9,11,0.45,51.7,5.6,12.2,0.458,0.0,0.0,0.0,4.1,7.1,0.571,4.1,9.1,13.2,0.5,6.1,3.6,0.5,0.5,6.1,0.0,15.2,-11.2,37.9,0,0,37.1,146,128,122,141,183,114,150,45,133,169,133,73,38,164,49,15,23,191,18,16,110,160,89,23,115,178,95,43,1,81,1
