PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
201510,A'Quonesia Franklin,A'Quonesia,1611661318,SAC,23.0,34,18,16,0.529,49.7,2.7,9.9,0.271,0.8,3.4,0.25,1.3,2.0,0.643,0.7,5.7,6.4,8.4,3.7,2.3,0.1,0.8,6.2,3.7,7.5,-1.4,31.2,0,0,27.9,1,43,51,90,124,171,166,171,93,81,97,157,155,139,172,87,118,10,107,59,151,107,68,117,177,107,132,52,1,155,1
100526,Adrian Williams-Strong,Adrian,1611661318,SAC,32.0,34,18,16,0.529,50.7,6.4,14.5,0.439,0.0,0.0,0.0,2.6,4.2,0.614,5.0,7.3,12.3,1.5,4.0,1.4,0.6,1.6,5.4,3.7,15.3,-4.4,34.3,0,0,33.1,1,43,51,90,80,79,106,60,129,151,129,115,103,148,22,49,34,161,84,131,94,30,92,116,103,130,105,52,1,110,1
201529,Adrianne Ross,Adrianne,1611661319,SAN,24.0,4,3,1,0.75,43.2,0.0,12.5,0.0,0.0,0.0,0.0,12.5,12.5,1.0,0.0,6.3,6.3,0.0,0.0,0.0,0.0,0.0,12.5,6.3,12.5,-31.3,20.0,0,0,18.8,181,169,183,9,188,182,132,182,129,151,129,1,4,1,183,76,123,182,188,177,163,174,7,50,137,189,180,52,1,181,1
100949,Alana Beard,Alana,1611661322,WAS,27.0,33,10,23,0.303,51.1,8.7,22.2,0.395,2.4,6.7,0.354,5.0,6.8,0.733,0.2,5.3,5.5,5.5,5.0,2.6,0.9,0.6,5.2,6.9,24.9,-7.5,45.1,0,0,45.2,45,120,12,164,60,27,12,96,31,36,49,50,51,96,182,96,146,35,36,38,66,129,104,36,21,149,39,52,1,29,1
201487,Alexis Hornbuckle,Alexis,1611661321,DET,23.0,34,22,12,0.647,50.1,4.2,11.9,0.354,1.1,3.0,0.356,2.8,4.4,0.636,3.6,5.7,9.3,4.8,3.3,5.3,0.7,0.6,6.5,4.3,12.3,8.1,45.2,1,0,39.4,1,7,103,34,110,140,141,133,75,89,47,108,95,141,57,86,81,45,128,1,84,130,59,105,141,16,38,26,1,60,1
201054,Alison Bales,Alison,1611661317,PHO,24.0,31,11,20,0.355,50.4,4.3,10.8,0.4,0.3,0.8,0.375,2.7,3.9,0.7,2.6,9.5,12.1,1.3,1.3,2.0,4.2,0.7,5.4,3.1,11.6,-6.9,45.3,0,0,37.7,83,117,20,152,99,137,155,89,112,129,28,111,107,107,88,15,35,166,183,81,4,123,93,134,145,148,37,52,1,71,2
201516,Allie Quigley,Allie,1611661317,PHO,23.0,14,7,7,0.5,46.4,6.0,18.1,0.333,0.9,5.1,0.182,0.5,0.9,0.5,2.8,2.3,5.1,1.9,2.8,2.8,0.5,1.9,4.2,0.9,13.5,-6.0,29.4,0,0,27.9,158,143,153,103,179,88,45,146,88,63,115,173,174,170,80,178,153,146,154,31,106,18,140,183,126,142,146,52,1,154,1
100170,Allison Feaster,Allison,1611661325,IND,33.0,33,16,17,0.485,50.9,5.1,15.1,0.337,3.9,12.7,0.307,0.3,0.3,1.0,1.5,2.4,3.9,4.4,2.4,0.8,0.5,0.0,3.9,0.3,14.4,-6.3,27.4,0,0,29.3,45,63,36,112,70,117,90,145,8,3,80,176,178,1,133,177,177,55,164,166,100,174,152,185,118,144,155,52,1,138,1
201483,Amber Holt,Amber,1611661323,CON,24.0,34,21,13,0.618,51.0,5.8,14.2,0.407,1.8,5.4,0.329,2.5,3.2,0.778,2.6,4.9,7.5,4.6,2.2,1.1,0.4,0.6,4.8,4.6,15.9,3.9,33.9,0,0,32.7,1,16,85,50,65,96,112,81,51,56,65,119,125,68,87,109,95,49,170,153,117,132,118,96,95,48,111,52,1,115,1
100935,Amber Jacobs,Amber,1611661320,LAS,27.0,11,4,7,0.364,50.5,2.1,8.1,0.261,1.8,5.3,0.333,1.1,1.4,0.75,0.7,2.5,3.2,6.0,5.7,1.1,0.0,1.8,4.9,3.2,7.1,-0.7,17.4,0,0,20.1,163,158,153,150,90,176,178,174,55,58,58,164,168,81,173,174,182,29,24,155,163,22,114,133,178,102,181,52,1,179,2
