PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
202278,Abi Olajuwon,Abi,1611661321,TUL,23.0,16,2,14,0.125,51.3,3.6,13.4,0.269,0.0,0.0,0.0,1.0,1.0,1.0,1.5,4.6,6.2,1.0,2.6,0.0,1.0,2.6,4.6,1.0,8.2,-9.8,17.7,0,0,17.5,121,130,54,129,61,130,93,133,102,123,102,128,135,1,87,92,92,132,117,137,52,4,84,138,134,115,138,45,1,139,1
202652,Alex Montgomery,Alex,1611661313,NYL,23.0,30,18,12,0.6,50.8,5.3,15.9,0.329,1.5,3.4,0.444,2.1,3.2,0.647,2.8,7.3,10.1,3.9,3.6,1.9,1.3,2.1,6.2,3.6,14.1,0.2,38.1,0,0,36.0,90,51,93,47,77,94,59,128,55,76,6,97,93,113,52,40,51,55,70,70,42,12,35,82,98,64,71,45,1,73,1
202280,Alexis Gray-Lawson,Alexis,1611661317,PHO,25.0,27,16,11,0.593,47.9,5.1,12.9,0.398,2.3,6.7,0.349,3.6,4.3,0.821,0.8,2.3,3.1,5.4,3.3,0.9,0.0,0.6,4.7,4.7,16.1,0.0,27.6,0,0,28.9,105,69,102,50,128,97,97,86,34,32,50,53,65,50,122,139,138,31,87,127,130,96,82,56,76,65,125,45,1,120,1
201487,Alexis Hornbuckle,Alexis,1611661324,MIN,26.0,29,23,6,0.793,48.6,2.8,7.5,0.375,1.2,4.0,0.294,0.5,0.9,0.5,1.4,6.3,7.7,3.7,4.9,2.3,0.7,0.5,7.0,3.5,7.3,-6.8,26.4,0,0,26.0,94,8,123,8,110,135,139,104,68,67,69,136,136,128,94,60,73,64,22,37,73,112,22,85,136,106,127,45,1,128,1
201054,Alison Bales,Alison,1611661330,ATL,27.0,34,20,14,0.588,48.4,4.9,10.2,0.486,0.4,1.2,0.353,1.7,2.3,0.75,2.5,8.8,11.3,3.0,1.1,1.1,3.7,0.5,3.9,2.5,12.0,3.4,43.2,1,0,36.2,1,29,54,51,116,102,126,25,89,91,44,108,113,73,61,13,35,82,139,121,2,107,103,116,117,47,48,27,1,70,1
201516,Allie Quigley,Allie,1611661328,SEA,26.0,7,4,3,0.571,49.3,3.4,17.2,0.2,0.0,3.4,0.0,6.9,6.9,1.0,3.4,10.3,13.8,3.4,3.4,3.4,3.4,0.0,3.4,3.4,13.8,-20.7,52.8,0,0,44.8,133,120,133,62,102,131,48,136,102,73,102,6,23,1,38,8,12,69,73,9,3,135,119,89,103,135,9,45,1,25,1
202255,Allison Hightower,Allison,1611661323,CON,24.0,25,13,12,0.52,48.3,4.0,11.7,0.339,0.8,3.8,0.222,1.9,2.5,0.75,0.8,2.5,3.3,2.7,1.5,2.3,0.2,1.0,4.6,2.3,10.7,5.6,24.8,0,0,22.6,110,91,93,83,119,126,109,123,81,71,87,102,109,73,119,136,136,89,135,39,118,58,86,122,125,28,132,45,1,135,1
202644,Amber Harris,Amber,1611661324,MIN,24.0,27,21,6,0.778,49.0,5.8,14.6,0.398,0.0,0.0,0.0,4.0,5.5,0.742,4.2,6.3,10.6,1.9,2.3,0.5,1.9,0.9,5.8,4.9,15.7,1.4,36.4,0,0,33.1,105,10,123,9,105,82,80,86,102,123,102,48,43,81,24,59,44,114,123,136,26,72,43,51,83,59,80,45,1,97,1
201483,Amber Holt,Amber,1611661321,TUL,27.0,26,2,24,0.077,52.2,4.8,15.9,0.302,1.2,5.5,0.214,3.0,3.3,0.905,2.2,4.1,6.3,4.9,2.7,1.4,0.2,0.8,4.5,4.4,13.7,-15.7,30.8,0,0,29.4,108,130,14,137,24,106,63,131,67,44,89,72,91,15,68,104,89,40,112,101,117,80,90,62,104,127,109,45,1,116,1
202315,Andrea Riley,Andrea,1611661321,TUL,23.0,33,3,30,0.091,51.5,5.3,16.8,0.314,2.0,9.2,0.214,3.9,4.5,0.855,0.4,2.7,3.1,4.8,5.5,2.6,0.2,1.2,6.3,3.5,16.4,-19.1,30.4,0,0,32.0,51,123,4,131,49,92,51,130,39,10,89,50,60,34,135,134,137,41,12,26,116,47,32,88,74,133,112,45,1,100,1
201881,Angel McCoughtry,Angel,1611661330,ATL,25.0,33,20,13,0.606,47.6,12.2,28.7,0.424,1.0,3.7,0.264,11.5,14.8,0.777,2.7,6.2,8.9,4.3,5.4,3.7,1.7,2.3,5.1,11.0,36.8,5.4,64.9,2,0,61.9,51,29,66,41,133,1,1,71,74,72,81,1,1,64,54,63,61,47,15,5,31,8,67,2,1,29,1,17,1,1,1
202637,Angie Bjorklund,Angie,1611661329,CHI,22.0,7,5,2,0.714,44.8,2.1,11.3,0.182,1.0,5.2,0.2,3.1,3.1,1.0,0.0,2.1,2.1,2.1,2.1,1.0,0.0,0.0,8.2,2.1,8.2,0.0,14.8,0,0,15.5,133,115,139,14,140,136,117,138,71,50,93,67,97,1,138,140,142,112,127,122,130,135,8,125,134,65,140,45,1,140,1
201048,Armintie Herrington,Armintie,1611661330,ATL,27.0,34,20,14,0.588,48.4,6.6,12.6,0.519,0.0,0.1,0.0,4.4,7.3,0.608,3.1,3.0,6.1,5.8,3.0,3.2,0.1,1.5,3.7,6.3,17.6,7.4,40.6,1,0,36.1,1,29,54,51,115,63,102,11,102,117,102,37,15,118,47,127,95,22,95,13,125,34,112,21,63,19,60,27,1,71,1
100942,Ashley Robinson,Ashley,1611661328,SEA,29.0,34,21,13,0.618,53.2,5.4,11.1,0.484,0.0,0.1,0.0,1.0,2.0,0.5,3.7,8.3,12.1,2.2,4.0,2.0,3.0,0.4,8.3,2.4,11.8,0.5,40.6,1,0,36.1,1,10,66,26,9,91,118,29,102,118,102,130,122,128,33,23,22,108,52,57,6,120,7,121,119,63,59,27,1,72,1
100723,Asjha Jones,Asjha,1611661323,CON,31.0,34,21,13,0.618,50.9,10.4,23.4,0.444,0.2,0.5,0.3,2.8,4.0,0.711,3.4,8.0,11.4,3.4,3.4,1.1,0.8,0.8,5.4,3.9,23.8,7.0,44.9,7,0,42.5,1,10,66,26,71,8,5,52,94,99,68,80,74,93,41,29,33,70,84,119,64,76,57,75,26,21,36,7,1,39,1
100342,Becky Hammon,Becky,1611661319,SAN,35.0,33,17,16,0.515,50.8,8.5,19.4,0.44,3.6,9.3,0.389,4.8,5.4,0.892,0.2,4.4,4.6,9.3,5.8,2.4,0.3,1.0,2.5,6.2,25.5,6.2,47.4,2,0,48.5,51,62,37,85,74,31,33,53,8,8,33,30,46,19,137,97,120,3,10,36,105,67,134,24,16,26,27,17,1,13,1
100696,Belinda Snell,Belinda,1611661328,SEA,31.0,21,13,8,0.619,51.2,4.2,10.7,0.393,3.1,8.0,0.381,4.2,5.0,0.846,1.1,4.6,5.7,2.7,3.4,1.1,0.8,0.8,6.9,3.4,15.6,-13.0,28.8,0,0,30.9,116,91,113,25,63,121,123,93,17,18,38,44,54,36,104,93,100,93,74,118,70,83,25,90,84,121,123,45,1,108,1
100484,Betty Lennox,Betty,1611661321,TUL,35.0,9,0,9,0.0,50.2,3.6,20.9,0.174,3.6,15.5,0.235,4.5,5.5,0.833,1.8,5.5,7.3,4.5,5.5,1.8,0.0,2.7,6.4,2.7,15.5,-37.3,31.0,0,0,34.5,132,140,110,140,89,129,16,139,7,2,84,34,44,41,79,75,78,42,14,74,130,3,30,114,85,141,106,45,1,84,1
201896,Briann January,Briann,1611661325,IND,25.0,10,7,3,0.7,52.4,4.6,12.8,0.357,1.3,4.0,0.318,5.3,6.4,0.829,0.9,1.6,2.6,9.2,6.0,2.7,0.0,1.1,6.0,5.9,15.8,8.4,34.8,1,0,34.2,130,107,133,15,18,114,98,114,64,64,63,22,28,48,115,141,141,4,6,20,130,55,37,28,82,12,91,27,1,90,1
201067,Camille Smith,Camille,1611661328,SEA,27.0,33,21,12,0.636,53.5,7.8,16.8,0.464,0.3,1.3,0.227,3.3,5.0,0.663,2.8,7.5,10.3,3.3,4.5,2.7,1.3,1.9,6.6,6.0,19.2,7.1,44.0,0,0,41.1,51,10,93,20,8,39,52,38,90,90,85,63,53,110,53,35,47,72,31,22,41,16,28,26,48,20,44,45,1,45,1
201496,Candace Parker,Candace,1611661320,LAS,26.0,17,8,9,0.471,52.8,11.0,21.6,0.511,1.7,4.1,0.419,6.1,8.3,0.736,2.0,11.9,13.9,4.5,3.1,2.0,2.6,0.5,3.2,7.5,29.9,-0.8,63.8,6,0,59.1,120,102,110,89,12,6,14,16,47,63,18,13,8,83,74,2,11,44,90,59,16,108,122,10,5,72,2,9,1,2,1
200676,Candice Dupree,Candice,1611661317,PHO,27.0,34,19,15,0.559,48.5,8.9,16.3,0.548,0.0,0.3,0.167,4.4,5.2,0.852,3.9,8.7,12.6,2.8,3.0,0.9,1.1,1.0,3.3,4.2,22.4,5.9,44.5,10,0,41.7,1,40,44,66,112,24,56,4,101,109,95,38,49,35,31,16,20,88,94,131,49,63,121,68,33,27,37,4,1,41,1
201499,Candice Wiggins,Candice,1611661324,MIN,25.0,34,27,7,0.794,50.4,5.9,15.3,0.386,4.2,10.7,0.395,1.3,2.1,0.625,0.5,4.9,5.5,4.3,2.6,1.6,0.6,0.3,5.1,3.4,17.3,7.4,34.3,0,0,35.7,1,1,116,2,84,80,71,99,2,5,27,120,118,115,133,88,103,48,116,88,84,127,68,93,66,18,93,45,1,76,1
200665,Cappie Pondexter,Cappie,1611661313,NYL,29.0,34,19,15,0.559,51.8,9.5,23.7,0.402,2.6,7.6,0.345,4.9,6.0,0.813,1.0,5.3,6.3,7.2,4.2,1.9,0.4,0.8,3.1,5.3,26.6,3.3,47.8,2,0,47.4,1,40,44,66,39,17,3,82,25,24,52,27,32,52,112,85,90,15,45,65,96,78,125,42,12,48,24,17,1,18,1
202670,Carolyn Swords,Carolyn,1611661329,CHI,22.0,29,11,18,0.379,50.1,6.4,12.2,0.528,0.0,0.0,0.0,4.8,5.5,0.875,3.9,7.8,11.7,2.1,3.7,1.1,1.6,1.4,6.0,4.6,17.7,-8.5,39.4,0,0,36.9,94,96,33,111,91,66,108,8,102,123,102,28,42,25,30,31,27,111,61,117,33,39,38,58,60,111,65,45,1,64,1
101049,Cathrine Kraayeveld,Cathrine,1611661329,CHI,30.0,33,14,19,0.424,50.0,4.8,12.3,0.395,3.8,9.3,0.409,0.8,1.1,0.733,1.8,4.6,6.3,3.0,2.8,1.5,0.6,0.2,2.9,1.4,14.3,4.0,30.0,0,0,31.7,51,79,24,97,93,104,107,91,5,9,21,134,134,86,81,95,87,81,103,92,85,131,127,136,94,43,115,45,1,104,1
201501,Charde Houston,Charde,1611661324,MIN,26.0,27,21,6,0.778,47.8,7.0,19.3,0.365,1.4,5.2,0.261,2.0,2.7,0.75,2.3,8.4,10.7,3.2,4.8,2.0,0.5,0.7,7.7,3.2,17.5,-4.5,37.8,0,0,37.7,105,10,123,9,131,49,35,111,59,48,82,98,107,73,66,22,42,73,24,56,95,88,14,99,64,97,72,45,1,62,1
202665,Chastity Reed,Chastity,1611661321,TUL,23.0,11,1,10,0.091,48.9,5.7,15.5,0.37,0.0,0.3,0.0,1.4,2.0,0.667,0.7,6.4,7.1,2.7,4.1,1.0,0.3,0.7,8.8,2.0,12.8,-25.0,25.4,0,0,25.3,129,135,104,131,108,84,67,108,102,105,102,118,120,106,126,56,79,90,49,123,106,89,5,126,113,138,131,45,1,129,1
100690,Coco Miller,Coco,1611661330,ATL,33.0,31,17,14,0.548,48.2,8.6,19.9,0.432,1.3,4.0,0.333,1.8,3.3,0.541,2.0,3.3,5.3,3.8,2.8,1.6,0.1,1.1,5.7,2.8,20.3,-7.1,34.7,0,0,34.2,79,62,54,72,121,29,24,63,60,65,57,105,90,124,76,120,106,61,105,81,127,56,46,113,43,108,92,45,1,91,1
