PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
203876,Aaryn Ellenberg,Aaryn,1611661329,CHI,22.0,2,2,0,1.0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0.0,150,143,154,1,152,152,154,152,97,118,97,146,146,146,143,152,152,149,150,150,136,143,153,151,152,154,154,51,2,154,1
100949,Alana Beard,Alana,1611661320,LAS,33.0,33,15,18,0.455,50.6,6.6,14.2,0.463,0.4,1.6,0.286,1.9,2.6,0.745,1.1,3.7,4.8,4.7,3.3,2.1,0.8,0.4,4.8,3.6,15.6,-1.8,33.7,0,0,31.2,53,51,36,87,97,71,89,39,79,89,62,112,120,89,113,119,122,42,75,60,62,122,82,88,89,71,102,51,2,106,1
203410,Alex Bentley,Alex,1611661323,CON,24.0,34,13,21,0.382,51.3,10.2,23.6,0.433,1.8,5.6,0.323,2.2,2.9,0.755,0.4,3.0,3.4,7.4,4.0,2.6,0.2,0.3,5.4,3.1,24.5,-0.5,44.0,0,0,42.6,1,75,10,114,70,13,9,67,38,39,47,105,108,81,139,134,142,12,48,32,126,134,62,117,18,54,41,51,2,33,1
202652,Alex Montgomery,Alex,1611661313,NYL,26.0,34,15,19,0.441,52.0,4.9,11.9,0.409,2.0,4.5,0.431,0.8,1.1,0.688,2.4,6.8,9.3,2.4,2.7,1.7,0.4,0.8,6.1,1.9,12.5,-6.4,30.8,0,0,30.3,1,51,21,94,42,118,122,82,34,55,7,143,143,115,62,57,56,104,104,85,98,91,43,143,117,117,119,51,2,113,1
201516,Allie Quigley,Allie,1611661329,CHI,29.0,34,15,19,0.441,50.5,8.6,19.4,0.444,2.5,6.3,0.387,3.1,3.5,0.879,0.8,3.6,4.4,3.9,3.7,1.4,0.4,0.6,3.4,3.3,22.8,-2.3,35.6,0,0,37.1,1,51,21,94,104,28,26,56,23,33,14,66,88,25,125,124,126,61,58,107,97,104,128,108,26,74,89,51,2,65,1
202255,Allison Hightower,Allison,1611661323,CON,27.0,14,4,10,0.286,51.5,6.3,16.0,0.394,0.9,4.2,0.222,3.1,3.4,0.909,1.5,3.2,4.8,3.1,2.0,2.8,0.6,0.6,5.2,3.5,16.6,-3.5,35.1,0,0,32.2,132,137,100,146,61,78,66,97,68,62,83,65,92,17,90,129,121,84,127,24,79,102,65,94,77,89,93,51,2,103,1
202252,Alysha Clark,Alysha,1611661328,SEA,27.0,34,12,22,0.353,55.1,5.5,12.3,0.448,1.4,5.6,0.246,1.6,2.3,0.696,2.6,4.6,7.2,2.0,2.4,1.6,1.0,0.4,6.3,3.6,13.9,-6.5,30.8,0,0,29.5,1,83,1,130,2,96,117,53,52,40,79,126,126,110,59,98,82,121,115,94,52,125,39,86,100,122,118,51,2,117,1
203826,Alyssa Thomas,Alyssa,1611661323,CON,23.0,34,13,21,0.382,51.5,7.0,16.1,0.434,0.1,0.3,0.2,4.8,6.4,0.757,3.5,6.2,9.7,2.8,3.2,1.9,0.4,1.1,3.9,5.9,18.9,-1.3,38.5,1,0,36.1,1,75,10,114,62,60,64,65,94,103,86,25,25,79,40,64,52,90,78,67,101,59,109,25,55,64,68,29,2,77,1
202269,Amanda Thompson,Amanda,1611661330,ATL,27.0,21,8,13,0.381,49.6,3.7,10.3,0.361,0.0,0.0,0.0,2.8,3.4,0.833,5.7,7.1,12.8,2.8,3.4,1.4,2.8,0.6,7.1,3.4,10.3,-11.4,39.3,0,0,34.5,113,122,87,117,125,135,138,118,97,118,97,76,91,43,6,50,27,89,70,102,11,109,27,101,133,141,63,51,2,86,1
202623,Aneika Morello,Aneika,1611661330,ATL,29.0,34,19,15,0.559,48.7,7.2,12.3,0.582,0.0,0.0,0.0,2.8,4.1,0.676,5.3,7.6,12.9,1.0,3.6,0.8,2.6,1.0,6.6,4.3,17.1,-6.9,40.5,2,0,37.7,1,17,75,35,143,54,116,6,97,118,97,80,67,116,11,38,26,139,61,139,14,67,31,70,69,124,56,22,2,59,1
