PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1628932,A'ja Wilson,A'ja,1611661319,LVA,27.0,9,8,1,0.889,49.6,13.6,24.5,0.554,0.2,0.3,0.5,8.1,9.8,0.831,4.6,12.9,17.5,1.8,3.1,2.2,3.5,2.2,3.0,8.4,35.4,20.4,73.0,6,0,66.2,8,1,63,1,36,4,7,15,50,61,3,6,7,29,11,2,3,59,31,29,5,12,57,4,3,4,1,2,2,2,1
1630462,Aari McDonald,Aari,1611661330,ATL,25.0,2,0,2,0.0,46.6,3.8,14.1,0.273,1.3,5.1,0.25,0.0,0.0,0.0,0.0,2.6,2.6,6.4,6.4,2.6,0.0,2.6,6.4,1.3,9.0,-7.7,22.9,0,0,24.4,47,48,27,48,59,56,45,63,41,41,37,58,62,58,62,66,69,15,4,19,40,9,8,62,61,40,67,13,2,66,1
1627672,Aerial Powers,Aerial,1611661324,MIN,30.0,1,0,1,0.0,45.5,0.0,19.4,0.0,0.0,6.5,0.0,12.9,12.9,1.0,3.2,6.5,9.7,0.0,9.7,3.2,0.0,0.0,3.2,6.5,12.9,-22.6,24.5,0,0,29.0,74,48,63,48,68,72,22,72,51,30,51,2,4,1,20,28,24,66,1,11,40,53,53,8,49,62,65,13,2,54,1
1628268,Alaina Coates,Alaina,1611661319,LVA,29.0,6,5,1,0.833,45.5,4.2,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,12.5,20.8,0.0,4.2,4.2,0.0,0.0,4.2,0.0,8.3,4.2,41.7,0,0,37.5,24,17,63,10,67,51,73,1,51,62,51,58,62,58,1,3,1,66,20,5,40,53,34,68,64,22,32,13,2,35,1
1629501,Alanna Smith,Alanna,1611661329,CHI,27.0,2,0,2,0.0,49.3,4.1,13.7,0.3,0.0,5.5,0.0,2.7,2.7,1.0,2.7,9.6,12.3,1.4,4.1,0.0,2.7,0.0,6.8,1.4,11.0,-42.5,31.9,0,0,30.1,47,48,27,48,41,53,48,59,51,38,51,32,41,1,25,12,10,63,22,64,9,53,6,60,55,75,53,13,2,52,1
1628277,Allisha Gray,Allisha,1611661330,ATL,29.0,2,0,2,0.0,45.0,8.7,20.5,0.424,3.1,8.1,0.385,4.3,6.2,0.7,0.6,8.1,8.7,5.0,4.3,1.9,0.6,1.9,2.5,5.0,24.8,-27.3,45.8,0,0,46.6,47,48,27,48,71,17,15,33,14,18,19,15,17,42,54,21,29,25,15,37,32,18,62,17,15,67,22,13,2,16,1
202252,Alysha Clark,Alysha,1611661319,LVA,36.0,9,8,1,0.889,49.9,6.2,11.7,0.529,1.6,5.1,0.318,3.0,3.2,0.929,2.8,6.4,9.2,2.8,2.1,0.7,0.2,0.9,5.7,3.2,17.0,5.3,32.9,0,0,32.4,8,1,63,1,33,41,56,17,32,44,33,30,35,21,24,29,27,46,52,60,38,38,15,33,36,19,49,13,2,45,1
203826,Alyssa Thomas,Alyssa,1611661323,CON,32.0,7,3,4,0.429,52.3,10.6,21.2,0.5,0.0,0.4,0.0,3.3,5.2,0.63,2.7,8.1,10.8,13.8,3.7,2.3,0.4,2.1,3.7,6.0,24.4,3.7,62.5,4,1,54.4,17,19,1,23,10,10,12,20,51,60,51,25,21,46,26,20,18,1,26,25,36,14,43,10,18,23,3,4,1,8,1
1628878,Ariel Atkins,Ariel,1611661322,WAS,27.0,2,0,2,0.0,51.7,7.7,22.3,0.345,2.3,9.2,0.25,3.1,3.1,1.0,4.6,3.8,8.5,4.6,2.3,3.1,2.3,0.8,6.2,3.1,20.8,-11.5,51.7,0,0,46.9,47,48,27,48,19,28,9,52,23,12,37,27,37,1,12,53,33,29,47,12,13,43,12,35,27,46,13,13,2,14,1
1629481,Arike Ogunbowale,Arike,1611661321,DAL,27.0,5,2,3,0.4,47.8,9.6,24.8,0.388,3.3,9.4,0.351,2.3,3.5,0.643,2.0,4.1,6.1,6.6,1.8,2.0,0.0,1.0,3.8,3.3,24.8,1.8,46.3,0,0,44.8,27,27,15,29,51,12,6,46,13,11,25,35,33,45,35,52,50,14,57,33,40,32,39,32,16,27,20,13,2,21,1
