PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
100100,Adrienne Johnson,Adrienne,1611661315,CLE,24.0,25,13,12,0.52,53.9,6.1,16.1,0.379,0.6,1.1,0.5,1.9,2.5,0.778,2.2,3.9,6.1,2.5,7.5,1.4,0.3,0.6,3.0,0.0,14.7,8.0,23.2,0,0,27.1,58,48,38,51,15,42,39,60,39,58,7,70,77,17,55,75,70,65,8,78,65,71,83,15,50,13,84,22,1,73,1
100065,Andrea Congreaves,Andrea,1611661314,CHA,28.0,28,15,13,0.536,54.9,5.2,10.5,0.5,1.5,3.7,0.409,3.6,4.7,0.768,3.3,7.7,11.0,3.4,2.6,1.3,0.4,0.6,4.3,0.0,15.5,4.2,36.6,1,0,35.0,1,23,24,39,7,54,77,9,22,29,15,34,46,25,32,16,25,50,89,81,56,67,57,15,45,29,48,16,1,49,1
100059,Andrea Stinson,Andrea,1611661314,CHA,30.0,28,15,13,0.536,54.4,9.5,21.3,0.447,1.3,4.1,0.325,3.2,4.8,0.674,2.6,5.8,8.3,6.7,5.3,2.3,1.1,0.6,3.0,0.0,23.6,2.9,48.6,2,0,46.9,1,23,24,39,10,8,8,29,23,26,28,42,43,49,47,36,42,10,30,48,27,65,86,15,12,40,11,9,1,7,1
100094,Anita Maxwell,Anita,1611661315,CLE,24.0,9,4,5,0.444,47.6,6.2,19.2,0.32,0.0,0.0,0.0,2.3,6.2,0.375,1.5,7.7,9.2,6.2,4.6,3.1,0.0,3.1,3.8,0.0,14.6,-3.8,39.5,0,0,36.2,81,79,78,66,94,41,19,80,67,84,67,63,24,84,66,18,33,15,48,25,83,1,66,15,51,62,40,22,1,46,1
100031,Bridget Pettis,Bridget,1611661317,PHO,27.0,28,16,12,0.571,52.2,6.7,19.8,0.335,2.5,8.2,0.305,6.1,6.8,0.898,2.3,4.4,6.7,4.8,5.2,3.0,0.7,1.6,3.6,0.0,21.9,5.7,43.1,0,0,43.3,1,15,38,32,53,38,15,75,10,5,32,8,16,4,53,62,60,25,32,31,39,8,74,15,17,20,26,22,1,18,1
100017,Bridgette Gordon,Bridgette,1611661318,SAC,31.0,28,10,18,0.357,52.4,7.1,16.5,0.432,0.5,2.1,0.263,4.6,5.8,0.783,3.6,3.7,7.3,4.1,4.4,2.1,0.4,0.4,3.0,0.0,19.4,-9.8,37.5,0,0,36.4,1,53,9,75,48,32,34,36,40,46,43,18,28,16,26,80,50,34,54,57,52,74,84,15,29,78,46,22,1,43,1
100110,Cassandra Crumpton-Moorer,Cassandra,1611661313,NYL,35.0,2,1,1,0.5,55.2,5.0,20.0,0.25,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,24.5,0,0,25.0,94,88,91,53,5,56,14,87,67,22,67,86,87,86,9,45,30,21,39,93,83,86,94,15,76,1,82,22,1,79,1
100079,Catarina Pollini,Catarina,1611661316,HOU,32.0,13,9,4,0.692,49.6,4.2,11.6,0.364,0.0,0.0,0.0,3.2,6.3,0.5,1.6,4.8,6.3,2.6,4.2,1.6,0.5,1.1,11.1,0.5,11.6,10.1,25.3,0,0,24.9,74,60,83,4,88,70,71,66,67,84,67,46,22,73,65,54,66,63,59,71,49,32,5,1,67,7,75,22,1,80,1
100022,Chantel Tremitiere,Chantel,1611661318,SAC,28.0,28,10,18,0.357,53.4,3.6,10.1,0.36,0.4,1.9,0.211,3.4,4.6,0.736,1.7,4.8,6.5,6.5,6.1,2.7,0.1,0.6,4.0,0.0,11.1,-9.5,31.1,1,0,30.3,1,53,9,75,26,78,80,67,48,49,52,39,49,34,63,52,63,13,21,36,80,63,64,15,72,77,61,16,1,61,1
100024,Corissa Yasen,Corissa,1611661318,SAC,24.0,19,9,10,0.474,56.4,5.8,13.7,0.42,0.0,0.3,0.0,1.6,3.3,0.5,2.7,2.5,5.2,1.6,4.1,4.4,0.5,1.4,4.7,0.0,13.2,-15.7,32.6,0,0,29.9,70,60,60,65,3,46,56,40,67,78,67,75,65,73,41,90,78,81,63,7,48,13,54,15,58,91,58,22,1,64,1
