PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
202652,Alex Montgomery,Alex,1611661313,NYL,23.0,2,1,1,0.5,55.4,7.1,21.4,0.333,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,7.1,0.0,7.1,0.0,14.3,-78.6,28.6,0,0,28.6,64,39,66,17,2,36,14,64,46,17,46,67,68,67,67,77,79,71,5,68,2,56,16,74,56,82,69,12,1,69,1
202280,Alexis Gray-Lawson,Alexis,1611661317,PHO,25.0,2,0,2,0.0,50.4,3.7,22.2,0.167,3.7,3.7,1.0,3.7,7.4,0.5,7.4,0.0,7.4,3.7,7.4,0.0,0.0,3.7,3.7,3.7,14.8,-18.5,21.9,0,0,29.6,64,70,26,70,38,70,10,79,10,40,1,33,12,53,5,77,47,40,4,68,58,6,58,44,55,69,79,12,1,66,1
201487,Alexis Hornbuckle,Alexis,1611661324,MIN,26.0,4,3,1,0.75,50.0,10.0,16.7,0.6,0.0,3.3,0.0,16.7,16.7,1.0,10.0,6.7,16.7,16.7,3.3,0.0,6.7,0.0,3.3,10.0,36.7,20.0,98.3,0,0,83.3,34,17,66,14,44,14,35,9,46,44,46,1,2,1,2,35,7,2,42,68,3,56,63,6,4,6,2,12,1,2,1
201054,Alison Bales,Alison,1611661330,ATL,27.0,8,4,4,0.5,48.1,3.8,9.8,0.385,1.1,2.6,0.429,0.4,0.8,0.5,3.4,11.7,15.0,2.6,3.8,0.8,2.3,0.4,4.9,1.5,9.0,-4.5,36.3,0,0,33.8,1,10,1,17,68,68,70,50,36,46,20,66,67,53,26,6,9,50,33,63,17,51,40,66,71,47,56,12,1,57,1
201516,Allie Quigley,Allie,1611661328,SEA,26.0,1,1,0,1.0,45.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,-37.5,0.0,0,0,0.0,81,39,81,1,81,80,60,80,46,2,46,67,68,67,67,77,79,71,76,68,58,56,1,74,80,78,82,12,1,82,1
202255,Allison Hightower,Allison,1611661323,CON,24.0,2,0,2,0.0,50.5,6.9,12.1,0.571,3.4,5.2,0.667,3.4,3.4,1.0,0.0,6.9,6.9,1.7,1.7,3.4,0.0,0.0,8.6,3.4,20.7,-3.4,40.2,0,0,39.7,64,70,26,70,35,41,64,12,14,30,6,35,46,1,67,31,52,61,68,12,58,56,6,48,33,44,43,12,1,39,1
202644,Amber Harris,Amber,1611661324,MIN,24.0,6,5,1,0.833,53.2,6.8,16.9,0.4,1.7,1.7,1.0,0.0,0.0,0.0,1.7,10.2,11.9,1.7,0.0,1.7,0.0,0.0,1.7,0.0,15.3,6.8,37.1,0,0,33.9,16,9,66,13,5,43,34,43,29,53,1,67,68,67,47,11,25,62,76,37,58,56,76,74,53,19,54,12,1,56,1
201881,Angel McCoughtry,Angel,1611661330,ATL,25.0,8,4,4,0.5,48.0,12.4,29.3,0.423,1.2,4.1,0.3,12.2,16.3,0.747,2.7,6.4,9.1,2.5,4.5,4.9,1.4,2.5,6.2,12.8,38.1,4.9,67.4,1,0,63.7,1,10,1,17,71,5,3,41,35,35,32,4,3,41,35,37,34,54,20,4,27,9,26,2,2,25,4,5,1,4,1
201048,Armintie Herrington,Armintie,1611661330,ATL,27.0,8,4,4,0.5,48.5,4.4,9.5,0.468,0.0,0.6,0.0,3.2,4.8,0.667,3.8,4.6,8.5,5.6,1.6,2.6,0.4,1.8,4.8,4.2,12.1,2.8,38.2,0,0,32.3,1,10,1,17,66,59,72,27,46,57,46,38,35,45,24,56,39,16,70,21,51,17,43,31,59,29,50,12,1,59,1
100942,Ashley Robinson,Ashley,1611661328,SEA,29.0,3,1,2,0.333,50.3,4.1,10.8,0.375,0.0,0.0,0.0,0.0,2.7,0.0,4.1,8.1,12.2,0.0,2.7,0.0,4.1,0.0,9.5,1.4,8.1,17.6,32.2,0,0,28.4,38,39,26,45,40,63,68,52,46,62,46,67,50,67,21,22,23,71,53,68,6,56,3,68,73,10,62,12,1,70,1
100723,Asjha Jones,Asjha,1611661323,CON,31.0,2,0,2,0.0,49.4,11.5,31.5,0.366,0.0,0.0,0.0,0.8,1.5,0.5,4.6,5.4,10.0,3.8,3.8,2.3,2.3,0.0,3.8,2.3,23.8,-10.8,51.6,0,0,46.9,64,70,26,70,59,7,2,55,46,62,46,62,60,53,13,45,32,36,28,28,16,56,57,57,22,58,12,12,1,15,1
100342,Becky Hammon,Becky,1611661319,SAN,35.0,3,1,2,0.333,51.8,7.0,20.0,0.35,4.5,11.5,0.391,6.0,7.0,0.857,0.0,4.0,4.0,6.5,4.5,2.5,1.0,2.0,4.0,7.5,24.5,0.0,45.1,0,0,46.5,38,39,26,45,18,39,19,60,5,3,24,12,15,24,67,63,71,11,21,23,37,15,52,12,19,33,30,12,1,17,1
100696,Belinda Snell,Belinda,1611661328,SEA,31.0,2,1,1,0.5,47.7,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,7.7,0.0,0.0,-30.8,-7.7,0,0,0.0,64,39,66,17,74,80,76,80,46,62,46,67,68,67,67,77,79,71,3,68,58,56,10,74,80,75,84,12,1,82,1
201067,Camille Smith,Camille,1611661328,SEA,27.0,3,1,2,0.333,48.9,7.6,16.7,0.458,0.0,0.7,0.0,11.1,13.2,0.842,2.8,9.7,12.5,4.9,6.9,1.4,0.0,0.7,9.0,11.1,26.4,8.3,45.9,1,0,46.5,38,39,26,45,63,29,35,30,46,56,46,5,4,28,33,13,17,21,6,47,58,42,5,4,13,17,25,5,1,16,1
200676,Candice Dupree,Candice,1611661317,PHO,27.0,5,2,3,0.4,49.6,10.6,17.6,0.603,0.0,0.3,0.0,2.1,2.4,0.875,3.3,5.2,8.5,0.9,3.0,0.9,1.2,1.5,4.9,2.1,23.4,-14.6,38.3,1,0,37.1,24,26,8,36,52,9,30,8,46,60,46,50,52,21,27,48,38,69,46,58,28,21,42,61,26,66,49,5,1,47,1
201499,Candice Wiggins,Candice,1611661324,MIN,25.0,8,7,1,0.875,49.9,3.9,11.3,0.345,3.1,8.9,0.348,1.6,2.3,0.667,0.4,4.7,5.1,3.9,3.5,0.8,0.4,0.8,4.7,3.9,12.5,27.2,24.4,0,0,26.8,1,1,66,5,46,67,65,62,17,10,28,54,54,45,63,54,65,35,39,62,52,41,44,42,57,5,77,12,1,73,1
200665,Cappie Pondexter,Cappie,1611661313,NYL,29.0,3,1,2,0.333,52.6,7.6,22.3,0.341,1.5,7.1,0.214,5.1,5.1,1.0,0.5,7.1,7.6,8.1,3.6,0.5,1.5,1.0,2.0,4.1,21.8,6.1,45.7,0,0,43.1,38,39,26,45,10,30,9,63,31,18,42,22,33,1,61,27,46,7,37,66,25,37,74,37,28,22,27,12,1,25,1
201501,Charde Houston,Charde,1611661324,MIN,26.0,2,2,0,1.0,52.7,13.6,36.4,0.375,0.0,4.5,0.0,0.0,0.0,0.0,9.1,9.1,18.2,4.5,0.0,4.5,4.5,4.5,9.1,0.0,27.3,-27.3,83.2,0,0,68.2,64,26,81,1,8,2,1,52,46,32,46,67,68,67,4,16,3,26,76,6,5,3,4,74,10,74,3,12,1,3,1
