PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
100231,Adia Barnes,Adia,1611661328,SEA,27.0,16,9,7,0.563,56.8,4.6,12.0,0.381,1.7,4.4,0.387,1.7,3.0,0.571,3.7,5.6,9.3,3.3,2.6,1.6,1.0,0.9,5.2,0.0,12.6,4.3,33.8,0,0,32.0,147,124,145,41,74,126,134,108,51,70,30,132,118,142,51,85,66,95,152,111,65,95,106,13,126,40,116,47,1,116,1
100526,Adrian Williams-Strong,Adrian,1611661317,PHO,27.0,34,8,26,0.235,56.5,8.1,20.1,0.402,0.0,0.1,0.0,3.0,4.9,0.612,3.9,10.6,14.5,1.8,4.2,3.3,1.1,1.5,5.5,0.0,19.2,-8.3,48.1,6,0,44.1,1,130,1,165,82,34,27,88,112,143,112,89,74,134,47,9,14,144,68,12,62,33,92,13,69,139,23,11,1,34,1
100363,Adrienne Goodson,Adrienne,1611661319,SAN,37.0,33,12,21,0.364,54.8,8.0,20.1,0.395,0.5,2.0,0.222,4.6,5.8,0.794,4.2,6.3,10.4,4.0,4.8,1.4,0.3,1.4,5.4,0.0,20.9,-2.5,39.8,1,0,39.2,57,104,19,134,128,38,28,94,98,103,95,44,53,55,43,64,53,67,44,128,119,51,95,13,51,98,73,27,1,65,1
100100,Adrienne Johnson,Adrienne,1611661323,CON,30.0,34,18,16,0.529,55.6,6.5,18.5,0.354,1.6,4.6,0.347,1.7,2.3,0.75,2.2,3.3,5.5,1.7,2.0,1.6,0.1,0.4,3.4,0.0,16.4,-5.0,28.7,0,0,28.6,1,27,48,66,112,78,47,131,54,65,48,134,136,75,102,145,128,146,167,105,145,148,150,13,90,122,139,47,1,134,1
100860,Aiysha Smith,Aiysha,1611661322,WAS,23.0,31,8,23,0.258,56.1,5.4,15.9,0.342,0.7,4.5,0.147,2.2,4.5,0.5,2.8,5.8,8.6,1.3,3.4,1.5,1.2,1.3,5.8,0.0,13.7,-11.1,30.5,0,0,29.6,85,130,12,157,98,105,86,138,90,69,109,118,87,146,84,75,76,157,117,122,56,53,82,13,109,147,129,47,1,129,1
100429,Alisa Burras,Alisa,1611661328,SEA,29.0,27,15,12,0.556,58.1,7.5,16.1,0.467,0.0,0.0,0.0,4.1,5.8,0.704,5.8,7.3,13.1,1.1,5.4,1.1,1.1,2.4,12.5,0.0,19.1,1.7,37.6,0,0,37.6,109,80,106,51,46,56,80,25,112,146,112,58,52,107,10,35,26,162,25,147,63,6,5,13,70,60,91,47,1,78,1
100170,Allison Feaster,Allison,1611661314,CHA,28.0,34,18,16,0.529,60.2,7.8,20.7,0.376,3.9,11.2,0.351,3.6,4.3,0.846,2.0,4.2,6.2,4.0,3.9,2.8,0.5,0.5,4.1,0.0,23.1,0.2,42.6,0,0,43.9,1,27,48,66,8,45,20,113,5,3,45,72,90,32,109,126,117,69,90,27,98,128,133,13,30,71,48,47,1,38,1
100642,Amanda Lassiter,Amanda,1611661324,MIN,25.0,32,18,14,0.563,57.0,4.7,12.1,0.385,1.9,5.7,0.329,1.5,2.3,0.633,2.6,6.1,8.7,3.3,3.3,2.1,2.0,0.5,7.1,0.0,12.6,8.5,37.0,0,0,34.7,76,27,89,41,68,125,131,105,46,50,56,140,133,130,90,68,73,98,121,70,23,141,45,13,125,14,96,47,1,99,1
100059,Andrea Stinson,Andrea,1611661314,CHA,36.0,34,18,16,0.529,60.4,8.9,19.4,0.458,1.4,4.5,0.307,3.6,4.8,0.759,1.7,6.8,8.4,5.9,4.5,2.9,0.3,0.8,4.2,0.0,22.8,-1.0,46.7,3,0,44.8,1,27,48,66,7,24,36,33,67,67,64,71,83,73,123,50,80,28,53,22,122,96,130,13,33,89,29,14,1,31,1
100493,Anna DeForge,Anna,1611661317,PHO,28.0,34,8,26,0.235,57.2,7.9,19.1,0.412,3.3,7.9,0.412,2.7,3.7,0.725,1.7,3.9,5.6,3.9,2.8,2.7,0.6,0.7,3.3,0.0,21.7,-4.8,41.6,0,0,41.2,1,130,1,165,62,41,38,79,13,22,20,100,98,93,121,133,127,74,141,33,87,114,157,13,41,116,58,47,1,51,1
