PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
100231,Adia Barnes,Adia,1611661328,SEA,26.0,2,0,2,0.0,51.6,4.1,9.3,0.444,2.1,4.1,0.5,0.0,0.0,0.0,3.1,5.2,8.2,3.1,7.2,3.1,0.0,1.0,4.1,0.0,10.3,-20.6,26.9,0,0,29.9,52,60,15,60,68,63,73,36,26,34,13,62,63,62,29,39,36,39,9,17,35,32,59,5,69,71,74,11,1,68,1
100363,Adrienne Goodson,Adrienne,1611661319,UTA,36.0,5,2,3,0.4,55.2,8.5,21.6,0.392,0.6,2.0,0.286,3.5,5.0,0.706,2.6,5.2,7.9,2.3,6.1,2.0,0.0,2.0,3.2,0.0,21.0,-7.6,33.9,0,0,35.9,14,24,8,37,46,22,12,49,45,46,34,35,32,40,38,38,41,52,13,32,35,13,65,5,31,46,54,11,1,45,1
100216,Alicia Thompson,Alicia,1611661325,IND,26.0,1,1,0,1.0,48.7,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-100.0,40.0,0,0,40.0,77,36,72,1,76,2,22,1,50,61,50,62,63,62,65,74,77,66,72,57,35,47,75,5,3,82,38,11,1,30,1
100170,Allison Feaster,Allison,1611661314,CHA,27.0,2,0,2,0.0,59.1,5.5,18.2,0.3,2.7,11.8,0.231,0.0,0.0,0.0,2.7,10.9,13.6,6.4,3.6,1.8,0.0,0.0,0.9,0.0,13.6,-8.2,41.4,0,0,40.0,52,60,15,60,28,51,28,64,15,4,41,62,63,62,35,7,11,17,32,36,35,47,74,5,57,48,32,11,1,30,1
100642,Amanda Lassiter,Amanda,1611661328,SEA,24.0,2,0,2,0.0,54.8,4.7,17.6,0.267,2.4,10.6,0.222,0.0,0.0,0.0,0.0,8.2,8.2,4.7,5.9,3.5,1.2,0.0,4.7,0.0,11.8,-18.8,36.9,0,0,36.5,52,60,15,60,51,57,35,67,19,9,43,62,63,62,65,17,37,29,15,14,21,47,50,5,65,68,49,11,1,42,1
100549,Amy Herrig,Amy,1611661319,UTA,26.0,2,0,2,0.0,49.1,5.6,5.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,11.1,0.0,5.6,0.0,5.6,0.0,5.6,0.0,11.1,22.2,35.6,0,0,33.3,52,60,15,60,75,50,79,1,50,61,50,62,63,62,13,33,23,66,17,57,4,47,36,5,68,8,50,11,1,53,1
100747,Andrea Gardner,Andrea,1611661319,UTA,23.0,3,1,2,0.333,42.7,6.5,9.7,0.667,0.0,0.0,0.0,3.2,6.5,0.5,3.2,9.7,12.9,0.0,3.2,0.0,3.2,3.2,16.1,0.0,16.1,-16.1,38.1,0,0,35.5,33,36,15,44,83,45,72,4,50,61,50,38,20,50,27,9,14,66,41,57,8,6,2,5,47,64,46,11,1,48,1
100059,Andrea Stinson,Andrea,1611661314,CHA,35.0,2,0,2,0.0,58.8,10.7,22.3,0.48,3.6,6.3,0.571,1.8,1.8,1.0,6.3,3.6,9.8,8.0,3.6,6.3,0.0,0.9,3.6,0.0,26.8,-10.7,65.8,0,0,60.7,52,60,15,60,30,13,9,30,8,23,9,54,60,1,11,53,32,11,33,4,35,36,63,5,14,55,5,11,1,5,1
100401,Annie Burgess,Annie,1611661322,WAS,34.0,5,3,2,0.6,62.0,4.3,11.2,0.379,0.8,3.1,0.25,2.3,3.5,0.667,2.7,3.1,5.8,10.5,3.9,0.8,0.0,0.0,1.6,0.0,11.6,-2.3,32.8,0,0,30.2,14,17,15,16,5,62,65,50,40,42,38,46,48,46,36,60,53,6,27,49,35,47,72,5,66,36,57,11,1,66,1
100723,Asjha Jones,Asjha,1611661322,WAS,22.0,5,3,2,0.6,59.7,7.6,18.1,0.421,1.0,1.9,0.5,1.0,1.9,0.5,2.9,4.8,7.6,2.9,1.0,0.0,1.0,0.0,12.4,0.0,17.1,-17.1,32.5,0,0,30.5,14,17,15,16,20,31,31,42,37,47,13,60,59,50,31,41,43,44,69,57,25,47,3,5,45,66,58,11,1,65,1
