PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1628932,A'ja Wilson,A'ja,1611661319,LVA,26.0,10,8,2,0.8,51.3,10.2,18.5,0.552,0.3,1.9,0.143,7.3,9.2,0.791,2.1,12.3,14.3,2.8,1.8,1.4,3.3,1.9,2.9,8.1,28.0,12.6,61.6,6,0,54.8,9,1,27,2,23,9,29,12,55,66,54,5,8,40,23,5,10,59,58,38,6,11,56,4,9,4,4,1,2,6,1
1631013,Aisha Sheppard,Aisha,1611661319,LVA,24.0,4,3,1,0.75,46.3,0.0,11.8,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,5.9,0.0,0.0,0.0,2.9,0.0,0.0,-17.6,7.4,0,0,8.8,35,27,74,8,81,79,62,79,57,14,57,65,66,65,58,78,79,9,5,64,51,60,54,75,79,59,81,13,2,81,1
201516,Allie Quigley,Allie,1611661329,CHI,37.0,8,4,4,0.5,47.4,5.3,15.7,0.338,3.1,9.6,0.319,2.0,2.9,0.714,0.2,4.9,5.1,5.1,2.0,1.6,0.4,0.6,3.1,2.2,15.7,4.3,33.6,0,0,33.1,15,17,9,17,72,52,42,67,18,11,33,42,46,44,57,52,59,33,52,33,48,46,51,53,51,18,61,13,2,57,1
1628277,Allisha Gray,Allisha,1611661321,DAL,28.0,3,1,2,0.333,52.6,7.4,15.2,0.484,1.5,6.4,0.231,2.9,4.9,0.6,1.5,3.9,5.4,6.9,1.0,2.5,0.5,0.5,2.9,2.9,19.1,-5.4,43.7,0,0,38.7,42,42,27,42,8,37,45,26,42,32,47,34,26,53,40,58,58,18,71,17,45,52,54,43,40,35,30,13,2,37,1
202252,Alysha Clark,Alysha,1611661322,WAS,35.0,2,0,2,0.0,52.6,4.1,7.2,0.571,2.1,4.1,0.5,2.1,3.1,0.667,0.0,7.2,7.2,6.2,1.0,3.1,1.0,0.0,5.2,2.1,12.4,-15.5,41.6,0,0,36.1,61,61,27,61,9,63,76,10,30,52,8,41,40,48,58,32,43,24,70,12,24,60,19,57,60,57,39,13,2,46,1
203826,Alyssa Thomas,Alyssa,1611661323,CON,31.0,12,6,6,0.5,50.9,8.1,17.1,0.474,0.0,0.1,0.0,2.4,4.2,0.576,3.5,10.9,14.4,9.5,3.8,2.3,1.0,2.7,3.7,4.6,18.6,-0.3,56.3,6,2,49.2,1,7,1,17,29,29,36,30,57,73,57,38,31,55,12,11,9,7,17,21,26,7,43,25,41,29,7,1,1,10,1
1628878,Ariel Atkins,Ariel,1611661322,WAS,26.0,2,0,2,0.0,53.0,8.8,23.2,0.379,5.6,11.2,0.5,1.6,1.6,1.0,1.6,0.8,2.4,8.8,1.6,0.8,0.0,0.8,6.4,3.2,24.8,-1.6,41.7,0,0,43.2,61,61,27,61,6,20,10,61,3,7,8,49,58,1,37,77,75,10,61,58,51,43,7,39,17,31,38,13,2,24,1
1629481,Arike Ogunbowale,Arike,1611661321,DAL,26.0,1,0,1,0.0,57.3,0.0,27.3,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,-72.7,0.0,0,0,0.0,81,61,74,61,1,79,4,79,57,1,57,65,66,65,58,78,79,75,75,64,51,60,76,2,79,83,82,13,2,82,1
1630386,Awak Kuier,Awak,1611661321,DAL,21.0,3,1,2,0.333,49.0,0.0,10.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,3.3,13.3,16.7,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,-63.3,40.0,0,0,30.0,42,42,27,42,57,79,68,79,57,28,57,65,66,65,13,3,5,75,75,64,1,60,76,75,79,82,41,13,2,63,1
1628922,Azura Stevens,Azura,1611661329,CHI,27.0,8,4,4,0.5,48.8,8.1,17.2,0.472,1.0,5.2,0.188,1.9,2.9,0.667,1.9,7.8,9.7,1.3,1.9,2.6,2.3,0.6,6.2,1.9,19.2,-11.7,45.5,0,0,40.9,15,17,9,17,60,28,35,31,47,46,52,44,44,48,27,27,22,72,55,16,11,45,9,62,39,51,24,13,2,31,1
204335,Betnijah Laney-Hamilton,Betnijah,1611661313,NYL,29.0,3,1,2,0.333,47.6,8.5,20.3,0.419,0.7,2.6,0.25,4.6,5.2,0.875,1.3,6.5,7.8,6.5,4.6,1.3,0.7,2.0,3.9,4.6,22.2,-11.8,42.7,0,0,41.2,42,42,27,42,71,24,22,50,52,62,45,16,24,27,42,37,38,21,11,41,37,10,37,24,25,52,36,13,2,30,1
1627668,Breanna Stewart,Breanna,1611661328,SEA,28.0,6,3,3,0.5,51.4,12.8,24.9,0.513,2.9,5.5,0.52,7.3,8.1,0.892,1.8,10.8,12.6,5.5,2.6,1.3,2.4,0.4,3.3,8.1,35.7,0.2,67.6,3,0,64.1,26,27,17,17,19,6,7,18,19,40,7,6,9,24,33,12,13,31,40,40,9,57,47,3,2,26,2,4,2,3,1
201896,Briann January,Briann,1611661328,SEA,36.0,6,3,3,0.5,50.0,3.4,6.9,0.5,0.0,3.4,0.0,0.0,0.0,0.0,0.0,3.4,3.4,8.0,4.6,0.0,0.0,0.0,2.3,3.4,6.9,-8.0,18.5,0,0,18.4,26,27,17,17,44,72,81,20,57,56,57,65,66,65,58,62,69,13,9,64,51,60,64,37,74,43,78,13,2,78,1
1629488,Brianna Turner,Brianna,1611661317,PHO,26.0,2,0,2,0.0,49.4,3.3,7.4,0.444,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.8,18.9,4.1,1.6,0.0,0.8,1.6,4.1,2.5,6.6,-41.8,36.1,0,0,31.1,61,61,27,61,53,75,75,38,57,74,57,65,66,65,1,15,2,46,60,64,36,18,34,46,75,78,55,13,2,62,1
1628280,Brionna Jones,Brionna,1611661323,CON,27.0,12,6,6,0.5,50.4,9.5,18.2,0.522,0.0,0.4,0.0,5.3,7.5,0.711,4.2,5.3,9.5,3.2,2.8,2.2,0.6,1.4,6.5,5.3,24.3,2.0,46.0,0,0,42.5,1,7,1,17,37,17,31,16,57,72,57,14,11,46,8,47,24,55,37,23,40,24,5,20,19,22,20,13,2,27,1
201496,Candace Parker,Candace,1611661329,CHI,37.0,8,4,4,0.5,48.7,8.7,19.9,0.438,2.5,7.5,0.333,4.6,6.0,0.759,2.1,15.7,17.8,7.7,3.5,2.3,4.3,0.8,3.7,5.8,24.4,8.7,73.6,5,0,65.6,15,17,9,17,63,21,23,42,26,19,29,17,18,42,22,1,3,16,25,22,3,40,40,15,18,10,1,3,2,1,1
203833,Chelsea Gray,Chelsea,1611661319,LVA,30.0,10,8,2,0.8,51.2,13.2,21.7,0.611,4.7,8.6,0.544,1.5,1.8,0.833,0.0,5.7,5.7,10.5,4.5,1.8,0.9,0.5,2.9,3.2,32.6,14.9,58.9,2,0,58.9,9,1,27,2,24,4,15,6,7,15,6,52,56,31,58,42,56,2,12,30,34,55,57,41,5,3,5,6,2,4,1
202664,Courtney Vandersloot,Courtney,1611661329,CHI,34.0,8,4,4,0.5,48.9,8.4,17.5,0.481,1.3,5.0,0.261,1.7,2.2,0.8,0.2,6.5,6.7,9.7,3.7,1.9,0.9,0.4,3.0,3.7,19.9,10.0,47.3,2,0,43.3,15,17,9,17,58,26,33,28,43,48,44,46,50,35,56,38,44,5,21,27,35,58,52,36,33,8,18,6,2,23,1
1627675,Courtney Williams,Courtney,1611661323,CON,29.0,12,6,6,0.5,51.4,8.8,21.3,0.415,1.1,3.5,0.318,0.6,0.9,0.667,1.7,5.7,7.4,4.4,2.7,1.1,0.9,0.5,4.1,1.4,19.4,4.1,38.5,0,0,36.5,1,7,1,17,20,19,17,53,45,55,34,62,61,48,34,43,40,43,39,48,31,54,33,70,37,19,44,13,2,45,1
1630101,Crystal Dangerfield,Crystal,1611661313,NYL,25.0,3,1,2,0.333,47.2,5.3,19.3,0.273,1.8,7.0,0.25,0.0,0.0,0.0,0.0,1.8,1.8,1.8,3.5,0.0,0.0,1.8,1.8,1.8,12.3,-3.5,13.5,0,0,17.5,42,42,27,42,73,53,26,73,38,25,45,65,66,65,58,75,77,68,26,64,51,15,73,67,61,33,79,13,2,79,1
1630389,Dana Evans,Dana,1611661329,CHI,24.0,4,3,1,0.75,50.2,13.3,22.2,0.6,6.7,11.1,0.6,4.4,4.4,1.0,0.0,6.7,6.7,4.4,2.2,4.4,0.0,0.0,4.4,2.2,37.8,-20.0,63.6,0,0,64.4,35,27,74,8,40,3,13,7,2,8,3,21,30,1,58,35,45,41,49,3,51,60,27,54,1,60,3,13,2,2,1
