PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
100949,Alana Beard,Alana,1611661320,LAS,34.0,3,1,2,0.333,51.7,3.9,11.8,0.333,0.0,1.5,0.0,1.5,2.0,0.75,2.5,3.9,6.4,2.5,1.5,2.5,1.0,1.0,4.9,2.5,9.4,-5.4,29.6,0,0,25.1,40,46,30,49,59,66,60,61,43,52,43,62,63,40,36,58,50,54,69,23,29,37,41,66,73,52,61,11,1,67,1
204336,Alex Harden,Alex,1611661317,PHO,23.0,2,2,0,1.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,7.7,23.1,0,0,15.4,68,30,84,1,75,78,84,78,43,59,43,69,70,69,67,80,81,74,76,66,3,53,80,78,80,25,77,11,1,81,1
201516,Allie Quigley,Allie,1611661329,CHI,30.0,3,1,2,0.333,52.2,14.7,25.0,0.59,4.5,10.3,0.438,0.6,0.6,1.0,1.3,3.2,4.5,5.1,2.6,0.0,0.0,0.6,3.2,3.8,34.6,-11.5,45.1,0,0,48.7,40,46,30,49,55,3,8,11,5,4,17,67,68,1,53,68,70,30,53,66,49,45,61,47,4,62,26,11,1,20,1
204326,Ally Malott,Ally,1611661322,WAS,23.0,2,0,2,0.0,46.5,20.0,20.0,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,65.0,0,0,70.0,68,74,30,74,78,1,21,1,1,5,1,69,70,69,67,80,81,5,76,66,49,53,80,78,1,4,5,11,1,2,1
204320,Amanda Zahui B,Amanda,1611661321,TUL,22.0,2,0,2,0.0,45.1,0.0,11.5,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,11.5,11.5,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,-15.4,25.4,0,0,19.2,68,74,30,74,82,78,63,78,43,3,43,69,70,69,67,5,19,74,76,66,7,53,80,78,80,67,68,11,1,77,1
204302,Ana Dabovic,Ana,1611661320,LAS,26.0,3,1,2,0.333,55.1,9.3,18.7,0.5,4.7,6.5,0.714,9.3,13.1,0.714,0.9,3.7,4.7,10.3,0.9,0.9,0.0,1.9,12.1,12.1,32.7,34.6,55.6,0,0,54.2,40,46,30,49,23,16,28,20,4,25,7,3,5,47,59,62,68,4,71,56,49,16,6,4,6,5,13,11,1,9,1
203813,Anna Cruz,Anna,1611661324,MIN,29.0,10,7,3,0.7,54.6,5.0,12.9,0.385,1.0,3.2,0.308,2.0,3.0,0.667,1.5,3.7,5.2,6.7,4.0,2.2,0.2,1.0,5.2,3.5,12.9,13.4,32.6,0,0,30.7,7,1,9,7,25,59,55,50,33,38,31,56,47,52,47,63,63,17,28,28,48,36,37,51,63,16,53,11,1,55,1
201048,Armintie Herrington,Armintie,1611661322,WAS,31.0,2,1,1,0.5,53.7,2.9,8.6,0.333,0.0,0.0,0.0,5.7,17.1,0.333,2.9,5.7,8.6,0.0,2.9,0.0,2.9,0.0,8.6,8.6,11.4,5.7,27.4,0,0,25.7,68,46,74,26,42,74,78,61,43,59,43,15,2,64,25,42,35,74,46,66,10,53,13,12,69,28,62,11,1,65,1
100723,Asjha Jones,Asjha,1611661324,MIN,35.0,4,3,1,0.75,45.4,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,5.9,5.9,5.9,0.0,0.0,0.0,0.0,0.0,0.0,-41.2,10.0,0,0,11.8,30,18,74,5,80,78,82,78,43,59,43,69,70,69,67,41,57,22,9,66,49,53,80,78,80,84,82,11,1,83,1
203069,Avery Warley-Talbert,Avery,1611661313,NYL,29.0,4,3,1,0.75,56.1,5.7,8.6,0.667,0.0,0.0,0.0,2.9,5.7,0.5,2.9,2.9,5.7,0.0,0.0,2.9,0.0,2.9,17.1,5.7,14.3,-28.6,29.7,0,0,25.7,30,18,74,5,10,50,78,6,43,59,43,36,25,58,25,71,58,74,76,18,49,9,1,26,50,74,60,11,1,65,1
204335,Betnijah Laney-Hamilton,Betnijah,1611661329,CHI,22.0,1,0,1,0.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,16.7,16.7,0.0,66.7,-16.7,0,0,0.0,84,74,74,74,85,78,84,78,43,59,43,69,70,69,67,80,81,74,1,66,49,53,2,2,80,2,87,11,1,86,1
203829,Bria Hartley,Bria,1611661322,WAS,23.0,1,0,1,0.0,54.1,0.0,18.2,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,9.1,9.1,9.1,0.0,0.0,0.0,0.0,9.1,18.2,0.0,18.2,24.5,0,0,18.2,84,74,74,74,33,78,30,78,43,8,43,69,70,69,67,17,29,7,76,66,49,53,10,1,80,13,71,11,1,79,1
201896,Briann January,Briann,1611661325,IND,29.0,11,6,5,0.545,55.5,6.9,16.9,0.407,1.3,4.4,0.286,4.4,4.7,0.933,0.6,3.3,3.9,8.6,4.7,2.4,0.5,0.9,4.2,5.6,19.4,4.7,40.8,0,0,38.9,1,8,1,20,13,36,35,46,28,31,34,24,32,18,64,67,74,8,15,25,47,38,48,27,32,30,33,11,1,31,1
204331,Brianna Kiesel,Brianna,1611661321,TUL,22.0,2,0,2,0.0,45.2,4.1,18.9,0.214,0.0,5.4,0.0,8.1,8.1,1.0,2.7,4.1,6.8,1.4,2.7,0.0,0.0,0.0,6.8,5.4,16.2,-32.4,23.6,0,0,24.3,68,74,30,74,81,64,24,73,43,26,43,5,13,1,30,56,47,69,51,66,49,53,23,29,43,77,75,11,1,68,1
203398,Brittney Griner,Brittney,1611661317,PHO,25.0,4,2,2,0.5,54.6,9.6,16.5,0.583,0.0,0.0,0.0,10.6,11.9,0.885,1.4,13.3,14.7,2.3,3.7,1.4,8.3,0.9,7.3,9.2,29.8,22.0,76.1,2,0,66.1,30,30,30,26,26,13,38,12,43,59,43,2,6,21,51,2,6,59,30,47,2,41,18,10,11,11,2,3,1,4,1
201496,Candace Parker,Candace,1611661320,LAS,30.0,3,1,2,0.333,53.6,10.7,25.6,0.418,3.3,8.4,0.389,7.4,8.8,0.842,2.8,12.1,14.9,6.5,5.1,3.3,1.9,1.4,2.8,10.2,32.1,-2.3,70.0,2,0,67.0,40,46,30,49,43,8,7,43,14,15,23,6,8,28,29,4,5,20,12,12,14,25,67,6,7,45,3,3,1,3,1
200676,Candice Dupree,Candice,1611661317,PHO,31.0,4,2,2,0.5,53.7,8.4,18.6,0.452,0.0,0.0,0.0,2.7,3.5,0.75,2.7,6.6,9.3,2.7,1.8,2.2,0.0,0.9,2.2,4.4,19.5,13.3,39.5,0,0,35.8,30,30,30,26,40,25,29,32,43,59,43,40,41,40,31,31,28,47,66,29,49,42,76,36,31,17,39,11,1,44,1
201499,Candice Wiggins,Candice,1611661313,NYL,29.0,6,3,3,0.5,53.9,5.5,13.5,0.409,4.3,9.8,0.438,1.2,1.2,1.0,1.8,4.3,6.1,5.5,4.3,3.1,0.0,0.0,10.4,1.8,16.6,19.6,37.1,0,0,38.7,18,18,9,26,37,56,51,45,6,6,17,63,67,1,45,52,53,24,22,15,49,53,8,72,42,12,47,11,1,34,1
200665,Cappie Pondexter,Cappie,1611661329,CHI,33.0,3,1,2,0.333,52.3,6.2,20.2,0.308,0.0,1.6,0.0,1.6,1.6,1.0,0.8,1.6,2.3,3.1,1.6,1.6,0.0,2.3,2.3,3.9,14.0,-17.8,24.5,0,0,22.5,40,46,30,49,53,45,20,67,43,50,43,61,66,1,62,79,78,44,68,44,49,11,73,45,57,71,73,11,1,73,1
202670,Carolyn Swords,Carolyn,1611661313,NYL,26.0,5,2,3,0.4,54.2,8.6,11.7,0.737,0.0,0.0,0.0,2.5,3.7,0.667,7.4,6.8,14.2,2.5,3.1,1.2,1.2,0.6,8.6,4.3,19.8,-12.3,44.8,0,0,41.4,28,30,9,47,29,23,62,5,43,59,43,45,38,52,2,28,11,52,40,51,24,47,12,39,30,64,27,11,1,27,1
204297,Cayla George,Cayla,1611661317,PHO,27.0,3,2,1,0.667,50.0,5.7,15.1,0.375,3.8,7.5,0.5,0.0,0.0,0.0,0.0,15.1,15.1,5.7,7.5,9.4,9.4,0.0,13.2,1.9,15.1,11.3,90.8,0,0,77.4,40,30,74,14,69,53,43,54,9,20,9,69,70,69,67,1,4,23,5,1,1,53,4,71,47,21,1,11,1,1,1
204323,Cheyenne Parker-Tyus,Cheyenne,1611661329,CHI,23.0,2,1,1,0.5,48.5,6.9,10.3,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.9,3.4,10.3,0.0,0.0,0.0,0.0,0.0,6.9,0.0,13.8,-6.9,26.2,0,0,24.1,68,46,74,26,77,36,67,6,43,59,43,69,70,69,3,65,25,74,76,66,49,53,21,78,58,53,67,11,1,69,1
