PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
100216,Alicia Thompson,Alicia,1611661328,SEA,29.0,1,0,1,0.0,51.5,5.3,21.1,0.25,0.0,5.3,0.0,0.0,0.0,0.0,0.0,15.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,-21.1,29.5,0,0,26.3,76,50,63,50,74,44,14,64,38,20,38,64,65,64,58,2,6,65,68,59,38,49,69,1,62,65,56,7,2,65,1
100723,Asjha Jones,Asjha,1611661323,CON,25.0,8,5,3,0.625,59.9,9.8,20.3,0.483,0.0,0.7,0.0,4.4,7.8,0.565,2.7,6.8,9.5,2.4,3.7,0.7,1.4,1.0,7.8,0.0,24.0,6.4,41.3,0,0,39.9,1,9,1,14,20,7,18,19,38,44,38,29,21,56,27,30,29,49,33,55,21,30,23,1,14,14,26,7,2,28,1
100494,Barbara Farris,Barbara,1611661321,DET,29.0,2,0,2,0.0,57.4,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6,5.5,0,0,4.5,46,50,18,50,40,69,72,69,38,50,38,64,65,64,58,48,56,65,68,59,38,49,69,1,72,56,75,7,2,77,1
100342,Becky Hammon,Becky,1611661313,NYL,29.0,2,0,2,0.0,66.0,7.8,17.4,0.45,1.7,6.1,0.286,2.6,2.6,1.0,0.0,6.1,6.1,3.5,8.7,0.0,0.0,0.9,7.0,0.0,20.0,-17.4,23.8,0,0,31.3,46,50,18,50,8,21,29,25,19,15,28,50,61,1,58,34,49,34,6,59,38,33,29,1,27,60,67,7,2,52,1
100484,Betty Lennox,Betty,1611661328,SEA,29.0,3,1,2,0.333,55.8,9.0,22.9,0.395,1.8,7.2,0.25,7.8,8.4,0.929,0.6,7.8,8.4,4.8,3.6,1.8,0.0,0.0,5.4,0.0,27.7,4.8,46.9,0,0,46.4,36,37,18,41,61,16,9,43,16,12,29,11,16,18,51,21,34,24,35,35,38,49,42,1,8,21,19,7,2,14,1
100667,Brooke Wyckoff,Brooke,1611661323,CON,26.0,8,5,3,0.625,59.7,2.7,6.6,0.417,2.2,5.5,0.4,2.2,3.3,0.667,1.6,6.6,8.2,1.6,2.7,0.5,1.1,0.0,7.1,0.0,9.8,6.6,24.3,0,0,25.1,1,9,1,14,21,63,68,34,13,18,19,55,52,45,40,31,36,54,50,57,25,49,28,1,67,13,66,7,2,66,1
101049,Cathrine Kraayeveld,Cathrine,1611661313,NYL,24.0,2,0,2,0.0,65.2,1.8,5.4,0.333,1.8,1.8,1.0,8.9,10.7,0.833,3.6,8.9,12.5,0.0,3.6,0.0,0.0,0.0,10.7,0.0,14.3,-17.9,25.7,0,0,28.6,46,50,18,50,11,65,71,50,18,35,1,9,9,22,16,15,15,65,36,59,38,49,8,1,48,61,64,7,2,60,1
100356,Chamique Holdsclaw,Chamique,1611661320,LAS,28.0,2,0,2,0.0,57.2,10.3,19.9,0.519,0.7,0.7,1.0,1.5,3.7,0.4,2.2,5.1,7.4,1.5,4.4,2.9,0.0,0.7,4.4,0.0,22.8,-16.9,38.2,0,0,38.2,46,50,18,50,44,6,20,6,31,41,1,60,48,62,35,41,43,56,26,19,38,35,50,1,21,59,37,7,2,31,1
101040,Chelsea Newton,Chelsea,1611661318,SAC,23.0,8,7,1,0.875,57.1,5.6,13.0,0.429,0.6,1.2,0.5,2.5,3.7,0.667,1.2,3.1,4.3,2.5,3.4,0.6,0.0,0.9,5.9,0.0,14.2,5.6,21.6,0,0,22.9,1,1,63,3,45,40,51,31,35,38,12,52,47,45,45,58,59,47,39,56,38,31,39,1,51,17,69,7,2,69,1
100843,Cheryl Ford,Cheryl,1611661321,DET,25.0,2,0,2,0.0,56.2,9.3,20.9,0.444,0.0,0.0,0.0,3.5,5.8,0.6,8.1,8.1,16.3,2.3,3.5,1.2,2.3,0.0,12.8,0.0,22.1,-12.8,52.1,0,0,47.7,46,50,18,50,55,12,16,27,38,50,38,38,29,55,2,19,4,50,38,46,8,49,4,1,22,55,11,7,2,11,1
