PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
201510,A'Quonesia Franklin,A'Quonesia,1611661318,SAC,23.0,3,1,2,0.333,51.0,2.6,15.8,0.167,0.0,10.5,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.6,5.3,2.6,0.0,0.0,5.3,0.0,5.3,-28.9,15.0,0,0,15.8,42,43,28,49,63,78,41,81,50,3,50,66,67,66,68,67,72,52,20,19,48,59,42,75,80,85,84,11,1,84,1
100526,Adrian Williams-Strong,Adrian,1611661318,SAC,32.0,3,1,2,0.333,52.6,8.7,15.7,0.55,0.0,0.0,0.0,0.8,1.6,0.5,2.4,5.5,7.9,3.1,3.1,1.6,0.8,0.8,4.7,2.4,18.1,4.7,36.2,0,0,33.9,42,43,28,49,51,20,42,6,50,62,50,61,60,51,34,42,41,45,50,49,36,46,49,61,38,29,45,11,1,46,1
201529,Adrianne Ross,Adrianne,1611661319,SAN,24.0,2,0,2,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,14.3,14.3,0.0,14.3,21.4,0,0,14.3,80,85,28,85,84,82,84,82,50,62,50,66,67,66,68,76,81,1,79,73,48,59,4,1,83,9,78,11,1,85,1
201487,Alexis Hornbuckle,Alexis,1611661321,DET,23.0,9,7,2,0.778,53.6,4.4,10.2,0.429,1.5,3.9,0.375,3.6,4.9,0.75,2.9,7.8,10.7,4.6,2.9,2.7,1.7,0.0,5.1,3.6,13.9,13.4,43.9,0,0,39.4,1,1,28,5,31,58,71,35,33,40,20,30,30,35,24,22,22,25,57,18,18,59,44,47,53,10,23,11,1,31,1
100170,Allison Feaster,Allison,1611661325,IND,33.0,2,0,2,0.0,43.4,5.3,10.5,0.5,5.3,10.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,5.3,15.8,-5.3,10.5,0,0,21.1,80,85,28,85,86,49,69,9,1,3,5,66,67,66,68,76,81,79,20,73,48,59,82,31,46,58,85,11,1,79,1
201483,Amber Holt,Amber,1611661323,CON,24.0,3,1,2,0.333,55.2,3.0,16.0,0.188,1.0,6.0,0.167,4.0,4.0,1.0,4.0,8.0,12.0,4.0,2.0,1.0,0.0,2.0,2.0,5.0,11.0,-13.0,32.4,0,0,30.0,42,43,28,49,6,77,39,80,39,26,45,26,34,1,11,21,17,33,67,65,48,15,78,35,65,77,55,11,1,60,1
100445,Ann Wauters,Ann,1611661319,SAN,28.0,9,4,5,0.444,52.9,8.5,19.0,0.444,0.2,2.1,0.083,4.2,4.8,0.889,2.3,6.9,9.2,2.5,3.0,1.1,2.1,1.4,4.6,6.2,21.3,-6.7,42.6,1,0,39.5,1,11,1,41,43,22,19,29,49,48,49,22,31,21,36,28,30,57,55,64,15,26,50,25,27,63,26,3,1,30,1
101047,Ashley Battle,Ashley,1611661313,NYL,27.0,6,3,3,0.5,55.5,4.8,13.2,0.364,1.8,5.4,0.333,0.0,0.0,0.0,1.2,6.6,7.8,5.4,1.8,3.0,0.6,0.0,3.0,3.0,11.4,9.6,37.8,0,0,33.5,16,17,8,16,4,54,56,56,26,29,28,66,67,66,56,32,42,17,69,13,38,59,73,55,62,19,37,11,1,48,1
100942,Ashley Robinson,Ashley,1611661328,SEA,26.0,3,1,2,0.333,49.9,3.2,6.5,0.5,0.0,0.0,0.0,1.1,2.2,0.5,5.4,7.5,12.9,2.2,2.2,1.1,2.2,1.1,9.7,1.1,7.5,-14.0,33.8,0,0,29.0,42,43,28,49,71,72,82,9,50,62,50,55,52,51,6,25,12,64,65,63,13,36,7,72,77,79,52,11,1,67,1
201053,Ashley Shields,Ashley,1611661321,DET,24.0,3,3,0,1.0,42.0,10.0,50.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,20.0,0.0,20.0,-90.0,65.0,0,0,50.0,42,17,89,1,87,5,1,79,50,62,50,66,67,66,68,76,81,2,79,2,48,2,2,75,31,90,3,11,1,6,1
