TEAM_ID,TEAM_NAME,GP,W,L,OFF_RATING,DEF_RATING,NET_RATING,PACE
1611661330,Atlanta Dream,40,15,25,96.6,100.1,-3.6,94.75
1611661329,Chicago Sky,40,13,27,97.0,103.5,-6.5,95.72
1611661323,Connecticut Sun,40,28,12,102.3,94.1,8.1,93.32
1611661321,Dallas Wings,40,9,31,102.1,111.7,-9.5,98.05
1611661325,Indiana Fever,40,20,20,104.2,107.5,-3.4,97.54
1611661319,Las Vegas Aces,40,27,13,106.1,99.6,6.5,97.3
1611661320,Los Angeles Sparks,40,8,32,97.0,105.7,-8.6,96.79
1611661324,Minnesota Lynx,40,30,10,102.8,94.8,8.0,94.83
1611661313,New York Liberty,40,32,8,107.0,95.3,11.7,96.15
1611661317,Phoenix Mercury,40,19,21,101.3,105.4,-4.1,95.88
1611661328,Seattle Storm,40,25,15,102.1,96.4,5.6,97.31
1611661322,Washington Mystics,40,14,26,98.0,101.7,-3.8,96.49
