TEAM_ID,TEAM_NAME,GP,W,L,OFF_RATING,DEF_RATING,NET_RATING,PACE
1611661330,Atlanta Dream,44,30,14,108.2,98.9,9.3,93.08
1611661329,Chicago Sky,44,10,34,97.0,109.9,-12.8,93.75
1611661323,Connecticut Sun,44,11,33,95.9,108.8,-12.9,94.57
1611661321,Dallas Wings,44,10,34,101.6,109.1,-7.5,96.34
1611661331,Golden State Valkyries,44,23,21,101.5,99.8,1.7,91.55
1611661325,Indiana Fever,44,24,20,106.2,101.8,4.5,95.71
1611661319,Las Vegas Aces,44,30,14,105.9,101.9,3.9,94.92
1611661320,Los Angeles Sparks,44,21,23,105.2,108.5,-3.3,96.84
1611661324,Minnesota Lynx,44,34,10,109.5,97.5,12.1,94.06
1611661313,New York Liberty,44,27,17,105.8,100.6,5.2,95.75
1611661317,Phoenix Mercury,44,27,17,103.6,100.4,3.2,95.81
1611661328,Seattle Storm,44,23,21,103.0,100.1,2.9,95.28
1611661322,Washington Mystics,44,16,28,97.2,103.2,-6.0,94.76
