TEAM_ID,TEAM_NAME,GP,W,L,OFF_RATING,DEF_RATING,NET_RATING,PACE
1611661330,Atlanta Dream,36,14,22,96.4,99.8,-3.4,97.22
1611661329,Chicago Sky,36,26,10,105.8,99.7,6.0,96.81
1611661323,Connecticut Sun,36,25,11,105.8,96.3,9.5,96.45
1611661321,Dallas Wings,36,18,18,104.6,104.3,0.2,94.84
1611661325,Indiana Fever,36,5,31,95.2,108.1,-12.9,97.92
1611661319,Las Vegas Aces,36,26,10,109.6,102.0,7.7,98.64
1611661320,Los Angeles Sparks,36,13,23,97.6,106.7,-9.1,97.2
1611661324,Minnesota Lynx,36,14,22,102.6,104.4,-1.8,95.77
1611661313,New York Liberty,36,16,20,99.0,102.0,-3.0,95.52
1611661317,Phoenix Mercury,36,15,21,100.7,104.1,-3.4,95.85
1611661328,Seattle Storm,36,22,14,102.6,97.4,5.2,96.18
1611661322,Washington Mystics,36,22,14,101.1,96.0,5.1,94.05
